,          Credit,"26,018","45,605","100,382","153,777","153,199","155,160","171,548","182,535"
,          Debit,"29,930","55,052","100,518","166,669","161,692","157,599","179,415","184,181"
,     Balance on primary income,-587,"-7,231","-2,591","-10,953","-21,016","-22,143","-23,535","-24,608"
,          Credit,"15,325","30,393","63,519","71,133","71,678","76,847","91,426","104,693"
,          Debit,"15,913","37,624","66,110","82,086","92,693","98,990","114,961","129,301"
,     Balance on secondary income,-629,"-1,240","-5,512","-6,332","-10,038","-6,904","-5,691","-7,047"
,          Credit,"1,736","3,141","5,262","9,811","10,863","10,706","9,913","10,072"
,          Debit,"2,365","4,381","10,774","16,143","20,901","17,610","15,603","17,119"
,Capital account,,,,,,,,
,Financial account,"5,796","15,601","17,286","47,290","51,539","56,546","25,991","49,447"
,     Direct investment,"-8,667","-6,764","-19,915","-16,221","-24,551","-33,771","-51,115","-45,709"
,     Portfolio investment,"21,056",927,"30,476","46,534","61,651","19,362","33,526","23,890"
,     Financial derivatives,…,…,"-3,662","-2,854","-5,515","13,852","8,201","16,682"
,     Other investment,"-6,593","21,438","10,386","19,831","19,955","57,103","35,379","54,584"
,Net errors and omissions,"2,028","-1,873","4,446","-2,427",-392,-891,"-2,011","-3,077"
,Overall balance,"6,870","12,255","42,156","6,801","1,092","-1,777","27,403","12,547"
,Reserves and related itemsae,"6,870","12,255","42,156","6,801","1,092","-1,777","27,403","12,547"
,International investment position,…,"293,470","483,730","616,530","665,471","754,833","783,471","821,602"
,,,,,,,,,
,              Balance of Payments   (% of GDP at current market prices),,,,,,,,
,               Exports,161.3,189.5,156.1,143.1,128.6,116.8,120.7,126.3
,               Imports,144.9,152.2,129.8,115.6,98.6,89.4,93.4,99.2
,               Balance on goods,16.4,37.3,26.4,27.5,30.1,27.4,27.3,27.0
,               Current account balance,11.1,23.3,22.9,18.0,17.2,17.5,16.4,17.9
,               Overall balance,7.2,9.6,17.6,2.2,0.4,-0.6,8.1,3.4
,,,,,,,,,
,INTERNATIONAL RESERVES  calendar year ($ million),,,,,,,,
,Total,"80,170","116,172","225,715","256,855","247,746","246,576","279,902","287,678"
,"     Gold, national valuation",210,212,212,212,212,212,212,212
,     Foreign exchange,"79,514","115,501","223,678","254,562","245,721","244,366","277,813","285,349"
,     Reserve position in the IMF,310,174,297,815,601,998,812,"1,065"
,     SDRs,137,285,"1,527","1,266","1,211","1,001","1,064","1,052"
,,,,,,,,,
,EXCHANGE RATES   (S$–$),,,,,,,,
,End of period,1.732,1.664,1.288,1.321,1.414,1.446,1.337,1.365
,Average of period,1.724,1.664,1.364,1.267,1.375,1.382,1.381,1.349
,,,,,,,,,
,EXTERNAL INDEBTEDNESSaf  calendar year ($ million),,,,,,,,
,Total debt outstanding and disbursed,"220,298","300,359",...,...,...,...,...,...
,     Long-term debt,"152,481","217,471",...,...,...,...,...,...
,          Public and publicly guaranteed,...,...,...,...,...,...,...,...
,          Private nonguaranteed,...,...,...,...,...,...,...,...
,     Short-term debt,"67,817","82,888",...,...,...,...,...,...
,     Use of IMF credit,...,...,...,...,...,...,...,...
,,,,,,,,,
,          External debt  (% of GNIag),16.0,...,...,...,...,...,...,...
,          Total long-term debt  (% of total debt),69.2,72.4,...,...,...,...,...,...
,          Short-term debt   (% of total debt),30.8,27.6,...,...,...,...,...,...
,          Debt service   (% of exports of goods and services),...,...,...,...,...,...,...,...
,,,,,,,,,
,,,,,,,,,
"… = data not available; | = marks break in series; – = magnitude equals zero; 0 or 0.0 = magnitude is less than half of unit employed; % = percentage; $ = United States dollars;  cif = cost, insurance, and freight; fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km2 = square kilometer; kWh = kilowatt-hour; L = liter; NPISHs = nonprofit institutions serving households; S$ = Singapore dollars; SDRs = special drawing rights; t = metric ton.",,,,,,,,,
, ,,, ,,,,,
a,"Refers to Singapore residents (i.e., Singapore citizens and permanent residents) and nonresidents. For 2003 onward, excludes residents who are overseas for a continuous period of 12 months or longer as at the reference period.",,,,,,,,
b,"Refers to persons aged 15 years and older. Estimates of the total labor force are derived by combining data on residents (also known as locals) obtained from the Comprehensive Labour Force Survey, with foreign workforce data compiled from administrative records.",,,,,,,,
c,"Refers to Singapore residents only. Resident figures are based on the midyear Comprehensive Labour Force Survey. Data on industry are classified according to the Singapore Standard Industry Classification (SSIC), using SSIC 2000 for 2000–2004, SSIC 2005 for 2005–2009, SSIC 2010 for 2010–2014, and SSIC 2015 for 2015–2018.",,,,,,,,
d,"Forms part of other goods industries comprising agriculture, forestry, and fishing; and mining and quarrying.",,,,,,,,
e,"Forms part of utilities comprising electricity, gas, steam, and air-conditioning supply; water supply; and sewerage, waste management, and remediation activities.",,,,,,,,
f,Excludes repair of motor vehicles and motorcycles.,,,,,,,,
g,"Forms part of business services comprising real estate activities; professional, scientific, and technical activities; and administrative and support service activities.",,,,,,,,
h,"Includes professional, scientific, and technical activities; administrative and support service activities; public administration and defense; compulsory social security; human health and social work activities; education; arts, entertainment, and recreation; other service activities; activities of households as employers; undifferentiated goods- and services-producing activities of households for own use; and activities of extraterritorial organizations and bodies.",,,,,,,,
i,"Forms part of other service industries comprising public administration and defense; compulsory social security; education; human health and social work activities; arts, entertainment, and recreation; and other service activities.",,,,,,,,
j,"According to Adoption of Singapore Standard Industrial Classification 2010 in the National Accounts: Output-Based GDP, March 2012 (http://www.singstat.gov.sg/publications/publications-and-papers/economy#national_accounts), ownership of dwellings does not fall under any section of the SSIC. It refers to housing services provided by owner-occupiers and individuals who lease their residential properties.",,,,,,,,
k,Refers to other goods industries.,,,,,,,,
l,"Refers to manufacturing, construction, and utilities.",,,,,,,,
m,"Refers to services-producing industries, including ownership of dwellings.",,,,,,,,
n,Data are expressed in chained (2015) Singapore dollars. Chain-linked data generally do not add up to the total.,,,,,,,,
o,Refers to index of industrial production.,,,,,,,,
p,"Data reflect the gross generation in the system. From January 2016, data have incorporated output from solar generation.",,,,,,,,
q,"Refers to total electricity consumption by end users, including (embedded) consumption by autoproducers. From January 2016, data have incorporated consumption of output from solar generation.",,,,,,,,
r,Included in miscellaneous goods and services.,,,,,,,,
s,Includes hotels.,,,,,,,,
t,"Includes restaurant food, fast food, hawker food (including food courts), and catered food. Excludes hotels.",,,,,,,,
u,"Includes alcoholic beverages, tobacco, and narcotics.",,,,,,,,
v,Refers to the domestic supply price index. The domestic supply price index measures the changes in prices of imported and locally manufactured products retained for use in the country.,,,,,,,,
w,The Monetary Authority of Singapore’s holdings of government securities have been reclassified under domestic credit to government instead of other items.,,,,,,,,
x,Refers to total domestic credit less net claims on the government sector and claims on other financial institutions.,,,,,,,,
y,Refers to investment in securities and equities in Singapore.,,,,,,,,
z,Residual item.,,,,,,,,
aa,Refers to the sum of M2 and net deposits with nonbank financial institutions and/or finance companies.,,,,,,,,
ab,Refers to the average rates quoted by 10 leading banks.,,,,,,,,
ac,"Prior to 2003, data exclude Indonesia.",,,,,,,,
ad,Singapore's balance-of-payments accounts are compiled in accordance with the IMF's Balance of Payments and International Investment Position Manual (sixth edition).,,,,,,,,
ae,Decrease in assets and liabilities as well as net inflows in net balances are indicated by a minus sign.,,,,,,,,
af,"Short-term debt refers to debt due within 1 year of the reference period, which may include components of the total external debt. Long-term debt refers to the residual.",,,,,,,,
ag,"From 1998 onward, the computation of the ratio was discontinued in view of the change in external debt coverage.",,,,,,,,
,,,,,,,,,
 ,, ,,,,,,,
,Sources:,,,,,,,,
,,,,,,,,,
,Population,"Government of Singapore, Department of Statistics (DOS). Official communication, 22 April 2019; past communication. ",,,,,,,
,,,,,,,,,
,Labor Force,"Government of Singapore, Ministry of Manpower. Official communication, 29 March 2019; past communication. ",,,,,,,
,,,,,,,,,
,National Accounts,"DOS. Official communication, 21 June 2019; past communication. ",,,,,,,
,,,,,,,,,
,Production Indexes,,,,,,,,
,,,,,,,,,
,    Agriculture,Food and Agriculture Organization of the United Nations. FAOSTAT. http://www.fao.org/faostat/en/#data (accessed 24 June 2019).,,,,,,,
,, ,,,,,,,
,    Manufacturing,"DOS. Official communication, 22 April 2019; past communication. ",,,,,,,
,, ,,,,,,,
,Energy,,,,,,,,
,,,,,,,,,
,     Crude Petroleum   ,"Enterprise Singapore. Official communication, 13 May 2019; past communication. ",,,,,,,
,     Coal                       ,,,,,,,,
,,,,,,,,,
,     Electricity and Retail Prices,"DOS. Official communication, 22 April 2019; past communication. ",,,,,,,
,,,,,,,,,
,Price Indexes,"DOS. Official communication, 22 April 2019; past communication. ",,,,,,,
,,,,,,,,,
,Money and Banking,"Monetary Authority of Singapore. Official communication, 10 April 2019; past communication. ",,,,,,,
,,,,,,,,,
,Government Finance,"Government of Singapore, Ministry of Finance. Official communication, 3 June 2019; past communication. ",,,,,,,
,,,,,,,,,
,External Trade,"Enterprise Singapore. Official communication, 13 May 2019; past communication. ",,,,,,,
,,,,,,,,,
,      Direction of Trade,International Monetary Fund (IMF). Direction of Trade Statistics. http://data.imf.org/?sk=9D6028D4-F14A-464C-A2F2-59B2CD424B85 (accessed 20 May 2019).,,,,,,,
,,,,,,,,,
,Balance of Payments,"DOS. Official communication, 21 June 2019; past communication. ",,,,,,,
,,,,,,,,,
,International Reserves   ,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019). ,,,,,,,
,,,,,,,,,
,Exchange Rates            ,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019). ,,,,,,,
,,,,,,,,,
,External Indebtedness,World Bank. World Development Indicators. https://data.worldbank.org/indicator (accessed 4 April 2019).,,,,,,,
