VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NPISHs final consumption ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC64,,,,,,,NPISHs final consumption ,,,,,,,,,,,,,,,,,,,,,,,
,Government final consumption,"28,346","30,463","33,390","38,770","45,715","49,952","58,734","69,247","90,904","104,540","129,313","164,323","192,362","220,642","246,711","265,545","293,106","325,804","358,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC65,,,,,4,4,General government final consumption,,N,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"130,771","150,033","177,983","217,434","253,686","308,543","366,629","493,300","589,746","672,326","770,211","827,032","884,160","956,124","1,056,632","1,160,447","1,196,739","1,330,694","1,470,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC66,,,,,3,3,Gross capital formation,,N,,,,,,,,,,,,,,,,,,,,,
,Gross fixed capital formation,"122,101","140,301","166,828","204,608","237,868","285,841","332,949","437,702","513,987","612,526","704,401","745,494","785,337","847,475","938,452","1,033,780","1,066,160","1,190,475","1,321,906",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC67,,,,,4,4,Gross fixed capital formation,,N,,,,,,,,,,,,,,,,,,,,,
,Public,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC68,,,,,5,5,Public,,N,,,,,,,,,,,,,,,,,,,,,
,Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC69,,,,,5,5,Private,,N,,,,,,,,,,,,,,,,,,,,,
,Changes in inventories,"8,670","9,732","11,155","12,826","15,818","22,702","33,680","55,598","75,759","59,800","65,810","81,538","98,823","108,649","118,180","126,667","130,579","140,220","148,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC70,,,,,4,4,Change in inventories,,N,,,,,,,,,,,,,,,,,,,,,
,Acquisitions less disposals of valuables,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC71,,,,,,,Acquisition less disposals of valuables,,,,,,,,,,,,,,,,,,,,,,,
,Exports of goods and services,"243,049","262,846","304,262","363,735","470,216","582,214","719,928","886,395","1,155,688","1,139,253","1,553,687","2,206,971","2,597,264","2,997,380","3,402,495","3,764,320","4,215,636","5,085,742","5,865,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC72,,,,,3,3,Exports of goods and services,,N,,,,,,,,,,,,,,,,,,,,,
,Exports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC73,,,,,4,4,Exports of goods,,N,,,,,,,,,,,,,,,,,,,,,
,Exports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC74,,,,,4,4,Exports of services,,N,,,,,,,,,,,,,,,,,,,,,
,Less: Imports of goods and services,"253,927","273,828","331,946","415,023","524,216","612,521","750,800","1,055,577","1,376,183","1,326,810","1,730,902","2,321,858","2,483,567","2,920,030","3,273,530","3,731,151","4,100,294","4,945,460","5,679,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC75,,,,,3,3,Less: Imports of goods and services,,N,,,,,,,,,,,,,,,,,,,,,
,Imports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC76,,,,,4,4,Imports of goods,,N,,,,,,,,,,,,,,,,,,,,,
,Imports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC77,,,,,4,4,Imports of services,,N,,,,,,,,,,,,,,,,,,,,,
,Statistical discrepancy ,-100,-363,"3,326","2,076","4,400","-12,755","-23,880","4,263","10,531","-19,310",-770,"59,036","-38,061","-16,015","-85,789","-115,839","-188,752","-196,555","-217,926",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC78,,,,,3,3,Statistical discrepancy ,,N,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Structure of Demand % of GDP {#GDPAlias#},,Y,Structure of Demand % of GDP {#GDPAlias#},,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,66.5,64.9,65.1,66.3,65.1,65.5,65.1,68.1,70.9,68.5,66.6,66.3,64.5,65.5,65.8,68.0,68.5,68.0,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Private consumption,,N,Private consumption,,,,,,,,,,,,,,,,,,,,,,
,               Government final consumption,6.4,6.3,6.2,6.3,6.4,5.5,5.5,5.6,5.6,5.8,6.0,5.9,5.9,6.2,6.3,6.3,6.5,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Government consumption,,N,Government consumption,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,29.6,31.2,33.2,35.4,35.5,33.8,34.5,39.6,36.5,37.2,35.7,29.8,27.2,26.7,26.8,27.7,26.6,26.6,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC28,,,,,2,2,Gross domestic capital formation,,N,,,,,,,,,,,,,,,,,,,,,,,
,                    Changes in inventories,2.0,2.0,2.1,2.1,2.2,2.5,3.2,4.5,4.7,3.3,3.0,2.9,3.0,3.0,3.0,3.0,2.9,2.8,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,55.0,54.6,56.8,59.3,65.7,63.7,67.8,71.1,71.5,63.0,72.0,79.4,80.0,83.6,86.4,89.8,93.6,101.6,105.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports of goods and services,,N,Exports of goods and services,,,,,,,,,,,,,,,,,,,,,,
,               Imports of goods and services,57.5,56.9,62.0,67.7,73.3,67.0,70.7,84.7,85.2,73.3,80.2,83.5,76.5,81.5,83.1,89.0,91.1,98.8,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports of goods and services,,N,Imports of goods and services,,,,,,,,,,,,,,,,,,,,,,
,               Statistical discrepancy, -0.0,-0.1,0.6,0.3,0.6,-1.4,-2.2,0.3,0.7,-1.1, -0.0,2.1,-1.2,-0.4, -2.2,-2.8,-4.2,-3.9,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Statistical discrepancy,,N,Statistical discrepancy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Constant Pricesc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at 1994 | 2010 market prices,"273,666","292,535","313,247","336,243","362,435 |","1,588,646","1,699,501","1,820,667","1,923,749","2,027,591","2,157,828","2,292,483","2,412,778","2,543,596","2,695,796","2,875,856","3,054,470","3,262,548","3,493,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,GDP by Industrial Origin,,N,,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry, and fishing","63,717","65,618","68,352","70,828","73,917 |","342,811","355,831","369,905","387,262","394,658","396,576","413,368","425,446","436,642","451,659","462,536","468,813","482,417","500,567",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Agriculture,,N,,,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying,"18,430","19,185","19,396","20,611","22,437 |","212,381","208,134","203,555","195,756","210,666","204,544","210,482","221,298","220,791","225,785","240,462","230,843","214,453","207,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC7,,,,,3,3,Mining,,N,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,"51,492","57,335","63,983","71,363","79,116 |","248,709","281,925","316,812","347,808","357,415","279,360","318,690","347,523","372,597","400,192","442,612","495,283","566,604","640,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC8,,,,,3,3,Manufacturing,,N,,,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas, steam, and air-conditioning supply","6,337","7,173","7,992","8,944","10,015 |","44,794","49,232","53,707","59,112","64,446","65,721","72,442","82,026","88,985","99,516","110,861","123,721","135,351","149,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC9,,,,,3,3,"Electricity, gas and water",,N,,,,,,,,,,,,,,,,,,,,,,,
,"Water supply; sewerage, waste management, and remediation activities",,,,,,"8,108","8,736","9,446","10,108","10,765","11,107","12,187","13,255","14,457","15,366","16,503","17,791","19,333","20,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC79,,,,,,,"Water supply; sewerage, waste management and remediation activities",,,,,,,,,,,,,,,,,,,,,,,
,Construction,"20,654","23,293","25,755","28,481","31,053 |","91,523","101,632","113,979","113,546","126,441","132,618","132,268","137,115","145,123","155,183","171,973","189,171","205,628","224,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC10,,,,,3,3,Construction,,N,,,,,,,,,,,,,,,,,,,,,,,
,Wholesale and retail trade; repair of motor vehicles and motorcycles,"44,644","47,779","51,245","54,747","59,027 |","193,430","209,969","228,477","243,955","262,686","172,608","190,892","210,605","225,783","244,040","266,150","288,187","312,280","338,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC12,,,,,3,3,Trade,,N,,,,,,,,,,,,,,,,,,,,,,,
,Accommodation and food service activities,,,,,,"52,688","59,231","66,822","72,661","74,328","77,800","83,876","90,019","98,919","103,444","105,813","112,902","123,041","131,383",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportation and storage,"10,729","11,441","12,252","12,925","13,975 |","40,322","44,406","49,468","55,360","60,056","62,064","66,769","70,888","74,828","78,776","82,731","87,943","94,899","102,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC13,,,,,3,3,Transport and communications,,N,,,,,,,,,,,,,,,,,,,,,,,
,Information and communication,,,,,,"14,624","16,039","17,745","19,608","21,014","19,895","21,549","23,752","25,827","28,068","30,459","32,957","35,383","38,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Information and communication,,,,,,,,,,,,,,,,,,,,,,,
,Financial and insurance activities,"5,650","6,005","6,424","6,935","7,495 |","77,704","84,058","91,490","100,780","109,545","116,515","125,192","132,178","141,266","149,500","160,533","173,038","187,123","202,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Real estate activitiesb,,,,,,"105,410","112,776","118,561","124,925","130,333","131,692","136,698","138,496","141,503","145,459","149,769","155,752","162,097","169,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,"Professional, scientific, and technical activitiesb",,,,,,"22,630","23,725","25,061","26,096","27,217","28,004","29,797","31,978","34,335","36,730","39,227","41,973","44,995","48,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Administrative and support service activitiesb,,,,,,"6,480","6,816","7,256","7,670","8,031","7,881","8,478","9,087","9,782","10,465","11,051","11,814","12,631","13,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Public administration and defense; compulsory social security,"24,301","25,674","27,322","29,242","31,325 |","38,666","41,593","44,973","47,883","51,365","55,194","59,124","63,464","68,377","73,286","78,357","83,928","90,072","94,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC15,,,,,3,3,Public administration,,N,,,,,,,,,,,,,,,,,,,,,,,
,Education,,,,,,"34,805","37,735","41,037","44,306","47,215","50,237","53,892","57,883","62,545","67,176","71,885","77,090","82,794","88,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Human health and social work activities,,,,,,"16,422","17,709","19,135","20,620","22,008","23,335","25,049","26,915","29,040","31,141","33,321","35,780","38,439","41,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,"Arts, entertainment, and recreation",,,,,,"10,169","10,972","11,898","12,907","13,925","14,592","15,637","16,765","18,021","19,364","20,787","22,319","23,968","25,696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Other service activities,"27,712","29,032","30,527","32,166","34,075 |","24,597","26,436","28,573","30,408","32,312","34,396","36,576","38,736","41,730","44,422","47,047","50,058","53,372","55,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,"Activities of households as employers; undifferentiated goods- and services-
    producing activities of households for own use",,,,,,"2,374","2,549","2,765","2,977","3,164","2,944","3,163","3,411","3,638","3,855","4,105","4,400","4,725","5,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Activities of extraterritorial organizations and bodies,...,...,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
,Less: Financial intermediation services indirectly measured,...,...,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross value added at basic prices,...,...,...,...,... ,...,...,...,...,...,"1,887,083","2,016,129","2,140,840","2,254,189","2,383,427","2,546,182","2,703,764","2,889,607","3,097,783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plus: Taxes less subsidies on production and imports,...,...,...,...,... ,...,...,...,...,...,"270,746","276,355","271,938","289,409","312,369","329,673","350,706","372,941","395,616",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,...,...,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,GNI,...,...,...,...,... ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Growth of Output annual change, %",,Y,"Growth of Output annual change, %",,,,,,,,,,,,,,,,,,,,,,
,               GDP,6.8,6.9,7.1,7.3,7.8,7.5,7.0,7.1,5.7,5.4,6.4,6.2,5.2,5.4,6.0,6.7,6.2,6.8,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,GDP,,N,GDP,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,4.6,3.0,4.2,3.6,4.4,4.2,3.8,4.0,4.7,1.9,0.5,4.2,2.9,2.6,3.4,2.4,1.4,2.9,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Agriculture,,N,Agriculture,,,,,,,,,,,,,,,,,,,,,,
,               Industry,10.1,10.4,9.5,10.5,10.2,8.4,7.3,7.4,4.1,6.0,-9.9,7.6,7.4,5.1,6.4,9.6,7.6,8.0,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Industry,,N,Industry,,,,,,,,,,,,,,,,,,,,,,
,               Services,5.3,6.1,6.5,6.5,7.3,8.6,8.4,8.5,7.6,6.5,-7.7,7.5,6.7,6.7,6.2,6.3,7.0,7.4,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Services,,N,Services,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 1994 | 2010 market prices,"273,666","292,535","313,247","336,243","362,435 |","1,588,646","1,699,501","1,820,667","1,923,749","2,027,591","2,157,828","2,292,483","2,412,778","2,543,596","2,695,796","2,875,856","3,054,470","3,262,548","3,493,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC35,,,,,2,2,At chained prices Expenditure on GDP,,N,,,,,,,,,,,,,,,,,,,,,,,
,Final consumption expenditure,"200,665","210,027","225,609","243,515","260,940 |","1,106,408","1,189,879","1,305,445","1,405,404","1,442,775","1,565,602","1,633,658","1,716,565","1,808,572","1,920,658","2,095,817","2,249,249","2,414,559","2,587,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC20,,,,,2,2,Private consumption,,N,,,,,,,,,,,,,,,,,,,,,,,
,Household final consumption,"182,420","190,577","205,113","221,545","237,262 |","1,022,157","1,098,469","1,205,895","1,298,368","1,327,608","1,436,289","1,495,133","1,568,084","1,649,311","1,750,249","1,913,547","2,053,236","2,204,149","2,364,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NPISHs final consumption ,...,...,...,...,…,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC21,,,,,2,2,Government consumption,,N,,,,,,,,,,,,,,,,,,,,,,,
,Government final consumption,"18,245","19,450","20,496","21,970","23,678 |","84,251","91,410","99,549","107,036","115,168","129,313","138,524","148,481","159,261","170,409","182,270","196,013","210,410","223,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC81,,,,,3,3,Gross capital formation,,N,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"83,496","92,487","104,256","116,623","128,916 |","443,761","496,274","629,267","668,774","697,614","770,211","717,543","734,577","774,612","843,552","919,809","1,009,123","1,108,017","1,199,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC22,,,,,2,2,Gross fixed capital formation,3,,,,,,,,,,,,,,,,,,,,,,,,
,Gross fixed capital formation,"78,552","86,972","98,160","109,843","121,312 |","412,327","453,157","562,627","584,225","635,201","704,401","649,365","661,526","696,578","761,052","832,235","914,777","1,008,084","1,095,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public,...,...,...,...,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Private,...,...,...,...,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC23,,,,,2,2,Increase in stocks,3,N,,,,,,,,,,,,,,,,,,,,,,,
,Changes in inventories,"4,944","5,515","6,096","6,780","7,604 |","31,434","43,116","66,640","84,549","62,413","65,810","68,179","73,051","78,033","82,500","87,574","94,346","99,933","103,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acquisitions less disposals of valuables,...,...,...,...,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC24,,,,,2,2,Exports of goods and services,,N,,,,,,,,,,,,,,,,,,,,,,,
,Exports of goods and servicesd,"-10,085","165,292","183,533","220,047","-30,123 |","913,341","1,043,134","1,160,960","1,219,803","1,355,225","1,553,687","1,721,244","1,991,636","2,337,663","2,607,900","2,937,635","3,344,890","3,904,663","4,461,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exports of services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC25,,,,,2,2,Less: Imports of goods and services,,N,,,,,,,,,,,,,,,,,,,,,,,
,Less: Imports of goods and services,,"176,987","204,926","251,495",,"902,088","1,038,899","1,325,880","1,426,886","1,521,982","1,730,902","1,801,807","1,965,677","2,306,613","2,601,967","3,073,334","3,543,103","4,163,134","4,696,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
