KIRIBATI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes less subsidies on products ,"14,015","12,496","15,356","13,937","14,058 |","14,139","9,799","11,598","7,053","6,989","5,224","4,017","5,033","5,766","3,572","8,755","6,854","5,295* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNI ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Outputv   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               GDP,5.3,0.7,0.6,4.0,3.2 |,...,-0.0,2.0,-2.1,0.8,-0.9,1.6,4.7,4.2,-0.7,10.4,5.1,0.3* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,-7.2,3.3,-3.9,11.8,4.1 |,...,10.4,0.1,3.4,-0.3,-3.9,8.3,2.1,-0.7,5.9,1.3,10.7,9.0* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Industry,-6.4,5.0,-19.0,17.5,34.6 |,...,15.0,0.2,-9.4,-0.6,9.5,6.2,21.6,16.0,-2.6,23.6,-2.4,-15.8* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Services,1.7,1.6,0.9,2.9,–0.4 |,...,0.9,1.1,1.6,1.9,-0.1,-1.1,2.3,2.6,-0.3,7.2,6.6,3.3* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Market Pricesw   (A$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per capita GDP ,"1,378","1,380","1,517","1,559","1,524 |","1,587","1,548","1,641","1,703","1,683","1,652","1,687","1,735","1,788","1,834","2,068","2,149","2,141* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per capita GNI,...,"2,393","2,454","2,315","2,228 |","2,251","2,171","2,342","2,480","2,323","2,418","2,347","2,627","3,016","3,491","4,239","4,183","4,198* ",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES    period averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,74.5,75.5,77.1,77.6,94.3,95.3,110.3,114.8,116.0,116.4,60.1,60.6,60.6,60.1,60.5,60.5,60.4,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity    (kWh million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production,14.5,12.6,14.0,17.8,20.5,21.9,23.6,23.6,22.5,22.0,21.6,21.8,22.6,23.2,23.5,25.5,29.0,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Consumption,14.3,12.4,13.8,17.7,20.4,19.0,18.5,21.4,20.2,19.5,19.8,19.4,19.1,19.4,19.6,19.6,24.5,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages; October 1996 | October 2006 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer (national)x  ,107.9,114.3,118.0,120.1,119.0,118.6 |,100.1,104.1,118.3,128.7,124.9,126.7,122.9,121.1,123.6,124.3,126.7,127.1,127.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Food and nonalcoholic beveragesy,...,...,...,...,...,...,100.4,106.5,129.5,149.8,142.8,142.5,134.5,129.8,130.6,129.7,132.0,134.4,132.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"               Alcoholic beverages, tobacco, and narcotics",...,...,...,...,...,...,100.7,100.4,108.1,110.7,117.1,120.3,119.3,123.7,127.5,126.4,132.7,135.9,142.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Clothing and footwear,...,...,...,...,...,...,97.3,102.7,102.6,105.7,104.0,104.2,107.0,106.9,102.7,98.2,99.8,103.6,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"               Housing, water, electricity, gas, and other fuelsz",...,...,...,...,...,...,99.4,101.1,106.3,103.0,102.2,102.2,103.1,103.2,110.6,116.3,118.1,104.3,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"               Furnishings, household equipment, and routine household maintenance",...,...,...,...,...,...,100.4,100.1,102.6,107.8,103.3,102.6,105.3,104.1,120.0,135.5,132.1,129.3,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Healthaa,...,...,...,...,...,...,100.0,100.0,100.0,100.0,99.9,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Transport,...,...,...,...,...,...,98.6,106.9,111.6,111.4,111.6,111.8,112.8,111.1,110.1,110.3,111.0,112.6,113.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Communication,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Recreation and culture,...,...,...,...,...,...,99.9,99.2,99.2,99.2,98.9,98.9,98.6,98.6,98.5,98.5,98.8,99.2,98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Educationab,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Restaurants and hotels,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Miscellaneous goods and services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Implicit GDP deflator   2006 = 100,86.9,88.0,97.9,98.5,95.0 |,100.3,100.0,106.1,115.0,115.2,116.5,118.7,118.2,118.4,124.0,128.3,128.5,129.3* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Price Indexes  (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Consumer price index,0.4,6.0,3.2,1.9,-1.0,-0.3,...,4.0,13.7,8.8,-3.0,1.5,-3.0,-1.5,2.1,0.6,1.9,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Food and nonalcoholic beverages price index,...,...,...,...,...,...,...,6.1,21.6,15.7,-4.6,-0.3,-5.6,-3.5,0.6,-0.6,1.7,1.8,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Implicit GDP deflator,3.2,1.3,11.3,0.6,-3.5 |,5.5,-0.3,6.1,8.3,0.2,1.2,1.9,-0.4,0.1,4.1,2.9,7.3,-4.9* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE  fiscal year ending 30 June  (A$ '000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Revenue,...,...,...,...,...,...,...,...,...,...,...,"113,371","143,126","176,875","223,472","291,115","239,704","252,597",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Taxes,...,...,...,...,...,...,...,...,...,...,...,"32,163","34,854","35,733","36,588","51,627","61,101","55,198",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"               Taxes on income, profits, and capital gains",...,...,...,...,...,...,...,...,...,...,...,"11,903","14,286","12,767","13,724","16,415","17,913","18,246",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                    Payable by individuals,...,...,...,...,...,...,...,...,...,...,...,"6,148","7,380","7,379","7,067","6,926","8,049","8,047",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                    Payable by corporations and other enterprises,...,...,...,...,...,...,...,...,...,...,...,"5,755","6,906","5,388","6,658","9,489","9,864","10,198",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                    Other taxes on income, profits, and capital gains",...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on payroll and workforce,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on property,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on goods and services,...,...,...,...,...,...,...,...,...,...,...,"1,113","1,592","2,411","15,871","31,972","39,948","32,054",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on international trade and transaction,...,...,...,...,...,...,...,...,...,...,...,"19,147","18,977","20,554","6,961","3,240","3,240","4,898",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Other taxes,...,...,...,...,...,...,...,...,...,...,...,–,–,–,33,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Social contributions,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Grants (revenue),...,...,...,...,...,...,...,...,...,...,...,"13,837","15,128","25,867","26,908","13,632","14,531","6,255",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Other revenue,...,...,...,...,...,...,...,...,...,...,...,"67,371","93,144","115,275","159,975","225,856","164,072","191,144",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Expense,...,...,...,...,...,...,...,...,...,...,...,"115,465","127,691","129,480","127,293","154,334","173,200","190,683",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Compensation of employees,...,...,...,...,...,...,...,...,...,...,...,"52,563","53,321","52,305","54,374","60,328","62,367","65,547",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Use of goods and services,...,...,...,...,...,...,...,...,...,...,...,"41,928","45,940","51,001","45,317","70,157","67,923","67,105",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Consumption of fixed capital,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Interest,...,...,...,...,...,...,...,...,...,...,...,"3,875","6,429","1,838",175,166,150,304,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Subsidies,...,...,...,...,...,...,...,...,...,...,...,"11,666","10,629","11,759","14,399","13,149","28,325","39,670",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Grants (expense),...,...,...,...,...,...,...,...,...,...,...,"1,231","1,886","1,044",418,-122,0,0,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Social benefits,...,...,...,...,...,...,...,...,...,...,...,"1,894","5,052","5,923","5,111","5,695","5,982","5,851",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Other expense,...,...,...,...,...,...,...,...,...,...,...,"2,307","4,435","5,611","7,498","4,960","8,452","12,207",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net operating balance,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Gross operating balance,...,...,...,...,...,...,...,...,...,...,...,"-2,094","15,434","47,395","96,179","136,781","66,504","61,913",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net/gross investment in nonfinancial assets,...,...,...,...,...,...,...,...,...,...,...,"10,059","9,045","8,414","7,079","9,077","14,674","20,849",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Fixed assets,...,...,...,...,...,...,...,...,...,...,...,"10,060","9,045","8,414","7,079","9,078","14,675","20,849",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Inventories,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Valuables,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Nonproduced assets,...,...,...,...,...,...,...,...,...,...,...,-2,–,–,-1,-1,-1,-0,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Expenditure,...,...,...,...,...,...,...,...,...,...,...,"125,523","136,736","137,895","134,371","163,411","187,874","211,533",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net lending/Net borrowing,...,...,...,...,...,...,...,...,...,...,...,"-12,153","6,390","38,980","89,101","127,704","51,829","41,064",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Primary balance,...,...,...,...,...,...,...,...,...,...,...,"-8,277","12,818","40,818","89,275","127,871","51,979","41,368",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net acquisition of financial assets,...,...,...,...,...,...,...,...,...,...,...,"-10,135","5,711","19,229","79,100","126,590","50,185","39,442",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Domestic ,...,...,...,...,...,...,...,...,...,...,...,"21,679","13,634","46,565","79,100","126,590","50,185","39,442",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          External ,...,...,...,...,...,...,...,...,...,...,...,"-31,814","-7,924","-27,336",–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net incurrence of liabilities,...,...,...,...,...,...,...,...,...,...,...,"2,018",-679,"-19,751","-10,000","-1,114","-1,644","-1,622",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Domestic ,...,...,...,...,...,...,...,...,...,...,...,"2,560",80,"-18,848",-88,-32,-32,415,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          External ,...,...,...,...,...,...,...,...,...,...,...,-543,-759,-903,"-9,913","-1,083","-1,613","-2,037",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Government Financeac (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,...,...,...,...,...,...,...,...,...,...,...,64.4,77.9,92.2,112.1,127.8,99.9,104.3* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,...,...,...,...,...,...,...,...,...,...,...,18.3,19.0,18.6,18.4,22.7,25.5,22.8* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes payable by individuals,...,...,...,...,...,...,...,...,...,...,...,3.5,4.0,3.8,3.5,3.0,3.4,3.3* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes payable by corporations and other enterprises,...,...,...,...,...,...,...,...,...,...,...,3.3,3.8,2.8,3.3,4.2,4.1,4.2* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure,...,...,...,...,...,...,...,...,...,...,...,71.3,74.5,71.9,67.4,71.7,78.3,87.4* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net lending/Net borrowing,...,...,...,...,...,...,...,...,...,...,...,-6.9,3.5,20.3,44.7,56.1,21.6,17.0* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary balance,...,...,...,...,...,...,...,...,...,...,...,-4.7,7.0,21.3,44.8,56.1,21.7,17.1* ,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, General Government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total expenditure,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"134,371","163,411","187,874","211,533",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General public services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"33,494","54,937","62,434","51,853",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defense,...,...,...,...,...,...,...,...,...,...,...,...,...,...,–,–,–,–,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
