JAPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,
,Imports of goods,"45,267","45,896","45,922","49,184","53,186","57,429","60,909","61,796","62,694","52,025","59,024","63,296","66,322","68,542","73,027","72,755","71,419","73,946","77,223",,,,,,,,,,,,,,,,,,,,,,
,Imports of services,"12,937","12,931","13,255","12,326","13,320","13,347","13,328","14,008","13,698","12,365","12,744","12,716","13,801","14,203","16,616","17,606","17,468","18,023","17,957",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,1.8,1.9,1.2,0.6,1.3,1.2,1.0,1.0,-1.0,-0.8,2.3,-0.6,1.9,2.4,-0.8,-0.4,-0.3,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,
,               Government final consumption,3.9,3.4,2.7,1.8,1.2,0.8,0.1,1.2,-0.1,2.0,1.9,1.9,1.7,1.5,0.5,1.5,1.4,0.3,0.8,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,3.1,-1.5,-6.6,0.5,1.8,2.3,-0.1,-0.5,-2.8,-16.1,3.1,2.6,3.7,3.2,3.4,2.9,-0.9,2.8,1.7,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,12.7,-6.7,7.8,9.5,14.3,7.2,10.3,8.7,1.6,-23.4,24.9,-0.2,-0.1,0.8,9.3,2.9,1.7,6.8,3.3,,,,,,,,,,,,,,,,,,,,,,
,               Imports of goods and services,9.3,1.0,0.7,3.4,8.1,6.1,4.7,2.2,0.7,-15.7,11.2,5.8,5.4,3.3,8.3,0.8,-1.6,3.5,3.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation ,"143,828","138,913","127,219","125,744","126,848","129,720","130,396","130,176","127,825","104,380","106,563","108,618","112,130","116,691","122,899","127,637","125,461","130,300","134,011",,,,,,,,,,,,,,,,,,,,,,
,Gross national saving ,"159,055","147,502","141,704","143,190","147,661","151,428","152,885","157,199","144,022","119,064","126,677","119,073","116,883","121,330","126,647","144,138","145,833","153,078",...,,,,,,,,,,,,,,,,,,,,,,
,Gross domestic savingg,"152,522","140,502","134,990","135,803","138,499","140,611","140,005","142,313","131,482","108,169","114,601","106,003","104,464","105,216","110,058","123,888","129,749","135,502",...,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad ,"7,524","7,971","7,313","8,139","9,789","11,362","13,799","15,963","13,644","11,965","12,925","13,920","13,258","16,892","18,494","20,410","18,021","19,459","19,659",,,,,,,,,,,,,,,,,,,,,,
,Net current transfers from abroadh,-991,-971,-599,-752,-627,-546,-918,"-1,077","-1,104","-1,069",-850,-850,-839,-778,"-1,905","-1,664","-1,938","-1,883",...,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,29.0,26.9,26.2,26.3,26.6,26.8,26.6,26.8,25.3,22.1,22.9,21.6,21.1,20.9,21.4,23.3,24.2,24.9,...,,,,,,,,,,,,,,,,,,,,,,
,               Gross national saving,30.2,28.2,27.5,27.8,28.3,28.9,29.0,29.6,27.7,24.3,25.3,24.2,23.6,24.1,24.6,27.1,27.2,28.1,...,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,27.3,26.6,24.7,24.4,24.3,24.7,24.7,24.5,24.5,21.3,21.3,22.1,22.7,23.2,23.9,24.0,23.4,23.9,24.4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices   (¥ '000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per capita GDP ,"4,152","4,113","4,049","4,035","4,078","4,102","4,121","4,154","4,066","3,823","3,907","3,844","3,878","3,948","4,037","4,179","4,221","4,300","4,337",,,,,,,,,,,,,,,,,,,,,,
,Per capita GNI ,"4,212","4,176","4,106","4,099","4,154","4,191","4,229","4,278","4,173","3,916","4,008","3,953","3,982","4,081","4,183","4,340","4,362","4,453","4,493",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES   period averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture;   2004–2006 = 100,103.6,101.6,102.6,99.2,100.1,101.0,98.9,100.5,101.1,99.6,97.2,95.5,97.1,96.7,96.6,95.5,91.9,...,...,,,,,,,,,,,,,,,,,,,,,,
,Mining;   2005 = 100 | 2010 = 100,100.4,100.0,94.0,97.0,97.0,100.0,102.6,106.6 |,113.3,104.1,100.0,100.0,101.0,106.2,104.2,100.0,99.2,103.9,97.7,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing;   2005 = 100 | 2010 = 100,99.2,92.5,91.4,94.2,98.7,100.0,104.5,107.4 |,110.7,86.5,100.0,97.2,97.8,99.2,101.1,100.0,100.0,103.1,104.2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY   annual values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crude petroleumi   (t '000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production ,761,734,756,830 |,834 |,911,905,979,973,917,853,824,759,668,626,578,549,546,…,,,,,,,,,,,,,,,,,,,,,,
,     Exports ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,     Imports ,"254,604","239,784","241,898","244,854 |","243,395 |","249,010","238,649","242,029","234,406","211,657","214,357","209,173","211,026","210,345","199,697","195,873","192,724","187,639","177,477",,,,,,,,,,,,,,,,,,,,,,
,     Consumption ,"242,724","234,808","235,290","237,360 |","235,241 |","241,415","231,072","233,956","224,275","209,846","208,633","197,026","197,643","200,434","189,001","189,036","190,565",...,...,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production,"1,092","1,076","1,101","1,094","1,137","1,158","1,161","1,195","1,146","1,113","1,157","1,108","1,094","1,091","1,054","1,024",...,...,...,,,,,,,,,,,,,,,,,,,,,,
,     Exports ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,     Imports ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,     Consumptionj,982,968,990,982,"1,022","1,044","1,048","1,077","1,036","1,003","1,056","1,002",992,993,969,955,...,...,...,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail prices   (¥/L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",113.65,114.64,111.27,112.78,122.32,135.87,146.78,150.55,167.26,130.89,143.87,156.57,157.75,166.68,173.92,148.62,131.48,144.23,160.65,,,,,,,,,,,,,,,,,,,,,,
,     Diesel,81.59,83.18,80.75,82.13,88.04,100.63,112.83,118.67,140.22,103.08,112.74,126.03,127.29,135.20,142.05,117.16,101.97,112.20,128.52,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer (national);  2015 = 100,99.1,98.4,97.5,97.2,97.2,96.9,97.2,97.2,98.6,97.2,96.5,96.3,96.2,96.6,99.2,100.0,99.9,100.4,101.3,,,,,,,,,,,,,,,,,,,,,,
,Food and nonalcoholic beverages,91.6,91.0,90.0,89.8,90.9,89.6,90.2,90.5,93.2,93.3,93.0,92.6,92.8,92.6,96.6,100.0,102.1,102.8,104.5,,,,,,,,,,,,,,,,,,,,,,
,"Alcoholic beverages, tobacco, and narcotics",94.5,93.9,93.2,93.2,93.2,93.1,93.2,93.1,94.3,93.9,94.6,99.2,98.3,97.5,99.8,100.0,100.0,102.6,103.7,,,,,,,,,,,,,,,,,,,,,,
,Clothing and footwear,101.7,99.5,97.2,95.4,95.2,95.9,96.7,97.2,97.7,96.9,95.7,95.4,95.5,95.8,97.8,100.0,101.8,102.0,102.2,,,,,,,,,,,,,,,,,,,,,,
,"Housing, water, electricity, gas, and other fuels",96.3,96.6,96.3,96.2,96.0,96.1,96.9,97.0,98.5,97.3,97.0,97.6,98.3,99.1,100.7,100.0,97.9,98.5,99.4,,,,,,,,,,,,,,,,,,,,,,
,"Furnishings, household equipment, and routine household maintenance",140.8,135.5,130.3,126.3,121.9,118.9,116.3,114.4,114.0,111.4,106.0,99.9,96.9,94.7,98.4,100.0,99.6,99.1,97.9,,,,,,,,,,,,,,,,,,,,,,
,Health,98.9,99.6,98.4,101.7,101.7,101.4,100.7,101.0,100.7,100.6,100.1,99.5,98.7,98.1,99.1,100.0,100.9,101.8,103.4,,,,,,,,,,,,,,,,,,,,,,
,Transport,91.8,91.8,90.6,90.8,92.1,94.5,96.6,97.6,102.1,94.2,96.6,99.1,99.3,100.7,104.3,100.0,97.0,99.5,102.9,,,,,,,,,,,,,,,,,,,,,,
,Communication,126.7,119.0,117.2,117.1,115.7,107.9,104.0,101.9,101.8,101.3,100.6,100.0,99.0,98.4,99.6,100.0,99.1,95.4,93.7,,,,,,,,,,,,,,,,,,,,,,
,Recreation and culture,121.9,118.1,115.4,113.5,111.8,110.7,108.7,107.1,106.5,103.9,102.2,98.0,96.1,95.1,98.4,100.0,100.8,101.0,101.7,,,,,,,,,,,,,,,,,,,,,,
,Education,101.4,102.4,103.5,104.1,104.8,105.6,106.3,107.1,107.8,108.6,98.0,95.9,96.1,96.6,98.4,100.0,101.6,102.2,102.7,,,,,,,,,,,,,,,,,,,,,,
,Restaurants and hotels,92.2,91.4,91.4,91.5,92.2,92.2,92.7,93.4,94.6,94.9,94.5,94.3,94.4,94.7,97.6,100.0,101.1,101.6,102.6,,,,,,,,,,,,,,,,,,,,,,
,Miscellaneous goods and services,93.6,94.4,95.0,94.8,93.5,94.0,94.2,94.3,93.4,92.7,92.5,93.0,93.7,95.7,98.5,100.0,100.4,100.5,101.4,,,,,,,,,,,,,,,,,,,,,,
,Producerk;   2015 = 100,99.7,97.5,95.5,94.6,95.8,97.4,99.5,101.3,105.9,100.3,100.2,101.7,100.8,102.1,103.1,100.0,96.5,98.7,101.3,,,,,,,,,,,,,,,,,,,,,,
,Implicit GDP deflator;    2011 = 100,114.1,112.8,111.2,109.4,108.2,107.0,106.1,105.3,104.3,103.7,101.7,100.0,99.2,98.9,100.6,102.8,103.1,102.8,102.7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Consumer price index,-0.7,-0.7,-0.9,-0.3,-0.0,-0.3,0.2,0.1,1.4,-1.4,-0.7,-0.3,-0.1,0.3,2.8,0.8,-0.1,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,
,               Food price index,-2.4,-0.6,-1.1,-0.2,1.1,-1.3,0.6,0.3,3.0,0.1,-0.3,-0.4,0.2,-0.2,4.3,3.6,2.1,0.7,1.6,,,,,,,,,,,,,,,,,,,,,,
,               Producer price index,0.0,-2.3,-2.1,-0.9,1.3,1.6,2.2,1.7,4.6,-5.2,-0.1,1.5,-0.9,1.3,1.1,-3.0,-3.5,2.3,2.6,,,,,,,,,,,,,,,,,,,,,,
,               Implicit GDP deflator,-1.4,-1.1,-1.5,-1.6,-1.1,-1.0,-0.9,-0.7,-1.0,-0.6,-1.9,-1.7,-0.8,-0.3,1.7,2.1,0.3,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKINGl  as of end of period (¥ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Money supply (M1)  ,"247,859","281,800","347,977","451,827","470,911","495,144","495,285","498,684","493,925","498,574","515,309","541,403","560,219","591,872","617,781","644,909","701,235","747,093","787,354",,,,,,,,,,,,,,,,,,,,,,
,     Currency in circulation,"61,948","66,690","71,328","71,925","72,812","74,807","76,136","77,375","76,587","76,727","78,404","79,973","83,070","85,271","88,161","93,559","97,301","101,863","105,546",,,,,,,,,,,,,,,,,,,,,,
,     Demand deposits ,"185,912","215,110","276,649","379,901","398,098","420,337","419,149","421,309","417,338","421,847","436,904","461,431","477,149","506,602","529,620","551,351","603,934","645,230","681,808",,,,,,,,,,,,,,,,,,,,,,
,Quasi-moneym,"402,004","389,477","335,617","577,380","566,803","546,466","541,913","546,505","559,229","575,688","579,716","582,104","588,335","595,578","602,401","606,099","589,491","581,485","569,971",,,,,,,,,,,,,,,,,,,,,,
,Money supply (M2) | (M3),"649,863","671,277","683,594 |","1,029,207","1,037,714","1,041,610","1,037,198","1,045,189","1,053,153","1,074,262","1,095,024","1,123,507","1,148,555","1,187,450","1,220,182","1,251,009","1,290,727","1,328,578","1,357,325",,,,,,,,,,,,,,,,,,,,,,
,     Foreign assets (net) ,"27,728","27,758","26,849 |","32,804","41,066","70,932","82,136","110,884","76,926","69,243","74,157","80,185","86,611","103,807","94,759","85,402","71,384","71,479","61,853",,,,,,,,,,,,,,,,,,,,,,
,     Domestic credit ,"756,978","767,624","755,218 |","1,174,326","1,164,450","1,160,691","1,131,797","1,109,870","1,121,713","1,151,556","1,164,691","1,172,705","1,213,427","1,269,602","1,325,264","1,377,757","1,459,233","1,518,930","1,547,934",,,,,,,,,,,,,,,,,,,,,,
,          Claims on government sector (net)n,"180,323","205,825","222,528 |","313,283","323,784","331,833","326,555","322,813","355,582","403,207","434,998","462,610","483,055","524,231","561,298","582,065","627,234","634,848","645,058",,,,,,,,,,,,,,,,,,,,,,
,          Claims on private sectoro,"576,654","561,800","532,690 |","518,153","507,388","512,841","517,851","520,194","524,567","519,720","516,362","510,551","521,236","543,104","551,640","560,873","575,219","600,274","607,213",,,,,,,,,,,,,,,,,,,,,,
,          Claims on other financial institutions,…,…,…   ,"342,891","333,279","316,017","287,392","266,863","241,564","228,629","213,331","199,544","209,136","202,267","212,326","234,819","256,780","283,808","295,663",,,,,,,,,,,,,,,,,,,,,,
,     Other items ,"-134,842","-124,106","-98,474 |","-177,923","-167,803","-190,013","-176,735","-175,565","-145,486","-146,538","-143,823","-129,382","-151,483","-185,959","-199,841","-212,149","-239,891","-261,830","-252,463",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2) | (M3) (% annual change),1.9,3.3,1.8 |,… ,0.8,0.4,-0.4,0.8,0.8,2.0,1.9,2.6,2.2,3.4,2.8,2.5,3.2,2.9,2.2,,,,,,,,,,,,,,,,,,,,,,
,               M2 | M3   (% of GDP at current market prices),123.4,128.3,132.5 |,199.7,199.2,198.7,196.9,196.6,202.3,219.5,218.8,228.6,232.1,236.0,237.4,235.5,240.8,243.7,247.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposit Money Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Demand deposits,"185,912","215,110","276,649","379,901","398,098","420,337","419,149","421,309","417,338","421,847","436,904","461,431","477,149","506,602","529,620","551,351","603,934","645,230","681,808",,,,,,,,,,,,,,,,,,,,,,
,Savings and time depositsp,"402,004","389,477","335,617","577,380","566,803","546,466","541,913","546,505","559,229","575,688","579,716","582,104","588,335","595,578","602,401","606,099","589,491","581,485","569,971",,,,,,,,,,,,,,,,,,,,,,
,Loans and advancesq,"328,677","327,256","287,143","282,901","277,451","315,900","289,778","286,791","293,352","280,056","276,807","275,459","310,850","354,521","392,827","406,404","443,920","447,850","421,907",,,,,,,,,,,,,,,,,,,,,,
,Domestic credits outstandingr,"781,486","749,539","724,407","1,240,183","1,242,353","1,282,703","1,250,840","1,254,605","1,269,918","1,277,591","1,293,427","1,318,994","1,376,335","1,456,700","1,524,847","1,563,854","1,637,345","1,674,565","1,673,689",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Rates  period averages (% per annum),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,On deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Savingss,0.093,0.052,0.017,0.010,0.009,0.008,0.060,0.219,0.206,0.056,0.039,0.028,0.023,0.022,0.022,0.022,0.006,0.002,0.002,,,,,,,,,,,,,,,,,,,,,,
,     Time:   6 monthst,0.197,0.105,0.062,0.069,0.122,0.188,0.366,0.523,0.506,0.341,0.209,0.195,0.187,0.202,0.204,0.175,0.116,0.105,0.097,,,,,,,,,,,,,,,,,,,,,,
,                12 monthsu,0.241,0.130,0.072,0.049,0.040,0.034,0.156,0.381,0.408,0.262,0.102,0.071,0.065,0.061,0.059,0.059,0.039,0.032,0.028,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCEv   fiscal year ending 31 March (¥ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,General Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Revenue,"160,649","158,805","149,610","150,685","156,103","162,706","166,353","169,600","160,743","146,856","151,139","154,569","158,353","166,680","179,132","189,292","189,675","194,736",…,,,,,,,,,,,,,,,,,,,,,,
,          Taxes,"90,664","87,850","80,685","79,170","82,792","88,231","92,192","94,248","86,141","75,744","78,606","80,440","82,610","87,774","95,995","100,020","99,404","103,510",…,,,,,,,,,,,,,,,,,,,,,,
,"               Taxes on income, profits, and capital gains","47,967","45,658","39,057","38,143","41,395","46,058","50,431","52,792","46,013","36,741","39,131","40,486","42,950","47,176","49,707","50,333","49,887","53,452",…,,,,,,,,,,,,,,,,,,,,,,
,                    Payable by individuals,"26,521","25,524","22,362","21,153","22,011","23,182","24,495","26,591","25,835","23,711","23,083","23,419","24,343","26,176","26,479","27,195","27,558","28,885",…,,,,,,,,,,,,,,,,,,,,,,
,                    Payable by corporations and other enterprises,"20,157","18,958","16,292","16,727","19,111","22,701","25,779","25,996","19,984","12,875","15,900","16,942","18,494","20,887","23,117","23,043","22,285","24,508",…,,,,,,,,,,,,,,,,,,,,,,
,"                    Other taxes on income, profits, and capital gains","1,290","1,176",403,263,274,175,158,206,194,156,148,125,114,114,111,94,44,59,…,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on payroll and workforce,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on property,"12,196","12,192","11,949","11,474","11,513","11,650","11,251","11,418","11,494","11,356","11,431","11,672","11,257","11,416","11,863","11,929","12,257","12,554",…,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on goods and services,"28,936","28,406","28,156","28,015","28,298","28,843","28,779","28,296","26,943","26,128","26,447","26,594","26,690","27,325","32,466","35,819","35,404","35,554",…,,,,,,,,,,,,,,,,,,,,,,
,               Taxes on international trade and transaction,876,902,835,845,862,930,947,941,883,732,786,874,897,"1,034","1,073","1,049",939,"1,024",…,,,,,,,,,,,,,,,,,,,,,,
,               Other taxes,690,692,688,693,723,750,783,801,808,787,811,813,815,824,887,891,917,927,…,,,,,,,,,,,,,,,,,,,,,,
,          Social contributions,"50,694","51,937","51,834","51,956","52,277","53,502","55,416","56,820","57,590","55,629","57,528","59,423","61,184","62,664","64,896","67,080","69,147","70,948",…,,,,,,,,,,,,,,,,,,,,,,
,          Grants (revenue),"2,725","2,788","2,787","2,984","2,782","2,654","3,034","3,494","3,359","3,301","3,067","3,099","3,096","2,860","2,645","2,614","2,526","2,387",…,,,,,,,,,,,,,,,,,,,,,,
,          Other revenue,"19,291","18,657","17,091","19,559","21,033","20,972","18,745","18,532","17,008","15,482","15,005","14,666","14,558","16,242","18,240","22,191","21,117","20,254",…,,,,,,,,,,,,,,,,,,,,,,
,Expense,"178,779","177,640","177,986","178,065","175,992","177,962","177,979","181,108","186,264","192,599","193,389","196,553","197,155","198,839","200,988","204,394","205,121","206,600",…,,,,,,,,,,,,,,,,,,,,,,
,          Compensation of employees,"32,245","32,221","31,732","31,378","31,080","30,763","30,754","30,887","30,285","29,535","28,818","28,856","28,354","27,641","28,540","28,657","28,691","28,832",…,,,,,,,,,,,,,,,,,,,,,,
,          Use of goods and services,"15,592","15,674","15,601","15,947","15,368","15,173","14,577","14,764","14,449","15,317","16,183","16,222","16,357","17,393","17,545","17,598","17,976","17,777",…,,,,,,,,,,,,,,,,,,,,,,
,          Consumption of fixed capital,"16,562","16,570","16,572","16,661","16,769","16,889","17,033","17,159","17,261","16,796","16,725","16,709","16,660","16,884","17,344","17,448","17,448","17,660",…,,,,,,,,,,,,,,,,,,,,,,
,          Interest,"16,645","15,542","14,377","13,263","12,346","11,682","12,019","12,289","12,118","11,539","11,499","11,492","11,296","11,216","11,108","10,932","10,533","9,989",…,,,,,,,,,,,,,,,,,,,,,,
,          Subsidies,"4,024","3,987","3,872","3,873","3,314","3,022","2,992","2,749","2,728","3,520","3,552","3,441","3,457","3,349","3,272","3,310","3,038","2,978",…,,,,,,,,,,,,,,,,,,,,,,
,          Grants (expense),479,519,475,641,801,"1,056",837,582,725,647,654,647,698,850,628,631,591,584,…,,,,,,,,,,,,,,,,,,,,,,
,          Social benefits,"79,366","82,167","83,855","85,188","87,104","89,182","90,591","93,614","95,626","100,931","104,450","106,540","108,289","109,616","110,870","113,423","114,634","116,273",…,,,,,,,,,,,,,,,,,,,,,,
,          Other expense,"13,866","10,960","11,501","11,114","9,210","10,195","9,175","9,065","13,072","14,314","11,509","12,647","12,044","11,891","11,682","12,394","12,211","12,507",…,,,,,,,,,,,,,,,,,,,,,,
,Net operating balance,"-18,130","-18,835","-28,375","-27,379","-19,889","-15,256","-11,625","-11,508","-25,521","-45,744","-42,250","-41,984","-38,802","-32,159","-21,856","-15,102","-15,446","-11,863",…,,,,,,,,,,,,,,,,,,,,,,
,Gross operating balance,"-1,568","-2,265","-11,803","-10,718","-3,120","1,633","5,408","5,651","-8,260","-28,947","-25,526","-25,276","-22,142","-15,275","-4,512","2,346","2,002","5,797",…,,,,,,,,,,,,,,,,,,,,,,
,Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net/gross investment in nonfinancial assets,"16,174","13,888","12,088","9,263","6,680","5,759","4,195","3,024","2,437","4,374","2,470","2,218","1,997","4,263","3,609","2,728","2,733","3,156",…,,,,,,,,,,,,,,,,,,,,,,
,          Fixed assets,"12,315","10,614","9,226","6,505","4,444","3,678","2,259","1,055",522,"2,318",955,797,652,"2,830","2,342","1,645","1,824","2,159",…,,,,,,,,,,,,,,,,,,,,,,
,          Inventories,-19,-130,-71,-170,92,77,21,126,-56,45,-6,10,40,46,77,35,-34,87,…,,,,,,,,,,,,,,,,,,,,,,
,          Valuables,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,,,,,,,,,,,,,,,,,,,,,,
,          Nonproduced assets,"3,878","3,405","2,932","2,928","2,144","2,003","1,915","1,843","1,971","2,012","1,522","1,411","1,305","1,386","1,190","1,049",942,910,…,,,,,,,,,,,,,,,,,,,,,,
,     Expenditure,"194,954","191,528","190,073","187,327","182,672","183,721","182,173","184,132","188,701","196,973","195,859","198,771","199,151","203,102","204,597","207,122","207,854","209,756",…,,,,,,,,,,,,,,,,,,,,,,
,     Net lending/Net borrowing,"-34,304","-32,723","-40,463","-36,642","-26,569","-21,014","-15,820","-14,532","-27,958","-50,118","-44,720","-44,203","-40,799","-36,421","-25,465","-17,831","-18,179","-15,020",…,,,,,,,,,,,,,,,,,,,,,,
,     Primary balance,"-17,659","-17,181","-26,086","-23,380","-14,223","-9,332","-3,801","-2,243","-15,840","-38,579","-33,222","-32,710","-29,502","-25,206","-14,357","-6,899","-7,647","-5,030",…,,,,,,,,,,,,,,,,,,,,,,
,     Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net acquisition of financial assets,"21,353","-13,857","-3,434","21,636","-5,077","-6,914","-24,996","-7,372","-14,447","3,986","-5,988","15,018","-5,288",-220,"21,761",442,"6,857","6,808",…,,,,,,,,,,,,,,,,,,,,,,
,          Domestic,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,          External,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,     Net incurrence of liabilities,"48,431","24,442","29,573","61,800","24,985","12,458","-8,618","4,164","10,356","49,911","36,263","57,186","33,287","33,756","49,937","14,421","22,300","18,253",…,,,,,,,,,,,,,,,,,,,,,,
,          Domestic,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,          External,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Government Finance  (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total revenue,30.5,30.4,29.0,29.2,30.0,31.0,31.6,31.9,30.9,30.0,30.2,31.5,32.0,33.1,34.9,35.6,35.4,35.7,…,,,,,,,,,,,,,,,,,,,,,,
,Tax revenue ,17.2,16.8,15.6,15.4,15.9,16.8,17.5,17.7,16.5,15.5,15.7,16.4,16.7,17.4,18.7,18.8,18.5,19.0,…,,,,,,,,,,,,,,,,,,,,,,
,Taxes payable by individuals,5.0,4.9,4.3,4.1,4.2,4.4,4.6,5.0,5.0,4.8,4.6,4.8,4.9,5.2,5.2,5.1,5.1,5.3,…,,,,,,,,,,,,,,,,,,,,,,
