SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Less: Imports of goods and services,"623,570","638,209","677,676","741,430","923,149","1,012,192","1,208,757","1,413,278","1,699,328","1,345,216","1,719,605","2,460,830","2,766,060","2,775,711","3,021,531","3,125,931","3,414,338","3,872,521","4,354,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Imports of goods,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Imports of services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Statistical discrepancy ,"2,084","5,068","8,000","7,224","10,939","16,951","18,266","23,127","19,987","6,802",...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,70.9,70.4,71.3,71.8,70.9,69.0,67.7,67.2,70.0,64.4,68.5,71.3,65.2,67.6,67.4,67.4,71.0,69.9,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Government final consumption,13.7,13.1,12.7,12.2,12.6,13.1,15.4,15.3,16.2,17.6,8.5,8.6,7.6,7.8,8.4,9.0,8.5,8.4,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,25.4,22.2,22.0,21.6,24.7,26.1,27.4,27.3,27.1,24.3,30.4,33.4,39.1,33.2,32.3,31.2,27.9,28.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,                    Changes in inventories,0.6,1.4,2.0,1.6,2.1,2.8,2.5,2.6,1.8,0.6,5.9,5.1,9.2,3.2,4.1,5.1,0.4,1.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,38.2,38.4,34.9,34.7,35.3,32.3,30.1,29.1,24.8,21.3,19.6,20.9,19.8,20.3,21.1,21.0,21.2,21.7,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Imports of goods and services,48.4,44.5,41.4,40.7,44.2,41.3,41.1,39.5,38.5,27.8,26.8,34.1,31.7,28.9,29.2,28.5,28.5,28.9,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Statistical discrepancy,0.2,0.4,0.5,0.4,0.5,0.7,0.6,0.6,0.5,0.1,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Constant Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"GDP by industrial origin at 1998 market prices | 2002 producer prices |
     2010 market prices","1,155,552","1,140,130 |","1,636,037","1,733,222","1,827,597","1,941,671","2,090,564","2,232,656","2,365,501","2,449,214 |","6,413,668","6,952,720","7,588,516","7,846,203","8,235,429","8,647,833","9,035,830","9,344,839","9,644,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishing","191,012","183,736 |","233,615","237,531","237,536","241,851","257,147","265,870","285,897","295,097 |","544,914","569,954","592,443","611,676","639,696","669,725","644,655","642,366","672,923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDP by Industrial Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Mining and quarrying,"12,755","12,030 |","19,888","23,156","24,439","28,791","35,769","42,631","48,090","52,030 |","214,511","244,014","284,856","301,721","201,613","191,145","217,577","237,381","225,321",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Manufacturing,"204,248","197,639 |","302,365","314,204","330,459","350,886","370,355","394,233","413,681","427,334 |","1,157,975","1,198,135","1,235,988","1,263,921","1,296,100","1,360,977","1,402,395","1,448,383","1,491,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supplyf","20,907","20,601 |","35,608","38,151","40,445","46,108","52,926","55,339","56,847","58,974 |",,,,,"80,298","85,202","92,356","94,796","98,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,"28,859","33,704","38,511","41,136","43,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Construction,"74,658","76,399 |","100,404","104,136","110,259","120,196","131,248","142,996","154,173","162,790 |","336,381","424,798","514,757","553,438","611,842","596,697","645,994","674,025","659,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesg,"219,723","210,894 |","389,332","420,478","451,633","480,402","514,511","546,145","571,911","570,698 |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Accommodation and food service activities,,,,,,,,,,,"1,459,691","1,643,379","1,792,678","1,840,272","1,905,136","2,002,814","2,083,494","2,158,118","2,244,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Transportation and storageh,"119,298","123,322 |","173,745","191,872","210,495","230,597","259,546","286,764","310,029","329,578 |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Information and communication,,,,,,,,,,,"31,650","33,813","36,674","39,510","44,078","48,917","52,829","57,870","63,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,"77,481","81,143 |","130,465","144,816","153,143","163,863","177,817","193,375","206,048","217,819 |","342,763","382,274","433,714","456,863","495,201","575,798","646,736","700,547","781,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Real estate activities,...,...,…,…,…,…,…,…,…,…,"307,112","328,076","369,719","417,024","444,049","489,352","520,085","544,727","565,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Professional, scientific, and technical activities",...,...,…,…,…,…,…,…,…,…,"112,062","127,358","155,741","161,963","166,486","154,266","152,229","158,754","165,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,...,...,…,…,…,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social securityi,"63,701","60,974 |","139,094","140,234","146,030","153,866","161,611","171,259","181,051","191,778 |",,,,,"402,205","430,105","452,586","430,671","427,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education,…,…,…,…,…,…,…,…,…,…,"658,950","659,260","726,619","686,499","173,751","159,875","171,830","172,697","178,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,…,…,…,…,…,…,…,…,…,…,,,,,"147,962","160,056","162,405","174,150","177,940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",…,…,…,…,…,…,…,…,…,…,,,,,…,…,…,…,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other service activities,"50,426","52,483 |","111,522","118,646","123,159","125,112","129,633","134,044","137,774","143,116 |","592,095","642,995","730,316","803,514","839,633","873,534","885,421","913,573","957,342",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Activities of households as employers; undifferentiated goods-
          and services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross value added at basic prices,"1,034,209","1,019,221 |","1,636,038","1,733,224","1,827,598","1,941,672","2,090,563","2,232,656","2,365,501","2,449,214 |","5,758,104","6,254,056","6,873,505","7,136,401","7,476,908","7,832,167","8,169,103","8,449,194","8,752,736",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes and duties on imports ,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes on products,"121,343","120,909 |",...,...,...,...,...,...,...,…,"687,833","737,357","748,362","744,923","791,696","857,040","894,210","922,441","927,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subsidies on products,...,…,...,...,...,...,...,...,...,…,"32,269","38,693","33,351","35,121","33,174","41,373","27,483","26,795","35,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net factor income from abroad,"-20,655","-18,945 |","-24,043","-15,725","-18,122","-23,787","-28,758","-24,365","-56,330","-28,262 |","-69,776","-67,488","-134,945","-184,159","-186,344","-214,835","-240,927","-249,617","-266,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GNI at 1998 market prices | 2002 producer prices | 2010 market prices,"1,134,897","1,120,783 |","1,611,994","1,717,497","1,809,475","1,917,884","2,061,806","2,208,291","2,309,171","2,420,952 |","6,343,892","6,885,232","7,453,571","7,662,044","8,049,085","8,432,998","8,794,903","9,095,222","9,378,637",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Output   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               GDP,6.0,-1.3,4.0,5.9,5.4,6.2,7.7,6.8,6.0,3.5,8.0,8.4,9.1,3.4,5.0,5.0,4.5,3.4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Agriculture,2.3,-3.8,2.0,1.7,0.0,1.8,6.3,3.4,7.5,3.2,7.0,4.6,3.9,3.2,4.6,4.7,-3.7,-0.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Industry,9.0,-1.9,3.5,4.7,5.4,8.0,8.1,7.6,5.9,4.2,8.4,9.3,9.0,4.1,4.7,2.2,5.7,4.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Services,6.1,-0.3,4.8,7.6,6.7,6.4,7.7,7.1,5.6,3.3,8.0,8.9,11.2,3.8,4.8,6.0,4.8,3.6,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expenditure on GDP at 1998 | 2002 | 2010 market prices,"1,155,552","1,139,728 |","1,636,037","1,733,222","1,827,597","1,941,671","2,090,564","2,232,656","2,365,501","2,449,214 |","6,413,668","6,952,720","7,588,517","7,846,201","8,235,429","8,647,833","9,035,830","9,344,839","9,644,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At constant Expenditure on GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Final consumption expenditure,"886,871","895,354 |","1,374,112","1,480,831","1,542,120","1,592,251","1,704,633","1,781,906","1,922,863","1,992,820 |","4,932,545","5,355,453","5,496,156","5,881,197","6,109,435","6,584,691","7,036,082","7,160,351","7,277,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Household final consumption,"730,096","741,207 |","1,166,027","1,262,818","1,303,930","1,325,459","1,412,275","1,467,894","1,578,150","1,592,953 |","4,390,215","4,824,505","4,933,104","5,317,618","5,512,177","5,926,299","6,362,682","6,523,177","6,674,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          NPISHs final consumption ,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Government final consumption,"156,775","154,147 |","208,085","218,013","238,190","266,792","292,358","314,012","344,713","399,867 |","542,330","530,948","563,052","563,579","597,258","658,392","673,400","637,174","602,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Gross capital formation,"290,295","251,922 |","360,406","407,491","465,075","508,727","576,380","623,880","651,389","664,127 |","1,946,707","2,340,767","2,848,687","2,597,114","2,896,597","3,006,450","3,156,162","3,416,093","3,642,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Gross fixed capital formation,"284,917","247,531 |","328,406","373,781","440,481","483,699","545,955","595,874","627,437","635,870 |","1,522,847","1,774,951","2,060,075","2,174,090","2,137,668","2,138,922","2,334,584","2,447,693","2,435,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Public,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Private,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Changes in inventories,"5,378","4,391 |","32,000","33,710","24,594","25,028","30,425","28,006","23,952","28,257 |","377,651","432,379","721,340","362,375","723,666","780,139","755,873","873,397","1,132,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Acquisitions less disposals of valuables,...,…,...,...,...,...,...,...,...,…,"46,209","133,437","67,272","60,649","35,263","87,388","65,705","95,003","75,162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Exports of goods and services,"457,762","421,141 |","571,195","590,366","636,081","678,356","704,408","756,022","758,972","665,575 |","1,254,021","1,381,932","1,379,424","1,470,967","1,533,668","1,605,147","1,593,234","1,714,147","1,722,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Exports of goods,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Exports of services,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Less: Imports of goods and services,"480,721","429,284 |","677,676","753,894","821,827","843,919","902,463","936,154","973,711","880,372 |","1,719,605","2,125,432","2,135,750","2,103,077","2,304,271","2,548,455","2,749,649","2,945,752","2,997,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Imports of goods,...,…,...,...,...,...,...,...,...,…,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Imports of services,...,…,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Statistical discrepancy ,"1,345",595 |,"8,000","8,428","6,148","6,257","7,606","7,001","5,988","7,064 |",...,...,...,...,...,...,...,...,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,4.0,1.5,...,8.3,3.3,1.7,6.5,3.9,7.5,0.9,...,9.9,2.3,7.8,3.7,7.5,7.4,2.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Government final consumption,5.3,-1.7,...,4.8,9.3,12.0,9.6,7.4,9.8,16.0,...,-2.1,6.0,0.1,6.0,10.2,2.3,-5.4,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Gross capital formation,8.7,-13.2,...,13.1,14.1,9.4,13.3,8.2,4.4,2.0,...,20.2,21.7,-8.8,11.5,3.8,5.0,8.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,17.1,-8.0,...,3.4,7.7,6.6,3.8,7.3,0.4,-12.3,...,10.2,-0.2,6.6,4.3,4.7,-0.7,7.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Imports of goods and services,14.8,-10.7,...,11.2,9.0,2.7,6.9,3.7,4.0,-9.6,...,23.6,0.5,-1.5,9.6,10.6,7.9,7.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,"327,086","318,208 |","360,406","394,092","517,077","641,068","803,974","977,193","1,195,260","1,174,647","1,946,707","2,408,573","3,410,510","3,189,325","3,347,638","3,414,556","3,341,171","3,867,947","4,130,406",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross national saving,"248,512","300,372 |","342,864","391,250","459,520","583,473","656,301","834,928","784,278","1,148,305","1,825,233","1,897,483","2,908,641","2,865,364","3,088,201","3,157,032","3,910,732","4,507,435","3,676,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Gross domestic saving,"197,902","236,376 |","261,925","291,435","343,580","438,980","498,864","628,976","611,598","867,523","1,481,123","1,456,308","2,374,917","2,362,772","2,511,145","2,589,691","3,290,601","3,895,975","3,068,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Net factor income from abroad,"-23,009","-23,841 |","-24,043","-16,535","-20,732","-30,049","-40,424","-39,054","-105,032","-55,795","-69,775","-72,041","-154,889","-226,087","-236,073","-274,741","-319,652","-352,856","-391,934",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
