TUVALU,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
,     Debit,...,...,...,...,...,...,...,...,...,...,…,1.2,4.7,0.4,0.0,0.0,0.0,0.9,…,,
,Balance on secondary income,23.6,11.5,20.8,13.5,...,...,7.6,7.9,13.0,15.4,17.2 |,14.8,21.0,13.0,21.7,28.0,26.9,34.7,…,,
,     Credit,25.1,13.2,22.4,15.5,...,...,9.1,9.9,15.1,17.1,19.1 |,17.2,23.2,13.7,22.4,28.7,27.3,35.1,…,,
,     Debit,-1.5,-1.7,-1.6,-2.0,...,...,-1.5,-2.0,-2.1,-1.6,-1.9 |,2.5,2.3,0.7,0.4,0.7,0.4,0.4,…,,
,Capital account,...,...,...,...,...,...,8.1,1.7,17.2,-6.0,-2.9 |,15.2,8.7,5.6,5.5,31.9,11.1,18.9,…,,
,     Credit,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,,
,     Debit,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,,
,Financial account,...,...,...,...,...,...,...,...,...,...,...,-2.4,-12.2,9.6,3.7,6.0,9.5,19.8,…,,
,     Direct investment,...,...,...,...,...,...,...,...,...,...,...,-0.1,1.7,...,...,...,...,...,…,,
,     Portfolio investment,...,...,...,...,...,...,...,...,...,...,...,0.0,-7.2,...,...,...,...,...,…,,
,     Financial derivatives,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,,
,     Other investment,...,...,...,...,...,...,...,...,...,...,...,-2.4,-6.6,...,...,...,...,…,…,,
,Net errors and omissions,...,...,...,...,...,...,0.9,1.3,-8.1,1.2,0.6 |,-0.1,-1.4,...,...,...,…,…,…,,
,Overall balance,...,...,...,...,...,...,8.7,2.3,5.1,2.7,-3.6 |,-1.8,2.0,12.6,10.3,19.3,29.7,41.3,…,,
,Reserves and related items,...,...,...,...,...,...,...,...,...,...,...,1.8,-2.0,-12.6,-10.3,-19.3,-29.7,-41.3,…,,
,International investment position,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,,
,,,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,
,               Exports,2.1,1.6,1.4,1.6,...,...,2.0,1.5,1.7,1.7,1.5,27.5,55.4,1.0,1.0,1.0,1.0,1.0,…,,
,               Imports,67.0,71.3,92.8,102.4,...,...,42.1,44.6,53.1,48.1,55.8,47.5,59.6,46.0,48.0,121.0,62.0,62.0,…,,
,               Balance on goods,-64.9,-69.7,-91.4,-100.9,...,...,-40.5,-43.1,-51.2,-46.3,-54.3,-20.0,-4.2,-45.0,-47.0,-121.0,-61.0,-61.0,…,,
,               Current account balance,54.5,-28.8,11.0,-63.6,...,...,-1.6,-1.9,-13.1,27.8,-3.8,-37.5,18.4,-7.0,3.0,-53.0,23.0,6.0,…,,
,               Overall balance,...,...,...,...,...,...,37.8,8.7,17.1,9.8,-11.4,-4.6,5.3,34.0,28.0,55.0,75.0,94.0,…,,
,,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES   (A$–$),,,,,,,,,,,,,,,,,,,,,
,End of period,1.8,2.0,1.8,1.3,1.3,1.4,1.3,1.1,1.4,1.1,1.0,1.0,1.0,1.1,1.2,1.4,1.4,1.3,1.4,,
,Average of period,1.7,1.9,1.8,1.5,1.4,1.3,1.3,1.2,1.2,1.3,1.1,1.0,1.0,1.0,1.1,1.3,1.3,1.3,1.3,,
,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS    as of end of year ($ million),,,,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursedd,4.0,5.0,5.0,...,...,...,10.5,11.4,14.6,14.4,15.6,16.4,14.4,19.9,24.4,27.9,28.5,26.0,...,,
,     External debt  (% of GDP),29.0,37.8,32.2,...,...,...,45.7,42.1,48.3,53.0,49.1,41.7,19.7,51.8,59.8,59.9,53.5,45.4,...,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"… = data not available; | = marks break in series; – = magnitude equals zero; 0.0 = magnitude is less than half of unit employed; $ = United States dollars; A$ = Australian dollars; cif = cost, insurance, and freight; fob = free on board; km2 = square kilometer; kWh = kilowatt-hour; GDP = gross domestic product.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
a,"Refers to house rentals, house maintenance, fuel and electricity, and household appliances.",,,,,,,,,,,,,,,,,,,,,
b,"Includes education, telecommunications, and entertainment.",,,,,,,,,,,,,,,,,,,,,
c,"For 2011 onward, data are based on the IMF’s Balance of Payments and International Investment Position Manual (sixth edition).",,,,,,,,,,,,,,,,,,,,,
d,"For 2000–2002, data refer to total identified external debt. For 2012–2017, data refer to public and private sector external debt.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Population,For 2000–2001 and 2003–2011: Secretariat of the Pacific Community. http://www.spc.int/sdd/ (accessed 27 May 2015).,,,,,,,,,,,,,,,,,,,,
,,"For 2002: Government of Tuvalu, Central Statistics Division (CSD). Population and Housing Census 2002; official website: https://bit.ly/2Yqvarz (accessed May 2006).",,,,,,,,,,,,,,,,,,,,
,,For 2012: Census and Pacific Island Countries and Territories.  https://bit.ly/2yAmLT0 (accessed 2 June 2017).,,,,,,,,,,,,,,,,,,,,
,,For 2013–2018: Asian Development Bank estimates.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,National Accounts,"CSD. Official communication, 24 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Production Indexes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,     Agriculture,Food and Agriculture Organization of the United Nations. FAOSTAT. http://faostat.fao.org/site/612/default.aspx#ancor (accessed 27 June 2019).,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Energy,For 2000–2005: CSD. Prism. http://www.spc.int/prism/country/tv/stats/ (accessed July 2006); statistical reports.,,,,,,,,,,,,,,,,,,,,
,,"For 2006: CSD. Tuvalu Biannual Statistical Report, June 2008. http://bit.ly/2dQu0yG.",,,,,,,,,,,,,,,,,,,,
,,For 2008–2016: United Nations. Energy Statistics Database. http://data.un.org/Data.aspx?q=electricity&d=EDATA&f=cmID%3aEL (accessed 28 May 2019).,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Price Indexes,"CSD. Official communication, 24 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Government Finance,"For 2012–2016: CSD. Official communication, 24 May 2019.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,External Trade,"For 2000–2005 and 2010–2017: CSD. Official communication, 24 May 2019; past communication.",,,,,,,,,,,,,,,,,,,,
,,For 2006–2009: World Trade Organization. Time Series. http://stat.wto.org/StatisticalProgram/WSDBViewData.aspx?Language=E (accessed 13 June 2019).,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,     Direction of Trade,International Monetary Fund (IMF). International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019).,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Balance of Payments,"For 2000–2003: CSD. Official communication, 13 May 2008; past communication.",,,,,,,,,,,,,,,,,,,,
,,"For 2006–2007: IMF. 2011. Staff Report for the 2010 Article IV Consultation, 12 January. Washington, DC. ",,,,,,,,,,,,,,,,,,,,
,,"For 2008–2010: IMF. 2016. Staff Report for the 2012 Article IV Consultation, 13 September. Washington, DC. ",,,,,,,,,,,,,,,,,,,,
,,"For 2010–2017: IMF. 2018. Staff Report for the 2018 Article IV Consultation, 5 July. Washington, DC. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Exchange Rates,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019). ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,External Indebtedness,IMF. International Financial Statistics. http://data.imf.org/ (accessed 27 March 2019). ,,,,,,,,,,,,,,,,,,,,
