INDONESIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Imports," 11,473 "," 15,397 "," 15,880 "," 16,817 "," 18,930 "," 15,650 "," 18,089 "," 18,540 "," 13,354 "," 15,304 "," 14,251 "," 13,254 "," 12,550 "," 16,016 "," 16,186 "," 18,728 "," 19,932 ", … , … 
,     Consumption, ... ," 42,956 "," 43,476 "," 50,558 "," 50,484 ", ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , … 
,,,,,,,,,,,,,,,,,,,,
,Coal  (t '000),,,,,,,,,,,,,,,,,,,
,     Production," 77,040 "," 92,540 "," 103,329 "," 114,278 "," 132,352 "," 152,722 "," 193,761 "," 216,947 "," 240,250 "," 256,181 "," 275,164 "," 353,271 "," 361,028 "," 345,933 "," 402,552 "," 406,539 "," 423,950 ",…,…
,     Exports," 58,460 "," 65,281 "," 74,178 "," 85,681 "," 93,759 "," 110,790 "," 143,633 "," 163,000 "," 191,430 "," 198,366 "," 208,000 "," 272,671 "," 347,505 "," 381,384 "," 356,303 "," 328,387 "," 311,330 "," 319,098 "," 343,124 "
,     Imports, 140 , 30 , 20 , 38 , 97 , 98 , 111 , 68 , 107 , 69 , 55 , 42 , 82 , 511 , … , … , … , … , … 
,     Consumption, ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , ... , … , … ,…,…,…
,,,,,,,,,,,,,,,,,,,,
,Natural gase  (TJ),,,,,,,,,,,,,,,,,,,
,     Production," 3,060,900 "," 2,957,201 "," 3,197,732 "," 2,978,773 "," 2,951,031 "," 2,877,910 "," 2,649,206 "," 2,498,044 "," 2,587,533 "," 2,744,596 "," 2,890,084 "," 2,761,875 "," 3,023,470 "," 2,821,680 "," 3,149,501 ", … , … ,…,…
,     Exports," 1,156,862 "," 1,666,663 "," 27,618 "," 27,614 "," 26,594 "," 24,456 "," 440,324 "," 527,581 "," 490,813 "," 263,754 "," 299,521 "," 300,882 "," 665,027 "," 599,752 "," 568,124 ", … , … ,…,…
,     Imports, 132 , ... , -   , 69 , 19 , 22 , -   , -   , -   , -   , -   , -   ," 75,723 "," 81,827 "," 85,743 ", … , … ,…,…
,     Consumption, ... ," 1,178,357 "," 1,594,647 "," 1,654,685 "," 1,293,274 ", ... ," 126,359 "," 165,995 "," 226,600 "," 343,351 "," 401,068 "," 415,468 "," 625,649 ", ... , … , … ,…,…,…
,,,,,,,,,,,,,,,,,,,,
,Electricity  (kWh million),,,,,,,,,,,,,,,,,,,
,     Production," 92,821 "," 101,630 "," 108,359 "," 113,020 "," 119,105 "," 124,505 "," 131,710 "," 139,711 "," 148,058 "," 156,797 "," 175,976 "," 185,927 "," 204,205 "," 222,207 "," 238,019 "," 239,750 "," 250,842 "," 262,661 ", … 
,     Consumption," 79,170 "," 84,500 "," 88,412 "," 90,440 "," 99,826 "," 105,933 "," 112,609 "," 121,247 "," 129,018 "," 134,582 "," 149,807 "," 158,694 "," 174,342 "," 188,342 "," 199,028 "," 204,280 "," 217,438 "," 226,014 ", … 
,,,,,,,,,,,,,,,,,,,,
,Retail Prices   (Rp/L),,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium"," 1,150 "," 1,450 "," 1,750 "," 1,810 "," 1,810 "," 2,915 "," 4,551 ", ... , ... ," 4,594 "," 4,570 "," 4,654 "," 4,695 "," 5,718 "," 6,899 "," 8,788 "," 8,035 ",8293,…
,     Diesel, 550 , 865 ," 1,510 "," 1,650 "," 1,650 "," 2,577 "," 4,298 ", ... , ... ," 4,511 "," 4,502 "," 4,507 "," 4,500 "," 5,029 "," 5,739 ",…,…,…,…
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages ,,,,,,,,,,,,,,,,,,,
,Consumerf;    1996 | 2002 | 2007 | 2012 =100,210.3,234.5,262.3,279.6 |,113.3,125.1,145.9,150.6 |,109.8,115.1,121.0,127.5,132.9,142.2 |,113.2,120.4,124.7,129.4,133.6
,          Food and nonalcoholic beveragesg,249.0,270.0,299.3,301.7 |,106.8,117.4,142.9,150.1 |,116.9,125.1,136.9,148.6,157.3,176.1 |,119.5,128.0,137.3,140.2,146.1
,"          Alcoholic beverages, tobacco, and narcoticsh",229.5,261.5,292.9,317.5 |,113.0,122.8,136.1,144.7 |,109.7,119.8,129.3,135.8,143.4,152.5 |,113.9,123.1,130.4,136.4,141.9
,          Clothing and footwear,245.3,267.8,280.3,292.4 |,110.2,116.4,129.5,133.1 |,109.0,115.9,121.2,131.4,139.2,141.1 |,105.1,108.9,112.9,116.2,120.5
,"          Housing, water, electricity, gas, and other fuelsi",175.2,196.2,224.8,249.3 |,120.5,131.4,148.3,152.6 |,108.5,114.0,117.3,122.2,126.4,132.4 |,111.0,118.1,120.2,126.2,129.5
,"          Furnishings, household equipment, and routine household maintenance",,,,,,,,,,,,,,,,,,,
,          Health,229.9,255.5,272.4,287.9 |,111.0,116.2,127.0,130.1 |,106.2,111.7,114.7,119.0,122.8,126.9 |,108.2,114.4,119.4,123.6,127.3
,          Transportj,182.8,208.1,245.2,262.5 |,111.8,134.6,167.1,168.2 |,105.8,102.9,104.8,107.3,109.4,119.0 |,116.3,123.7,123.1,128.5,130.9
,          Communication,,,,,,,,,,,,,,,,,,,
,          Recreation and culture,184.0,211.5,235.6,260.6 |,119.1,130.4,147.7,153.4 |,106.5,111.8,115.7,120.9,126.2,131.5 |,107.9,112.4,116.2,119.6,123.6
,          Education,,,,,,,,,,,,,,,,,,,
,          Restaurants and hotels,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Miscellaneous goods and servicesk,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Wholesale;    2000 | 2005 | 2010 = 100,100.0,113.0,118.0,122.0,131.0,151.0,171.6,195.3,245.6 |,162.7,170.6,183.3,192.7,189.6 |,132.4,138.3,149.2,156.1,164.6
,Implicit GDP deflator;    2000 | 2010 = 100,100.0,114.3,121.0,127.7,138.6,158.5,180.8,201.1,237.6,257.3,100.0,107.5,111.5,117.0,123.4,128.4,131.5,137.1,142.3
,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
,               Consumer price index,3.8,11.5,11.9,6.6,6.1,10.5,16.6,3.2,9.8,4.8,5.1,5.4,4.3,7.0,6.4,6.4,3.5,3.8,3.2
,               Food and nonalcoholic beverages price index,-4.8,8.4,10.8,0.8,5.9,10.0,21.7,5.0,16.9,7.0,9.4,8.5,5.9,12.0,...,7.2,7.2,2.1,4.2
,               Wholesale price indexl,12.5,13.0,4.4,3.4,7.4,15.3,13.6,13.8,25.8,-0.1,4.9,7.5,5.1,-1.6,5.4,4.4,7.9,4.6,5.5
,               Implicit GDP deflator,9.6,14.3,5.9,5.5,8.6,14.3,14.1,11.3,18.1,8.3,8.2,7.5,3.8,5.0,5.4,4.0,2.4,4.2,3.8
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKING   as of end of period (Rp trillion),,,,,,,,,,,,,,,,,,,
,Money supply (M1),162,178,192,224,246,271,347,450,457,516,605,723,842,887,942,"1,055","1,238","1,391","1,457"
,     Currency in circulation,72,76,81,95,109,124,151,183,210,226,260,308,362,400,419,470,508,587,625
,     Demand depositsm,90,101,111,129,137,147,196,267,247,290,345,415,480,487,523,586,730,804,832
,Quasi-moneyn,585,666,692,732,788,932,"1,035","1,200","1,439","1,626","1,866","2,154","2,466","2,821","3,209","3,480","3,754","4,010","4,282"
,Money supply (M2),747,844,884,956,"1,034","1,203","1,382","1,650","1,896","2,141","2,471","2,877","3,308","3,730","4,173","4,549","5,005","5,419","5,760"
,     Foreign assets (net),211,234,251,272,253,302,402,510,593,679,865,912,965,"1,011","1,106","1,177","1,299","1,542","1,443"
,     Domestic credit,815,859,900,947,"1,139","1,271","1,383","1,588","1,800","1,968","2,279","2,735","3,307","3,933","4,378","4,809","5,230","5,576","6,198"
,          Claims on government sector (net),520,530,510,479,500,496,507,507,387,429,369,351,390,407,417,491,519,489,473
,          Claims on private sector,281,311,366,443,606,733,822,"1,006","1,314","1,404","1,684","2,118","2,581","3,098","3,489","3,822","4,116","4,413","4,869"
,          Claims on other financial institutions,…,…,…,…,18,25,26,34,50,68,125,161,175,217,253,272,290,325,371
,          Claims on state and local government units,…,…,…,…,1,0,1,1,1,1,2,1,3,5,7,7,1,4,5
,          Claims on public nonfinancial institutions,14,18,23,24,14,17,28,40,48,67,99,103,158,206,214,218,305,345,480
,     Other itemso,-279,-249,-266,-263,-359,-370,-402,-448,-498,-506,-673,-770,-965,"-1,214","-1,311","-1,437","-1,524","-1,699","-1,881"
,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)   (% annual change),15.6,13.0,4.7,8.1,8.2,16.3,14.9,19.3,14.9,13.0,15.4,16.4,15.0,12.8,11.9,9.0,10.0,8.3,6.3
,               M2   (% of GDP at current market prices),53.8,51.3,48.5,47.5,45.0,43.4,41.4,41.8,38.3,38.2,36.0,36.7,38.4,39.1,39.5,39.5,40.4,39.9,38.8
,,,,,,,,,,,,,,,,,,,,
,Deposit Money Banks,,,,,,,,,,,,,,,,,,,
,     Demand depositsp, 87.8 , 99.7 , 204.1 , 224.8 , 247.1 , 227.6 , 276.2 , 355.3 , 359.3 , 413.7 , 483.9 , 568.4 , 662.0 , 729.4 , 766.6 , 858.2 , 988.6 ," 1,051.1 "," 1,110.3 "
,     Savings deposits, 444.7 , 511.6 , 193.5 , 244.4 , 296.6 , 284.5 , 336.1 , 443.3 , 503.1 , 603.3 ," 1,717.5 "," 1,986.5 "," 2,273.1 "," 2,578.1 "," 2,964.5 "," 3,205.4 "," 3,494.4 "," 3,762.6 "," 4,003.1 "
,     Time deposits,,, 447.5 , 433.1 , 421.3 , 564.1 , 616.8 , 664.3 , 819.8 , 894.3 ," 1,783.6 "," 2,223.7 "," 2,738.1 "," 3,323.7 "," 3,707.9 "," 4,083.2 "," 4,402.5 "," 4,763.7 "," 5,322.0 "
,     Domestic credits outstandingq, 716.9 , 730.2 , 365.4 , 437.9 , 553.5 , 749.5 , 849.3 ," 1,067.7 "," 1,398.9 "," 1,529.0 "," 1,896.7 "," 2,370.1 "," 2,911.0 "," 3,518.5 "," 3,953.7 "," 4,310.0 "," 4,703.7 "," 5,080.1 "," 5,714.9 "
,,,,,,,,,,,,,,,,,,,,
,Interest Rates  period averages (% percent per annum),,,,,,,,,,,,,,,,,,,
,     On deposits,,,,,,,,,,,,,,,,,,,
,          Savings,8.9,9.2,9.0,5.1,4.5,4.3,4.8,3.5,3.3,3.0,3.9,2.3,1.8,1.9,1.8,1.7,1.5,1.5,1.3
,          Time:    6 monthsr,13.3,16.2,13.8,8.3,7.1,10.2,10.7,7.7,10.3,7.9,7.2,7.2,6.1,7.5,9.3,8.5,7.1,6.6,7.1
,                     12 months,12.2,15.5,15.3,10.4,7.1,11.0,11.6,8.2,10.4,9.6,7.9,7.1,6.1,6.9,8.8,8.5,7.3,6.8,6.5
,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE   fiscal year ending 31 December (Rp trillion),,,,,,,,,,,,,,,,,,,
,General Government,,,,,,,,,,,,,,,,,,,
,     Revenue,…,…,…,…,…,…,…,…,"1,048",913,"1,073","1,314","1,464","1,609","1,772","1,741","1,792","1,918",…
,          Taxes,…,…,…,…,…,…,…,…,703,665,779,953,"1,076","1,193","1,284","1,387","1,439","1,522",…
,"               Taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,327,318,357,431,465,506,546,602,666,647,…
,                    Payable by individuals,…,…,…,…,…,…,…,…,55,55,122,70,72,95,110,123,115,126,…
,                    Payable by corporations and other enterprises,…,…,…,…,…,…,…,…,272,262,235,361,393,412,436,480,551,521,…
,"                    Other taxes on income, profits, and capital gains", … , … , … , … , … , … , … , … ,–,–,–,–,–,–,–,–,–,–,…
,               Taxes on payroll and workforce, … ,…,…,…,…,…,…,…,–,–,–,–,–,–,–,–,–,–,…
,               Taxes on property,…,…,…,…,…,…,…,…,39,39,47,44,46,25,23,50,48,57,…
,               Taxes on goods and services,…,…,…,…,…,…,…,…,298,287,343,420,511,609,666,696,686,775,…
,               Taxes on international trade and transaction,…,…,…,…,…,…,…,…,37,19,29,54,50,47,43,34,35,39,…
,               Other taxes,…,…,…,…,…,…,…,…,3,3,3,4,4,5,5,5,5,5,…
,          Social contributions,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,–,–,–,…
,          Grants ,…,…,…,…,…,…,…,…,2,2,3,4,5,5,11,12,3,4,…
,          Other revenue,…,…,…,…,…,…,…,…,342,246,292,356,384,411,477,341,350,391,…
,     Expense,…,…,…,…,…,…,…,…,871,834,937,"1,144","1,314","1,476","1,683","1,710","1,860","1,965",…
,          Compensation of employees,…,…,…,…,…,…,…,…,261,296,349,406,459,508,553,607,648,681,…
,          Use of goods and services,…,…,…,…,…,…,…,…,122,156,178,231,262,299,333,394,450,491,…
,          Consumption of fixed capital,…,…,…,…,…,…,…,…,–,–,–,–,–,–,62,114,134,145,…
,          Interest,…, … ,…,…, … ,…,…,…,89,94,89,93,101,114,134,156,183,217,…
,          Subsidies,…,…,…,…,…,…,…,…,276,139,193,296,347,356,393,187,177,169,…
,          Grants,…,…,…,…,…,…,…,…,11,12,24,18,46,0,89,134,149,107,…
,          Social benefits,…,…,…,…,…,…,…,…,80,98,81,84,82,100,108,108,64,69,…
,          Other expense,…,…,…,…,…,…,…,…,32,40,23,16,18,98,11,9,55,85,…
,     Net operating balance,…,…,…,…,…,…,…,…,177,79,136,170,151,132,89,31,-68,-47,…
,     Gross operating balance,…,…,…,…,…,…,…,…,177,79,136,170,151,132,151,145,67,98,…
,     Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,
,     Net/gross Investment in nonfinancial assets,…,…,…,…,…,…,…,…,171,178,174,227,276,304,273,342,240,274,…
,          Fixed assets,…,…,…,…,…,…,…,…,165,173,168,219,267,295,151,199,241,263,…
,          Inventories,…,…,…,…,…,…,…,…,–,–,–,–,–,–,8,32,-16, -0,…
,          Valuables,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,–,–,–,…
,          Nonproduced assets,…,…,…,…,…,…,…,…,5,6,6,8,9,9,113,111,14,12,…
,     Expenditure,…,…,…,…,…,…,…,…,"1,042","1,012","1,111","1,371","1,589","1,781","1,956","2,052","2,100","2,239",…
,     Net lending/Net borrowing,…,…,…,…,…,…,…,…,6,-100,-38,-57,-125,-172,-184,-311,-308,-321,…
,     Primary balance,…,…,…,…,…,…,…,…,94,-6,51,37,-24,-58,-50,-155,-125,-104,…
,     Transactions in Financial Assets and Liabilities (Financing),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Net acquisition of financial assets,…,…,…,…,…,…,…,…,78,-11,55,47,14,49,69,68,92,106,…
,          Domestic ,…,…,…,…,…,…,…,…,78,-11,55,47,14,48,65,66,83,104,…
,          External ,…,…,…,…,…,…,…,…,–,–,–,–,–,1,4,3,9,2,…
,     Net incurrence of liabilities,…,…,…,…,…,…,…,…,72,88,93,104,139,221,253,379,400,426,…
,          Domestic ,…,…,…,…,…,…,…,…,46,51,89,118,158,163,211,261,275,325,…
,          External  ,…,…,…,…,…,…,…,…,26,37,4,-14,-20,58,42,118,125,101,…
,,,,,,,,,,,,,,,,,,,,
,               Government Finance  (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Revenue,…,…,…,…,…,…,…,…,21.2,16.3,16.6,16.8,17.0,16.9,16.8,15.1,14.4,14.1,…
,               Taxes,…,…,…,…,…,…,…,…,14.2,11.9,12.1,12.2,12.5,12.5,12.1,12.0,11.6,11.2,…
,               Taxes payable by individuals,…,…,…,…,…,…,…,…,1.1,1.0,1.9,0.9,0.8,1.0,1.0,1.1,0.9,0.9,…
,               Taxes payable by corporations and other enterprises,…,…,…,…,…,…,…,…,5.5,4.7,3.6,4.6,4.6,4.3,4.1,4.2,4.4,3.8,…
,               Expenditure,…,…,…,…,…,…,…,…,21.1,18.1,17.2,17.5,18.4,18.7,18.5,17.8,16.9,16.5,…
,               Net lending/net borrowing,…,…,…,…,…,…,…,…,0.1,-1.8,-0.6,-0.7,-1.5,-1.8,-2.6,-3.0,-1.9,-2.0,…
,               Primary balance,…,…,…,…,…,…,…,…,1.9,-0.1,0.8,0.5,-0.3,-0.6,-0.5,-1.3,-1.0,-0.8,…
,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, General Government",,,,,,,,,,,,,,,,,,,
,     Total expenditure,…,…,…,…,…,…,…,…,"1,042","1,012","1,111","1,371","1,589","1,781","1,956","2,054","2,100","2,239",…
,          General public services,…,…,…,…,…,…,…,…,630,515,589,693,808,911,"1,036",894,469,646,…
,          Defense,…,…,…,…,…,…,…,…,9,13,17,51,61,87,86,106,134,118,…
,          Public order and safety,…,…,…,…,…,…,…,…,12,25,18,26,35,43,49,62,162,147,…
,          Economic affairs,…,…,…,…,…,…,…,…,84,106,91,134,159,168,166,254,285,379,…
,          Environmental protection,…,…,…,…,…,…,…,…,15,23,14,18,20,26,24,28,32,26,…
,          Housing and community amenities,…,…,…,…,…,…,…,…,93,67,84,95,114,140,153,159,183,186,…
,          Health,…,…,…,…,…,…,…,…,64,64,62,65,76,79,86,122,190,189,…
,"          Recreation, culture, and religion",…,…,…,…,…,…,…,…,5,8,51,8,10,10,11,14,21,22,…
,          Education,…,…,…,…,…,…,…,…,122,168,221,268,291,290,322,381,443,364,…
,          Social protection,…,…,…,…,…,…,…,…,8,23,9,11,14,27,24,33,180,162,…
,,,,,,,,,,,,,,,,,,,,
,               Expenditure by Function      (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Education,…,…,…,…,…,…,…,…,2.5,3.0,3.4,3.4,3.4,3.0,3.0,3.3,3.6,2.7,…
,               Health,…,…,…,…,…,…,…,…,1.3,1.1,1.0,0.8,0.9,0.8,0.8,1.1,1.5,1.4,…
,               Social protection,…,…,…,…,…,…,…,…,0.2,0.4,0.1,0.1,0.2,0.3,0.2,0.3,1.4,1.2,…
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, fob","62,124","56,321","57,159","61,058","71,585","85,660","100,799","114,101","137,020","116,510","157,779","203,497","190,032","182,552","175,981","150,366","145,186","168,811","180,215"
,"Imports, cif","33,515","30,962","31,289","32,551","46,525","57,701","61,066","74,473","129,197","96,829","135,663","177,436","191,691","186,629","178,179","142,695","135,653","156,925","188,711"
,     Trade balance,"28,609","25,359","25,870","28,508","25,060","27,959","39,733","39,627","7,823","19,681","22,116","26,061","-1,659","-4,077","-2,198","7,671","9,533","11,885","-8,496"
,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,
,               Exports,27.7,-9.3,1.5,6.8,17.2,19.7,17.7,13.2,20.1,-15.0,35.4,29.0,-6.6,-3.9,-3.6,-14.6,-3.4,16.3,6.8
,               Imports,39.6,-7.6,1.1,4.0,42.9,24.0,5.8,22.0,73.5,-25.1,40.1,30.8,8.0,-2.6,-4.5,-19.9,-4.9,15.7,20.3
,,,,,,,,,,,,,,,,,,,,
,Direction of Trade    calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, total","62,096","56,254","57,063","61,004","71,519","85,579","100,697","113,970","136,859","116,378","157,785","203,486","190,037","182,557","176,333","162,286","145,926","172,757","179,653"
,"     1. China, People's Republic of","2,768","2,201","2,903","3,803","4,605","6,662","8,344","9,676","11,637","11,499","15,693","22,941","21,660","22,601","17,606","15,045","16,791","23,049","27,127"
,     2. Japan,"14,415","13,010","12,045","13,603","15,962","18,049","21,732","23,633","27,744","18,575","25,782","33,715","30,135","27,086","23,166","18,014","16,099","17,791","19,480"
,     3. United States,"8,489","7,761","7,570","7,386","8,787","9,889","11,259","11,644","13,080","10,889","14,302","16,498","14,910","15,741","16,560","16,267","16,172","17,811","18,472"
,"     4. Korea, Republic of","4,318","3,772","4,107","4,324","4,830","7,086","7,694","7,582","9,115","8,145","12,580","16,378","15,055","11,428","10,662","19,542","16,085","12,278","8,996"
,     5. Singapore,"6,562","5,364","5,349","5,400","6,001","7,837","8,930","10,502","12,862","10,263","13,723","18,444","17,135","16,686","16,807","12,650","11,861","12,768","12,992"
,     6. India,"1,151","1,054","1,302","1,742","2,171","2,878","3,391","4,944","7,163","7,433","9,915","13,336","12,496","13,031","12,249","11,713","10,104","14,084","13,726"
,     7. Malaysia,"1,972","1,779","2,030","2,364","3,016","3,431","4,111","5,096","6,433","6,812","9,362","10,996","11,280","10,667","9,759","7,662","1,647","8,468","9,437"
,     8. Thailand,"1,026","1,064","1,227","1,393","1,976","2,246","2,702","3,054","3,661","3,234","4,567","5,897","6,635","6,062","5,830","5,530","5,394","6,462","6,819"
,     9. Philippines,820,815,778,945,"1,238","1,419","1,406","1,854","2,054","2,406","3,181","3,699","3,708","3,817","3,888","3,921","5,271","6,627","6,825"
,"     10. Taipei,China","2,378","2,188","2,067","2,233","2,854","2,475","2,735","2,597","3,155","3,382","4,838","6,585","6,243","5,862","6,425","5,037",939,"2,155","4,649"
,,,,,,,,,,,,,,,,,,,,
,"Imports, total","33,500","31,064","31,284","32,547","46,440","57,698","60,996","74,192","128,552","96,158","135,663","177,435","191,691","186,630","178,180","142,692","135,584","156,676","192,281"
,"     1. China, People's Republic of","2,022","1,843","2,427","2,957","4,101","5,843","6,637","8,558","15,249","14,002","20,424","26,212","29,387","29,849","30,624","29,411","30,800","35,767","45,538"
,     2. Singapore,"3,789","3,147","4,100","4,155","6,083","9,471","10,035","9,840","21,790","15,550","20,241","25,965","26,087","25,582","25,186","18,022","14,548","16,889","21,440"
,     3. Japan,"5,397","4,689","4,409","4,228","6,082","6,906","5,516","6,527","15,129","9,844","16,966","19,437","22,768","19,285","17,008","13,264","12,985","15,241","17,977"
,     4. Thailand,"1,109",986,"1,191","1,702","2,772","3,447","2,983","4,287","6,336","4,613","7,471","10,405","11,437","10,703","9,781","8,083","8,667","9,280","10,953"
,"     5. Korea, Republic of","2,083","2,209","1,647","1,528","1,943","2,869","2,876","3,197","6,926","4,742","7,703","13,000","11,970","11,593","11,847","8,427","6,675","8,122","9,089"
,     6. Malaysia,"1,131","1,005","1,037","1,138","1,682","2,149","3,193","6,412","8,923","5,688","8,649","10,405","12,244","13,323","10,855","8,531","7,201","8,797","8,603"
,     7. United States,"3,393","3,210","2,644","2,702","3,236","3,886","4,066","4,797","7,898","7,094","9,416","10,834","11,614","9,082","8,189","7,617","7,319","8,150","10,212"
,     8. Australia,"1,694","1,814","1,587","1,648","2,215","2,567","2,986","3,004","4,005","3,436","4,099","5,177","5,298","5,038","5,648","4,816","5,261","6,009","5,826"
,     9. Saudi Arabia,"1,598","1,314","1,104","1,498","1,967","2,712","3,384","3,373","4,805","3,136","4,361","5,427","5,199","6,526","6,516","3,422","2,725","3,167","4,911"
,     10. India,525,486,638,666,"1,102","1,052","1,407","1,610","2,905","2,209","3,295","4,322","4,306","3,964","3,952","2,741","2,873","4,049","5,017"
,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTS      calendar year ($ million),,,,,,,,,,,,,,,,,,,
,Current account balance,"7,991","6,900","7,822","8,106","1,563",278,"10,859","10,491",126,"10,628","5,144","1,685","-24,418","-29,109","-27,510","-17,519","-16,952","-16,196","-31,060"
,Balance on goods,"25,043","22,696","23,513","24,563","19,468","17,611","32,198","34,526","24,542","32,287","31,003","33,825","8,680","5,833","6,983","14,049","15,318","18,814",-431
,     Exports,"65,406","57,364","59,165","64,109","66,084","81,682","98,251","111,301","132,210","113,266","149,966","191,109","187,347","182,089","175,293","149,124","144,470","168,883","180,747"
,     Imports,"40,366","34,669","35,652","39,546","46,616","64,071","66,053","76,775","107,667","80,979","118,963","157,284","178,667","176,256","168,310","135,076","129,152","150,069","181,178"
,Balance on services,"-18,374","-16,731","-17,429","-18,325","-8,127","-9,200","-12,412","-13,614","-14,625","-11,096","-9,791","-9,803","-10,564","-12,070","-10,010","-8,697","-7,084","-7,379","-7,101"
,     Credit,"7,672","7,504","7,981","6,347","12,729","12,997","9,149","10,964","13,845","12,056","16,670","21,888","23,660","22,944","23,531","22,221","23,324","25,328","27,932"
,     Debit,"26,046","24,235","25,410","24,672","20,856","22,197","21,561","24,578","28,470","23,152","26,461","31,691","34,224","35,014","33,541","30,918","30,407","32,707","35,034"
,Balance on primary income,,,,,"-10,917","-12,927","-13,790","-15,525","-15,155","-15,140","-20,698","-26,547","-26,628","-27,050","-29,703","-28,379","-29,647","-32,131","-30,420"
,     Credit,,,,,"1,995","2,338","2,587","3,469","3,592","1,921","1,934","2,581","2,650","2,602","2,130","2,822","4,048","5,575","9,162"
,     Debit,,,,,"12,912","15,264","16,377","18,994","18,747","17,061","22,632","29,128","29,277","29,652","31,832","31,201","33,695","37,706","39,582"
,Balance on secondary income,"1,324",935,"1,740","1,869","1,139","4,793","4,863","5,104","5,364","4,578","4,630","4,211","4,094","4,178","5,220","5,508","4,460","4,500","6,892"
,     Credit,"1,816","1,520","2,210","2,053","2,433","5,993","6,079","6,801","7,352","7,241","7,571","7,636","8,067","8,508","9,374","10,362","9,832","9,967","12,217"
,     Debit,492,585,470,184,"1,294","1,200","1,216","1,697","1,989","2,663","2,941","3,425","3,972","4,330","4,154","4,853","5,371","5,467","5,325"
,Capital account,...,...,...,...,–,334,350,546,294,96,50,33,51,45,27,17,41,46,93
,     Credit,...,...,...,...,–,334,350,546,294,96,50,33,51,45,27,17,41,46,93
,     Debit,...,...,...,...,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,Financial account,"-7,896","-7,618","-1,103",-950,-869,"1,095","4,933","-3,045","2,126","-4,756","-26,476","-13,603","-24,858","-21,926","-44,916","-16,843","-29,306","-28,686","-25,108"
,     Direct investment,"-4,551","-2,977",145,-597,"1,512","-5,271","-2,188","-2,253","-3,419","-2,628","-11,106","-11,528","-13,716","-12,170","-14,733","-10,704","-16,136","-18,502","-13,841"
,     Portfolio investment,"-1,911",-245,"1,222","2,251","-4,409","-4,190","-4,277","-5,566","-1,764","-10,336","-13,202","-3,806","-9,206","-10,873","-26,067","-16,183","-18,996","-21,059","-9,342"
,     Financial derivatives,–,–,–,–,–,–,–,–,–,–,94,-69,-13,334,156,-20,9,128,74
,     Other investments,"-1,434","-4,396","-2,470","-2,604","2,028","10,556","11,398","4,775","7,309","8,208","-2,262","1,801","-1,922",783,"-4,272","10,064","5,817","10,747","-1,999"
,Net errors and omissions,"3,822",714,"-1,692","-3,503","-3,106",-179,625,"-1,368",-238,"-2,975","-1,327","-3,465",-275,-187,"-2,184",-439,-305,-950,"-1,272"
,Overall balance,"3,918",-3,"5,027","3,653",-674,-663,"6,902","12,715","-1,945","12,506","30,343","11,857",215,"-7,325","15,249","-1,098","12,089","11,586","-7,131"
,Reserves and related items,"-3,918",3,"-5,027","-3,653",674,663,"-6,902","-12,715","1,945","-12,506","-30,343","-11,857",-215,"7,325","-15,249","1,098","-12,089","-11,586","7,131"
,International investment position,…,"-113,983","-98,592","-105,926","-116,727","-124,854","-136,857","-169,170","-147,754","-213,724","-291,062","-318,272","-361,224","-371,433","-383,973","-376,834","-333,782","-323,365","-317,822"
,,,,,,,,,,,,,,,,,,,,
