PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,
,          Exports of goods,"1,662.4","1,534.5","1,600.9","1,677.9","1,848.9","1,919.2","2,121.3","2,186.9","2,139.3","1,898.8","2,367.5","2,199.4","2,426.5","2,417.8","2,755.0","2,936.4","3,250.0","3,928.4","4,502.2",,,,,,,,,,,,,,,,
,          Exports of services,177.0,174.9,188.3,191.9,259.5,293.6,370.3,472.8,449.2,487.1,518.6,613.6,627.8,606.8,651.5,759.0,875.0,"1,007.3","1,096.9",,,,,,,,,,,,,,,,
,     Less: Imports of goods and services,"1,910.7","1,933.8","2,128.4","2,184.4","2,319.7","2,395.2","2,478.5","2,521.1","2,561.5","2,354.1","2,884.3","2,868.2","3,028.5","3,162.5","3,476.0","3,984.3","4,788.8","5,657.3","6,560.5",,,,,,,,,,,,,,,,
,          Imports of goods,"1,566.6","1,612.7","1,815.5","1,885.6","2,023.8","2,074.0","2,117.5","2,095.3","2,093.1","1,887.9","2,330.1","2,344.0","2,415.2","2,501.6","2,744.1","3,129.0","3,871.8","4,632.2","5,436.8",,,,,,,,,,,,,,,,
,          Imports of services,344.1,321.1,312.8,298.7,295.9,321.2,360.9,425.8,468.4,466.2,554.2,524.1,613.3,660.9,731.8,855.2,917.0,"1,025.1","1,123.6",,,,,,,,,,,,,,,,
,     Statistical discrepancy,0.0,-0.0,0.0,0.0,-0.0,–,0.0,0.0,0.0,0.0,0.0,–,-0.0,–,-0.0,-0.0,0.0,–,–,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Growth of Demand   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumptiong,5.2,4.1,5.1,5.5,6.0,4.4,4.2,4.6,3.7,2.3,3.4,5.6,6.6,5.6,5.6,6.3,7.1,5.9,5.6,,,,,,,,,,,,,,,,
,               Government final consumption,-1.0,-1.6,-4.0,3.6,2.0,2.1,10.6,6.9,0.3,10.9,4.0,2.1,15.5,5.0,3.3,7.6,9.0,6.2,13.0,,,,,,,,,,,,,,,,
,               Gross capital formation,1.1,24.0,15.7,-0.4,-2.2,3.0,-15.1,-0.5,23.4,-8.7,31.6,2.8,-4.3,27.9,4.2,18.4,24.6,9.4,13.2,,,,,,,,,,,,,,,,
,               Exports of goods and services,13.7,-7.1,4.7,4.5,12.8,5.0,12.6,6.7,-2.7,-7.8,21.0,-2.5,8.6,-1.0,12.6,8.5,11.6,19.7,13.4,,,,,,,,,,,,,,,,
,               Imports of goods and services,11.8,1.2,10.1,2.6,6.2,3.3,3.5,1.7,1.6,-8.1,22.5,-0.6,5.6,4.4,9.9,14.6,20.2,18.1,16.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Investment Financing at Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross capital formation,657.7,861.0,"1,027.4","1,045.2","1,106.6","1,223.6","1,129.4","1,195.0","1,489.2","1,331.7","1,849.4","1,986.9","1,922.5","2,309.5","2,596.8","2,826.2","3,534.8","3,973.5","4,694.4",,,,,,,,,,,,,,,,
,Gross national saving,"1,451.9","1,649.4","1,829.1","1,980.0","2,251.9","2,600.1","2,811.9","3,030.3","3,338.3","3,743.5","4,328.9","4,359.1","4,567.7","5,198.8","5,824.3","5,891.4","6,352.6",...,...,,,,,,,,,,,,,,,,
,     Gross domestic saving,586.4,594.4,652.0,702.5,825.1,905.4,"1,017.5","1,188.3","1,299.4","1,241.3","1,686.2","1,633.9","1,578.1","1,823.8","2,136.1","2,040.4","2,187.9","2,416.5","2,482.8",,,,,,,,,,,,,,,,
,     Net factor income from abroad,616.2,705.2,780.8,823.0,913.4,"1,053.8","1,114.9","1,175.4","1,342.2","1,712.1","1,849.0","1,921.0","2,166.2","2,480.6","2,676.8","2,792.4","2,950.4","3,198.8","3,483.7",,,,,,,,,,,,,,,,
,     Net current transfers from abroadh,249.4,349.8,396.3,454.5,513.3,640.9,679.6,666.6,696.7,54.2,18.3,60.5,61.6,61.2,69.3,59.8,55.5,64.9,73.7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Savings and Investment   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Gross domestic saving,16.4,15.3,15.5,15.4,16.1,15.9,16.2,17.2,16.8,15.5,18.7,16.8,14.9,15.8,16.9,15.3,15.1,15.3,14.2,,,,,,,,,,,,,,,,
,               Gross national saving,40.5,42.4,43.6,43.5,44.0,45.8,44.8,44.0,43.2,46.6,48.1,44.9,43.2,45.1,46.1,44.2,43.9,...,...,,,,,,,,,,,,,,,,
,               Gross capital formation,18.4,22.1,24.5,23.0,21.6,21.6,18.0,17.3,19.3,16.6,20.5,20.5,18.2,20.0,20.5,21.2,24.4,25.1,27.0,,,,,,,,,,,,,,,,
,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Market Prices  (₱),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per capita GDP,"46,472","49,460","52,278","55,522","61,253","66,568","72,077","77,672","85,319","88,145","97,195","102,360","109,438","117,512","126,493","131,171","140,255","150,661","163,475",,,,,,,,,,,,,,,,
,Per capita GNI,"54,469","58,432","62,003","65,573","72,184","78,926","84,895","90,922","100,149","106,950","117,162","122,618","131,884","142,775","153,293","158,665","168,832","181,148","196,155",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRODUCTION INDEXES  period averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture;  2004–2006 = 100,85.7,89.0,91.7,94.6,97.5,99.6,102.9,109.3,113.1,112.6,111.7,116.8,120.5,121.7,117.6,116.1,113.6,…,…,,,,,,,,,,,,,,,,
,Mining; 1978 = 100,163.8,157.0,231.2,273.9,287.5,310.3,301.8,374.5,370.6,448.1,539.1,572.3,538.0,524.8,564.6,591.4,598.1,592.8,…,,,,,,,,,,,,,,,,
,Manufacturing;  1994 | 2000 = 100,124.8 |,97.3,97.8,96.5,94.0,95.0,86.9,84.6,84.8,74.7,92.1,93.0,100.2,115.4,122.5,125.5,143.7,139.7,149.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ENERGY    annual values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Crude petroleumi   (t ’000 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production ,57,65,276,20,19,29,25,25,132,399,412,318,224,258,421,329,275,217,173,,,,,,,,,,,,,,,,
,     Exportsj ,–,42,455,665,602,762,700,787,835,867,"1,026","1,028",820,748,958,846,812,728,701,,,,,,,,,,,,,,,,
,     Imports,"15,537","15,239","12,835","12,484","9,990","10,615","10,678","10,143","9,443","6,845","9,106","9,497","8,691","7,682","8,868","10,653","10,752","10,599","11,712",,,,,,,,,,,,,,,,
,     Consumptionk,"15,999","15,052","12,901","12,588","10,032","10,752","10,563","10,265","9,185","7,343","9,012","9,474","8,531","7,891","8,391","10,593","10,804","10,554","11,834",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal   (t ’000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production,"1,220","1,111","1,522","1,857","2,484","2,881","2,305","3,401","3,609","4,687","6,650","6,911","7,340","7,100","7,601","7,378","11,211","11,932","11,755",,,,,,,,,,,,,,,,
,     Exports,–,–,–,–,–,–,–,799,893,"1,994","4,099","2,736","3,173","3,401","5,767","3,105","6,835","6,172","5,054",,,,,,,,,,,,,,,,
,     Imports,"6,814","7,601","5,930","5,935","6,410","6,656","7,203","7,729","9,078","7,027","10,966","10,963","11,895","14,415","15,182","17,279","20,030","22,268","26,301",,,,,,,,,,,,,,,,
,     Consumption,"8,762","8,545","8,008","8,153","8,586","10,075","9,547","10,215","12,043","11,494","13,321","14,639","15,317","18,952","20,163","22,006","24,794","29,320","30,837",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural gasl (m3 million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production,11,140,"1,761","2,685","2,479","3,284","3,075","3,687","3,881","3,909","3,681","3,975","3,810","3,510","3,691","3,470","3,976","3,922","4,378",,,,,,,,,,,,,,,,
,     Exports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Imports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Consumption,11,138,"1,506","2,324","2,242","3,127","2,962","3,657","3,829","3,850","3,609","3,867","3,685","3,377","3,557","3,339","3,827","3,809","4,114",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Production,"45,290","47,040","48,467","52,941","55,957","56,568","56,784","59,612","60,821","61,934","67,743","69,176","72,922","75,266","77,261","82,413","90,798","94,370","99,765",,,,,,,,,,,,,,,,
,     Exports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Imports,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,
,     Consumption,"36,555","39,140","38,625","42,720","44,076","45,159","45,672","48,009","49,206","50,868","55,266","56,098","59,211","61,566","63,345","67,808","74,154","77,793","82,617",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Retail prices   (₱/L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     Gasoline, premium",16.17,17.78,17.21,20.18,25.01,31.54,38.95,39.15,45.72,35.95,43.47,53.44,53.41,51.12,51.54,41.09,40.14,45.96,54.18,,,,,,,,,,,,,,,,
,     Diesel,12.16,14.10,13.95,15.83,20.01,28.36,34.25,34.14,39.02,28.24,34.19,43.94,43.67,41.93,41.04,27.46,25.43,31.78,42.70,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages; 2006 | 2012 = 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer (national),76.7,80.8,83.0,84.9,89.0,94.8,100.0,102.9,111.4,116.1,120.5,126.1 |,100.0,102.6,106.3,107.0,108.4,111.5,117.3,,,,,,,,,,,,,,,,
,          Food and nonalcoholic beverages,79.0,81.9,83.5,84.3,89.4,95.1,100.0,103.7,117.2,124.5,129.5,136.6 |,100.0,102.5,108.5,110.5,112.3,115.7,123.6,,,,,,,,,,,,,,,,
,"          Alcoholic beverages, tobacco, and narcotics",78.3,82.6,85.4,86.7,88.8,95.1,100.0,103.0,108.4,113.0,116.4,122.6 |,100.0,128.1,135.9,140.0,146.5,156.6,187.9,,,,,,,,,,,,,,,,
,          Clothing and footwear,84.3,87.0,89.8,92.2,94.1,97.1,100.0,102.4,107.3,111.2,114.2,118.4 |,100.0,103.2,106.8,109.5,111.8,114.5,117.2,,,,,,,,,,,,,,,,
,"          Housing, water, electricity, gas, and other fuels",73.2,78.5,81.5,84.6,87.8,94.4,100.0,102.3,107.1,108.9,114.4,120.3 |,100.0,101.8,104.4,103.1,103.6,106.4,110.6,,,,,,,,,,,,,,,,
,"          Furnishings, household equipment, and routine household maintenance",82.4,86.5,88.9,90.8,93.2,96.7,100.0,102.2,107.1,111.2,114.0,116.8 |,100.0,103.4,106.3,108.2,110.2,112.7,116.2,,,,,,,,,,,,,,,,
,          Health,72.4,78.1,82.3,87.2,90.4,94.7,100.0,103.8,110.4,116.0,120.4,124.3 |,100.0,102.7,105.1,107.2,109.5,112.4,116.1,,,,,,,,,,,,,,,,
,          Transport,58.3,65.9,67.0,69.3,77.3,90.3,100.0,101.4,110.5,111.8,115.9,122.9 |,100.0,100.0,100.5,95.1,93.8,98.5,105.0,,,,,,,,,,,,,,,,
,          Communication,110.2,112.0,110.1,103.4,100.7,99.4,100.0,98.3,95.4,93.6,92.6,92.4 |,100.0,100.1,100.2,100.2,100.5,100.8,101.1,,,,,,,,,,,,,,,,
,          Recreation and culture,88.5,91.6,93.8,94.5,95.7,97.9,100.0,101.3,103.8,104.6,105.2,106.7 |,100.0,104.1,107.3,108.1,109.1,110.4,112.6,,,,,,,,,,,,,,,,
,          Education,63.1,69.7,76.2,82.0,89.2,95.2,100.0,106.3,113.6,119.1,124.4,130.3 |,100.0,104.1,108.7,112.8,116.2,119.1,118.1,,,,,,,,,,,,,,,,
,          Restaurants and hotels,80.5,84.1,86.3,89.0,91.1,95.1,100.0,102.9,107.6,113.1,116.0,119.3 |,100.0,102.5,104.2,105.7,107.5,109.3,113.2,,,,,,,,,,,,,,,,
,          Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer (Metro Manila),75.0,79.5,81.7,83.9,87.7,94.2,100.0,102.7,109.1,112.2,116.3,120.9 |,100.0,101.6,104.5,104.4,105.1,109.0,115.0,,,,,,,,,,,,,,,,
,          Food and nonalcoholic beverages,80.5,83.0,83.3,84.6,90.5,95.6,100.0,103.3,115.6,121.8,125.3,131.1 |,100.0,102.6,108.3,110.2,113.3,119.5,127.7,,,,,,,,,,,,,,,,
,"          Alcoholic beverages, tobacco, and narcotics",75.8,81.5,83.5,84.6,87.1,94.4,100.0,104.1,109.2,113.0,115.6,118.8 |,100.0,120.3,128.0,130.7,135.6,147.4,179.0,,,,,,,,,,,,,,,,
,          Clothing and footwear,79.1,82.8,87.2,91.6,94.0,96.8,100.0,102.6,109.3,112.6,116.3,120.1 |,100.0,103.2,107.6,111.2,113.0,115.8,118.5,,,,,,,,,,,,,,,,
,"          Housing, water, electricity, gas, and other fuels",67.0,73.2,77.1,79.8,82.9,93.1,100.0,102.3,105.4,106.7,113.9,118.8 |,100.0,100.3,101.6,99.8,97.9,100.4,105.7,,,,,,,,,,,,,,,,
,"          Furnishings, household equipment, and routine household maintenance",79.2,83.7,86.7,90.2,93.6,97.0,100.0,101.5,105.5,108.9,111.0,112.3 |,100.0,104.1,107.6,108.8,109.8,112.2,115.5,,,,,,,,,,,,,,,,
,          Health,66.0,75.0,78.0,86.4,91.0,94.1,100.0,105.2,112.6,118.5,123.4,127.9 |,100.0,102.7,106.8,109.4,110.5,113.6,117.8,,,,,,,,,,,,,,,,
,          Transport,63.5,66.5,67.0,68.5,75.9,89.7,100.0,99.6,108.0,102.0,106.7,113.2 |,100.0,98.9,100.3,92.4,90.0,97.0,105.1,,,,,,,,,,,,,,,,
,          Communication,110.4,113.6,113.5,103.5,100.0,98.0,100.0,99.5,97.1,95.1,93.8,93.4 |,100.0,100.2,100.3,100.3,100.5,100.7,101.2,,,,,,,,,,,,,,,,
,          Recreation and culture,88.9,92.4,94.7,95.2,95.7,97.6,100.0,101.6,104.4,106.1,106.8,107.4 |,100.0,102.9,105.7,107.0,108.3,109.8,111.7,,,,,,,,,,,,,,,,
,          Education,60.1,67.0,74.5,82.3,88.6,93.7,100.0,109.7,119.6,124.6,128.6,133.5 |,100.0,103.9,109.0,113.9,117.7,120.3,122.6,,,,,,,,,,,,,,,,
,          Restaurants and hotels,80.1,84.6,86.5,89.8,91.1,93.6,100.0,102.7,105.8,111.1,112.4,115.9 |,100.0,100.6,101.6,102.3,103.3,105.5,110.1,,,,,,,,,,,,,,,,
,          Miscellaneous goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Producer; 1994 | 2000 = 100,141.5,163.0,170.4,184.4,198.2,219.5,249.7 |,168.4,175.3,172.9,164.3,165.9,164.9,152.4,151.0,140.9,134.1,132.9,133.8,,,,,,,,,,,,,,,,
,Wholesale (national); 1998 = 100,111.5,120.2,126.2,132.5,143.6,159.8,173.2,178.7,199.9,191.6,202.9,220.5,223.0,226.5,232.7,223.7,226.3,236.2,252.8,,,,,,,,,,,,,,,,
,Wholesale (Metro Manila); 1998 = 100,112.1,120.5,126.7,132.9,144.2,162.2,176.6,181.6,204.8,194.9,207.2,227.1,229.8,232.0,237.8,227.4,229.9,240.4,257.6,,,,,,,,,,,,,,,,
,Retail price index; 2000 = 100,100.0,104.7,106.5,108.5,113.7,121.2,127.4,131.3,140.0,142.8,147.3,152.9,156.0,160.2,164.6,166.5,170.3,176.3,183.2,,,,,,,,,,,,,,,,
,Implicit GDP deflator; 2000 = 100,100.0,105.5,109.9,113.5,119.7,126.7,133.0,137.1,147.4,151.5,157.9,164.3,167.5,170.9,176.3,175.3,178.3,182.4,189.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Consumer price index (national),6.7,5.3,2.7,2.3,4.8,6.5,5.5,2.9,8.3,4.2,3.8,4.6,3.2,2.6,3.6,0.7,1.3,2.9,5.2,,,,,,,,,,,,,,,,
,               Food and nonalcoholic price index (national),3.0,3.7,2.0,1.0,6.0,6.4,5.2,3.7,13.0,6.2,4.0,5.5,2.4,2.5,5.9,1.8,1.6,3.0,6.8,,,,,,,,,,,,,,,,
,               Producer price index,…,15.2,4.5,8.2,7.5,10.7,13.7,1.5,4.1,-1.4,-5.0,1.0,-0.6,-7.6,-0.9,-6.7,-4.8,-0.9,0.7,,,,,,,,,,,,,,,,
,               Wholesale price index (national),5.8,7.8,5.0,5.0,8.4,11.4,8.3,3.2,11.9,-4.2,5.9,8.7,1.1,1.6,2.7,-3.9,1.2,4.4,7.0,,,,,,,,,,,,,,,,
,               Retail price index ,…,4.7,1.7,1.9,4.8,6.6,5.1,3.1,6.6,2.0,3.2,3.8,2.0,2.7,2.7,1.2,2.3,3.5,3.9,,,,,,,,,,,,,,,,
,               Implicit GDP deflator,5.7,5.5,4.2,3.2,5.5,5.8,4.9,3.1,7.5,2.8,4.2,4.0,2.0,2.0,3.2,-0.6,1.7,2.3,3.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKINGm  as of end of period (₱ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Money supply (M1),387.0 |,399.0,487.5,529.2,547.6,635.7,777.4,918.5,"1,061.1","1,217.7","1,348.5","1,494.7","1,606.5","2,045.2","2,316.4","2,667.6","3,069.5","3,550.8","3,889.0",,,,,,,,,,,,,,,,
,     Currency in circulation,192.3 |,190.0,214.7,233.2,260.0,267.8,305.2,344.8,429.6,456.4,480.1,514.9,558.7,640.3,713.7,791.4,921.0,"1,047.6","1,231.8",,,,,,,,,,,,,,,,
,     Demand deposits (excluding government deposits),194.7 |,209.1,272.8,296.0,287.5,367.9,472.2,573.7,631.5,761.3,868.4,979.8,"1,047.8","1,404.8","1,602.6","1,876.2","2,148.5","2,503.3","2,657.2",,,,,,,,,,,,,,,,
,Quasi-money,"1,036.2 |","1,307.9","1,392.0","1,410.3","1,463.9","1,706.2","2,088.5","2,395.5","2,478.5","2,663.3","2,935.4","3,087.7","3,406.9","4,648.4","5,080.0","5,399.7","6,071.0","6,651.5","7,191.1",,,,,,,,,,,,,,,,
,     Savings deposits,953.5 |,"1,196.4","1,263.4","1,246.7","1,157.9","1,185.4","1,400.5","1,481.2","1,416.6","1,638.6","1,792.3","2,012.3","2,187.6","2,889.2","3,191.8","3,586.9","4,100.8","4,409.3","4,672.5",,,,,,,,,,,,,,,,
,     Time deposits,82.8 |,111.5,128.5,163.6,306.0,520.8,688.0,914.3,"1,062.0","1,024.7","1,143.1","1,075.4","1,219.3","1,759.2","1,888.2","1,812.8","1,970.2","2,242.2","2,518.6",,,,,,,,,,,,,,,,
,Money supply (M2),"1,423.2 |","1,706.9","1,879.5","1,939.5","2,011.5","2,341.9","2,865.9","3,314.0","3,539.7","3,881.0","4,283.9","4,582.4","5,013.3","6,693.6","7,396.4","8,067.3","9,140.4","10,202.3","11,080.2",,,,,,,,,,,,,,,,
,Money supply (M3),"1,427.4 |","1,723.2","1,894.8","1,957.4","2,031.5","2,373.7","2,918.9","3,371.1","3,711.7","4,077.5","4,483.3","4,802.4","5,252.5","6,925.0","7,703.9","8,429.9","9,506.0","10,636.1","11,643.0",,,,,,,,,,,,,,,,
,Money supply (M4),... |,"2,344.5","2,584.3","2,678.0","2,841.9","3,206.3","3,802.0","4,173.7","4,650.4","5,117.4","5,548.3","5,821.5","6,252.7","8,054.2","9,050.8","9,888.7","11,214.6","12,486.6","13,610.3",,,,,,,,,,,,,,,,
,     Foreign assets (net),342.7 |,380.4,533.4,613.4,621.3,975.5,"1,405.2","1,656.5","2,017.1","2,411.4","2,854.4","3,242.5","3,248.2","3,575.0","3,752.2","3,998.8","4,309.0","4,403.2","4,460.9",,,,,,,,,,,,,,,,
,     Domestic credit,"2,087.8 |","2,383.6","2,537.5","2,642.8","2,833.8","2,844.9","3,027.1","3,336.1","3,794.3","4,112.2","4,476.5","5,046.4","5,414.0","5,988.7","7,053.0","7,861.0","9,199.9","10,476.9","12,035.0",,,,,,,,,,,,,,,,
,          Claims on government sector (net),581.0 |,610.5,667.6,693.4,839.1,742.3,766.6,793.3,969.0,"1,078.0","1,127.6","1,161.6",969.2,950.8,"1,119.1","1,261.7","1,603.0","1,635.5","1,911.1",,,,,,,,,,,,,,,,
,          Claims on private sector,"1,292.6 |","1,467.4","1,510.8","1,536.9","1,636.1","1,677.7","1,795.9","1,989.3","2,305.6","2,442.4","2,691.9","3,093.9","3,553.1","4,137.7","4,962.9","5,564.2","6,486.4","7,550.7","8,687.4",,,,,,,,,,,,,,,,
,          Claims on other financial institutions,214.2 |,223.6,257.1,304.7,261.7,246.2,272.0,342.1,318.7,393.6,412.7,428.5,540.3,559.1,630.3,680.5,770.8,925.0,"1,088.3",,,,,,,,,,,,,,,,
,          Claims on state and local governmentn,... |,17.4,18.7,20.6,12.3,27.6,33.3,37.9,50.6,58.3,68.9,72.4,71.0,74.7,71.5,76.6,82.8,81.1,87.5,,,,,,,,,,,,,,,,
,          Claims on public nonfinancial corporationso,... |,64.6,83.4,87.3,84.5,151.0,159.4,173.5,150.4,139.9,175.4,290.1,280.3,266.4,269.3,278.0,256.8,284.6,260.7,,,,,,,,,,,,,,,,
,     Other itemsp,"-1,007.3 |",419.4,486.6,578.2,613.2,614.0,630.4,818.9,"1,161.0","1,406.1","1,782.6","2,467.5","2,409.5","1,509.5","1,754.4","1,971.1","2,294.3","2,393.5","2,885.6",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M3)  (% annual change),4.6,...,10.0,3.3,3.8,16.8,23.0,15.5,10.1,9.9,10.0,7.1,9.4,31.8,11.2,9.4,12.8,11.9,9.5,,,,,,,,,,,,,,,,
,               M3 (% of GDP at current market prices),39.9,44.3,45.1,43.0,39.7,41.8,46.5,48.9,48.1,50.8,49.8,49.5,49.7,60.0,61.0,63.3,65.6,67.3,66.8,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Ratesq period averages (% per annum) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,On deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Savings ,7.4,7.5,4.2,4.2,4.3,3.8,3.5,2.2,2.2,2.1,1.6,1.6,1.3,0.8,0.6,0.7,0.7,0.7,0.9,,,,,,,,,,,,,,,,
,     Time:  6 monthsr,7.2,9.7,6.4,5.3,5.9,5.4,4.9,3.6,3.8,2.7,3.1,2.9,2.6,1.3,0.9,1.5,1.6,1.7,2.8,,,,,,,,,,,,,,,,
,             12 monthss,10.5,10.8,9.2,8.0,8.2,6.0,5.0,3.1,4.0,2.5,2.1,2.0,1.8,1.1,1.0,3.1,3.0,2.8,3.5,,,,,,,,,,,,,,,,
,On loans and discounts,10.9,12.4,8.9,9.5,10.1,10.1,9.7,8.7,8.8,8.5,7.7,6.6,5.7,5.8,5.5,5.6,5.6,5.6,6.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE  fiscal year ending 31 December (₱ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Central Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,518.4,572.8,580.3,641.8,709.0,815.6,975.4,"1,047.5","1,172.8","1,123.1","1,208.0","1,359.5","1,526.8","1,713.4","1,906.7","2,046.8","2,195.7","2,472.3",... ,,,,,,,,,,,,,,,,
,     Taxes,460.0,493.6,507.6,550.4,605.0,705.6,859.9,932.9,"1,049.2",981.6,"1,093.7","1,202.0","1,361.1","1,535.7","1,718.9","1,815.5","1,980.4","2,250.7",... ,,,,,,,,,,,,,,,,
,"          Taxes on income, profits, and capital gains",202.6,223.4,226.5,245.3,278.2,323.3,377.0,426.9,482.2,435.4,489.2,571.9,642.5,718.4,784.9,846.2,921.2,"1,025.2",... ,,,,,,,,,,,,,,,,
,               Payable by individuals,83.0,80.2,86.4,90.3,100.9,117.3,130.4,141.3,150.9,136.7,167.1,193.6,222.2,246.6,283.7,309.2,343.9,390.8,... ,,,,,,,,,,,,,,,,
,               Payable by corporations and other enterprises,85.9,98.5,100.8,114.6,131.2,154.8,195.6,241.1,285.3,254.4,280.0,337.4,370.6,424.5,455.1,489.8,534.3,588.4,... ,,,,,,,,,,,,,,,,
,"               Other taxes on income, profits, and capital gains",33.8,44.6,39.3,40.4,46.1,51.3,51.0,44.5,46.0,44.3,42.1,40.9,49.7,47.3,46.1,47.2,43.1,46.0,... ,,,,,,,,,,,,,,,,
,          Taxes on payroll and workforce,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,,,,,,,,,,,,,,,
,          Taxes on property,0.5,0.6,0.5,0.7,0.8,1.0,1.1,1.0,1.3,1.4,2.0,2.5,3.6,3.3,5.5,–,–,–,... ,,,,,,,,,,,,,,,,
,          Taxes on goods and services,143.1,149.4,150.7,161.6,172.9,189.3,244.6,249.8,251.1,280.7,294.3,308.2,365.0,440.8,482.3,527.5,571.7,666.4,... ,,,,,,,,,,,,,,,,
,          Taxes on international trade and transaction,95.0,100.0,96.8,106.9,123.0,142.9,198.2,209.4,260.2,220.3,259.2,265.1,289.9,304.9,369.3,367.5,396.4,458.2,... ,,,,,,,,,,,,,,,,
,          Other taxes,18.8,20.2,33.1,36.0,30.2,49.0,39.0,45.8,54.3,43.8,48.9,54.3,60.1,68.3,77.1,74.3,91.1,100.8,... ,,,,,,,,,,,,,,,,
