VANUATU,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,               M2 (% of GDP at current market prices),89.7,93.6,95.8,90.4,93.5,98.6,93.7,98.1,97.2,92.4,83.3,80.8,78.6,70.9,73.7,78.5,82.5,82.9,…,
,,,,,,,,,,,,,,,,,,,,,
,Deposit Money Banks,,,,,,,,,,,,,,,,,,,,
,Demand deposits,"6,205","6,024","9,608","10,068","10,243","11,349","12,611","14,927","16,256","18,532","17,592","17,528","17,745","21,422","22,669","29,184","35,506","38,678",…,
,Time and savings deposit,"25,685","27,643","23,485","22,553","25,414","28,522","29,788","34,412","39,861","37,697","34,407","34,874","34,296","27,296","30,189","29,593","29,311","32,150",…,
,Domestic credits outstandingk,"11,556","12,295","13,265","14,558","15,953","18,545","19,854","22,860","32,768","38,706","37,135","47,695","50,468","51,773","53,886","49,860","48,470","50,462",…,
,,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE  fiscal year ending 31 December (Vt million),,,,,,,,,,,,,,,,,,,,
,Central Government,,,,,,,,,,,,,,,,,,,,
,     Revenue,…,…,…,…,…,…,…,…,…,…,…,…,"15,764.5","16,245.8","18,483.1","25,720.8","26,896.9","29,366.0","36,158.5",
,          Taxes,…,…,…,…,…,…,…,…,…,…,…,…,"11,982.5","13,048.8","13,717.6","13,476.8","14,231.0","16,218.7","18,011.7",
,"               Taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,                    Payable by individuals,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,                    Payable by corporations and other enterprises,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,"                    Other taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,               Taxes on payroll and workforce,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,               Taxes on property,…,…,…,…,…,…,…,…,…,…,…,…,548.3,360.4,429.6,401.5,397.8,485.7,565.9,
,               Taxes on goods and services,…,…,…,…,…,…,…,…,…,…,…,…,"8,853.9","10,050.7","10,630.9","10,125.7","10,674.8","12,201.4","13,751.9",
,               Taxes on international trade and transaction,…,…,…,…,…,…,…,…,…,…,…,…,"2,580.2","2,637.7","2,657.1","2,949.6","3,158.4","3,531.6","3,694.0",
,               Other taxes,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,          Social contributions,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,          Grants (revenue),…,…,…,…,…,…,…,…,…,…,…,…,"2,174.1","1,692.1","3,213.3","8,942.4","7,263.2","7,763.7","6,100.3",
,          Other revenue,…,…,…,…,…,…,…,…,…,…,…,…,"1,608.0","1,504.9","1,552.1","3,301.6","5,402.7","5,383.7","12,046.5",
,     Expense,…,…,…,…,…,…,…,…,…,…,…,…,"15,807.2","15,682.4","17,022.8","18,952.8","21,648.8","25,298.5","24,847.0",
,          Compensation of employees,…,…,…,…,…,…,…,…,…,…,…,…,"8,411.7","8,437.1","8,455.3","8,894.8","9,107.0","9,962.3","12,540.0",
,          Use of goods and services,…,…,…,…,…,…,…,…,…,…,…,…,"4,158.2","4,125.2","5,074.5","5,679.3","6,017.5","8,099.3","6,806.7",
,          Consumption of fixed capital,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,          Interest,…,…,…,…,…,…,…,…,…,…,…,…,463.1,555.0,573.3,699.8,908.1,949.0,"1,033.9",
,          Subsidies,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,          Grants (expense),…,…,…,…,…,…,…,…,…,…,…,…,"1,892.8","1,603.3","2,034.8","2,531.3","3,217.4","2,407.7","2,465.3",
,          Social benefits,…,…,…,…,…,…,…,…,…,…,…,…,311.6,344.7,241.1,476.1,"1,538.5","2,686.3","1,049.2",
,          Other expense,…,…,…,…,…,…,…,…,…,…,…,…,569.8,617.0,643.7,671.5,860.4,"1,193.8",951.6,
,Net operating balance,…,…,…,…,…,…,…,…,…,…,…,…,-43,563.4,"1,460.3","6,768.0","5,248.1","4,067.5","11,311.5",
,Gross operating balance,…,…,…,…,…,…,…,…,…,…,…,…,42.7,563.4,"1,460.3","6,768.0","5,248.1","4,067.5","11,311.5",
,Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,,
,Net/gross investment in nonfinancial assets,…,…,…,…,…,…,…,…,…,…,…,…,"1,139.6",707.1,547.1,"1,049.2","3,089.8","2,286.1","4,630.9",
,     Fixed assets,…,…,…,…,…,…,…,…,…,…,…,…,"1,139.6",707.1,547.1,"1,049.2","3,089.8","2,286.1","4,630.9",
,     Inventories,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,     Valuables,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,     Nonproduced assets,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,Expenditure,…,…,…,…,…,…,…,…,…,…,…,…,"16,946.9","16,389.5","17,569.8","20,002.0","24,738.5","27,584.6","29,477.9",
,Net lending/Net borrowing,…,…,…,…,…,…,…,…,…,…,…,…,1182.3,143.7,913.2,"5,718.8","2,158.4","1,781.4","6,680.7",
,Primary balance,…,…,…,…,…,…,…,…,…,…,…,…,719.2,411.3,"1,486.5","6,418.6","3,066.4","2,730.4","7,714.6",
,Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,,
,Net acquisition of financial assets,…,…,…,…,…,…,…,…,…,…,…,…,128.8,302.5,603.2,"5,193.2","3,053.1","1,339.7","3,401.4",
,          Domestic,…,…,…,…,…,…,…,…,…,…,…,…,128.8,302.5,603.2,"5,193.2","3,053.1","1,339.7","3,401.4",
,          External,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,–,
,     Net incurrence of liabilities,…,…,…,…,…,…,…,…,…,…,…,…,"1,053.5",158.8,310.0,525.6,894.7,441.8,3279.3,
,          Domestic,…,…,…,…,…,…,…,…,…,…,…,…,"1,388.6",306.4,262.9,31.7,"1,452.6",105.2,1815.4,
,          External,…,…,…,…,…,…,…,…,…,…,…,…,335.1,465.2,572.9,557.4,557.9,546.9,1463.9,
,,,,,,,,,,,,,,,,,,,,,
,               Government Finance   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,     Total revenue,…,…,…,…,…,…,…,…,…,…,…,…,21.8,21.4,23.4,31.1,30.8,30.9,…,
,     Tax revenue ,…,…,…,…,…,…,…,…,…,…,…,…,16.5,17.2,17.3,16.3,16.3,17.1,…,
,     Taxes payable by individuals ,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,…,
,     Taxes payable by corporations and other enterprises ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,
,     Total expenditure,…,…,…,…,…,…,…,…,…,…,…,…,23.4,21.6,22.2,24.2,28.4,29.1,…,
,     Net lending/net borrowing ,…,…,…,…,…,…,…,…,…,…,…,…,-1.6,-0.2,1.2,6.9,2.5,1.9,…,
,     Primary balance ,…,…,…,…,…,…,…,…,…,…,…,…,-1.0,0.5,1.9,7.8,3.5,2.9,…,
,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, Central Government",,,,,,,,,,,,,,,,,,,,
,     Total expenditure,…,…,…,…,…,…,…,…,…,…,…,"17,801","18,139","18,280","19,692","18,175","20,969","22,636","29,689",
,          General public services,…,…,…,…,…,…,…,…,…,…,…,"4,792","5,894","5,639","6,339","6,550","5,381","5,648","7,792",
,          Defense,…,…,…,…,…,…,…,…,…,…,…,131,113,66,51,54,–,–,–,
,          Public order and safety,…,…,…,…,…,…,…,…,…,…,…,"1,389","1,506","1,478","1,271","1,347","1,661","1,637","2,374",
,          Economic affairs,…,…,…,…,…,…,…,…,…,…,…,"4,405","3,556","3,585","4,647","3,125","6,456","6,787","9,063",
,          Environmental protection,…,…,…,…,…,…,…,…,…,…,…,135,123,156,183,168,398,471,510,
,          Housing and community amenities,…,…,…,…,…,…,…,…,…,…,…,143,143,156,194,195,73,122,127,
,          Health,…,…,…,…,…,…,…,…,…,…,…,"2,078","1,980","2,094","1,822","1,963","1,655","2,008","2,698",
,"          Recreation, culture, and religion",…,…,…,…,…,…,…,…,…,…,…,315,277,275,299,269,402,635,308,
,          Education,…,…,…,…,…,…,…,…,…,…,…,"4,391","4,519","4,777","4,708","4,457","4,907","5,305","6,786",
,          Social protection,…,…,…,…,…,…,…,…,…,…,…,23,28,52,176,45,36,23,30,
,,,,,,,,,,,,,,,,,,,,,
,               Expenditure by Function   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,               Education,...,...,...,...,...,...,...,...,...,...,...,6.2,6.2,6.3,6.0,5.4,5.6,5.6,…,
,               Health,...,...,...,...,...,...,...,...,...,...,...,2.9,2.7,2.8,2.3,2.4,1.9,2.1,…,
,               Social protection,...,...,...,...,...,...,...,...,...,...,...,0.0,0.0,0.1,0.2,0.1,0.0,0.0,…,
,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADEl   calendar year (Vt million),,,,,,,,,,,,,,,,,,,,
,"Exports, fob","3,646","2,882","2,809","3,711","5,555","5,074","5,383","5,091","5,721","6,070","4,694","6,012","5,073","3,653","6,100","4,249","5,446","6,506","6,946",
,"Imports, cif","11,603","13,012","13,086","13,343","15,075","18,025","24,010","23,412","31,667","31,085","27,509","27,256","27,454","29,653","30,435","39,989","41,408","39,876","38,602",
,     Trade balance,"-7,957","-10,130","-10,277","-9,632","-9,520","-12,951","-18,627","-18,321","-25,946","-25,015","-22,815","-21,244","-22,381","-26,000","-24,335","-35,740","-35,962","-33,370","-31,656",
,,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,
,               Exports,9.6,-21.0,-2.5,32.1,49.7,-8.7,6.1,-5.4,12.4,6.1,-22.7,28.1,-15.6,-28.0,67.0,-30.3,28.2,19.5,6.8,
,               Imports,-6.8,12.1,0.6,2.0,13.0,19.6,33.2,-2.5,35.3,-1.8,-11.5,-0.9,0.7,8.0,2.6,31.4,3.5,-3.7,-3.2,
,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,,
,"Exports, total",41.2,18.0,14.1,15.5,39.2,63.4,31.4,203.0,126.7,92.8,126.8,368.5,178.1,146.4,73.4,65.8,53.4,76.5,91.7,
,1. Australia,0.5,1.6,2.4,3.7,2.4,3.9,2.9,9.4,9.4,2.0,5.6,7.2,12.2,12.7,10.9,11.6,8.1,7.8,7.9,
,"2. Venezuela, Republica Bolivariana de",…,…,…,…,…,…,…,12.7,24.1,54.8,57.4,…,…,18.9,15.8,9.5,5.5,4.5,5.5,
,3. Malaysia,0.2,0.0,0.1,0.1,9.0,0.0,0.0,1.2,4.8,1.1,0.6,13.0,5.1,11.7,8.5,7.5,7.6,4.9,6.4,
,4. United States,0.9,0.1,0.3,0.1,0.2,0.3,0.3,0.9,1.3,1.8,2.0,1.6,2.2,3.7,6.4,3.3,5.1,4.9,6.4,
,5. Philippines,0.0,…,…,0.0,…,…,0.7,13.7,20.5,4.6,5.9,11.5,1.7,1.2,0.2,1.1,0.1,13.5,11.3,
,6. French Territories: New Caledonia,1.0,0.9,0.9,1.2,1.4,2.7,2.7,5.0,13.5,4.0,3.8,3.6,2.9,2.1,3.4,2.1,2.7,3.3,11.3,
,7. Fiji,0.9,0.8,1.0,1.3,3.8,5.1,4.4,3.6,8.5,1.9,2.1,5.1,4.0,2.4,3.5,2.1,2.6,3.1,10.7,
,8. Papua New Guinea,0.2,0.1,0.1,0.1,0.3,0.4,0.3,3.5,9.4,2.4,2.6,3.2,2.8,1.9,3.0,1.8,2.3,2.8,9.8,
,9. Japan,0.9,0.3,0.2,0.4,0.8,0.9,1.5,2.5,3.2,2.7,2.1,3.4,3.9,2.7,2.9,3.6,4.3,4.1,4.5,
,10. United Kingdom,0.1,0.0,0.1,0.1,0.1,0.4,0.4,0.9,1.5,0.6,0.3,0.8,1.1,0.8,2.6,11.7,3.5,0.4,1.0,
,,,,,,,,,,,,,,,,,,,,,
,"Imports, total",79.8,100.3,95.1,167.5,170.0,155.6,161.1,231.6,348.4,278.8,278.2,285.4,402.9,443.5,327.9,278.5,269.3,392.3,331.9,
,1. Australia,33.3,28.9,31.3,35.3,42.3,57.1,65.7,80.4,98.7,82.0,85.3,83.3,86.6,83.0,87.7,82.2,72.5,75.8,81.1,
,2. New Zealand,8.6,11.2,13.2,12.5,16.7,19.8,24.8,38.4,37.0,37.8,37.4,35.6,32.5,32.8,32.1,41.4,40.8,37.7,39.0,
,"3. China, People's Republic of",0.6,0.6,0.8,1.5,3.7,3.6,8.3,8.6,14.7,27.8,27.3,19.4,29.0,107.1,59.2,25.2,24.3,24.2,23.3,
,4. Russian Federation,…,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.9,0.0,
,5. Singapore,7.2,11.4,4.9,7.2,7.7,11.4,8.6,17.9,23.0,27.8,35.2,51.1,60.3,34.5,47.3,22.2,14.2,14.9,20.3,
,6. Malaysia,0.1,0.1,0.1,0.2,0.3,0.2,0.6,2.2,2.3,1.7,3.2,3.3,3.1,25.1,3.2,10.9,14.6,12.8,73.1,
,7. Fiji,4.2,6.0,4.2,5.3,8.6,15.8,14.2,18.0,25.4,25.2,21.8,22.4,20.6,18.0,17.1,19.2,19.6,18.8,23.0,
,8. Thailand,0.7,0.7,0.5,1.2,1.6,3.8,2.9,4.7,6.5,5.9,5.5,6.9,12.1,10.9,10.1,10.4,11.0,13.2,15.4,
,9. France,4.1,9.3,3.4,3.8,4.9,4.3,6.8,1.6,3.1,7.3,6.8,10.0,6.0,9.4,8.0,6.4,23.1,6.8,6.5,
,10. United States,0.6,0.3,0.2,0.5,3.5,3.4,3.4,33.5,90.7,5.5,4.3,4.8,93.4,32.3,19.9,5.5,7.4,7.4,9.7,
,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSm  calendar year ($ million),,,,,,,,,,,,,,,,,,,,
,Current account balance,-13.7,-14.5,-27.5,-28.8,-16.0,-14.0,-26.0,-54.6,-43.4,-49.1,-40.9 |,-60.7,-51.5,-26.0,18.4,-40.6,-23.8,-81.3,...,
,Balance on goods,-49.8,-58.1,-68.6,-64.7,-74.0,-92.0,-114.0,-161.2,-208.5,-194.0,-190.0 |,-183.8,-202.0,-219.5,-202.2,-265.4,-261.8,-253.0,...,
,     Exports,27.2,19.9,20.8,26.6,38.0,39.0,42.0,29.2,42.5,55.8,50.1 |,64.0,55.7,44.1,62.2,38.3,48.6,59.7,...,
,     Imports,-76.9,-78.0,-89.3,-91.3,-112.0,-131.0,-156.0,-190.4,-250.9,-249.8,-240.1 |,247.8,257.7,263.6,264.5,303.6,310.4,312.7,...,
,Balance on services,46.7,42.3,30.4,28.7,44.0,59.0,60.0,83.5,123.4,114.8,123.4 |,133.8,179.0,186.8,184.8,102.4,174.6,192.1,...,
,     Credit,148.6,136.5,115.8,118.6,141.0,130.0,196.0,216.2,257.8,273.2,305.0 |,271.9,327.5,326.2,327.0,278.4,320.8,344.7,...,
,     Debit,-101.9,-94.2,-85.4,-90.0,-97.0,-71.0,-136.0,-132.7,-134.4,-158.4,-181.6 |,138.1,148.5,139.4,142.2,176.1,146.2,152.6,...,
,Balance on primary income,…,…,…,…,…,…,…,…,…,…,… ,-22.6,-45.6,-11.2,-26.2,-26.7,-31.8,-36.5,...,
,     Credit,…,…,…,…,…,…,…,…,…,…,… ,39.6,37.6,33.0,4.7,2.1,2.0,10.7,...,
,     Debit,…,…,…,…,…,…,…,…,…,…,… ,62.2,83.2,44.2,30.8,28.9,33.8,47.2,...,
,Balance on secondary income,-10.6,1.3,10.7,7.3,14.0,19.0,28.0,23.0,41.6,30.1,25.7 |,11.8,17.2,18.0,62.0,149.2,95.1,16.1,...,
,     Credit,27.4,39.5,19.5,17.2,24.0,26.0,34.0,25.5,45.9,32.1,29.0 |,13.8,20.0,22.1,71.9,157.7,102.3,27.4,...,
,     Debit,-38.0,-38.3,-8.8,-9.9,-10.0,-7.0,-6.0,-2.5,-4.3,-2.0,-3.3 |,2.0,2.9,4.1,9.9,8.5,7.2,11.3,...,
,Capital account,-23.6,-16.0,-0.5,-4.6,-5.0,-2.0,18.1,22.6,21.0,29.8,20.8 |,22.6,23.0,20.7,30.3,81.3,46.7,48.6,...,
,     Credit,…,…,…,…,…,…,…,…,…,…,… ,22.6,23.0,20.7,30.3,81.3,46.7,48.6,...,
,     Debit,…,…,…,…,…,…,…,…,…,…,… ,–,–,–,–,–,–,–,...,
,Financial account,19.3,12.7,39.3,33.5,34.0,52.0,-58.0,138.1,37.6,18.3,27.4 |,-60.1,-74.7,29.0,169.6,224.8,231.4,110.5,...,
,     Direct investment,20.3,18.0,13.5,14.7,21.0,12.0,40.0,32.9,34.0,34.9,37.7 |,56.3,38.9,32.8,13.5,31.9,43.4,38.9,...,
,     Portfolio investment,0.7,-4.3,13.2,2.0,14.0,0.0,-88.0,1.5,7.8,-0.8,-0.7 |,-0.5,-3.7,4.4,-10.0,9.7,-10.9,-27.7,...,
,     Financial derivatives,…,…,…,…,…,…,…,…,…,…,… ,…,…,…,…,…,…,…,…,
,     Other investment,-1.6,-0.9,12.6,16.8,-1.0,40.0,-10.0,103.7,-4.2,-15.8,-9.6 |,-103.6,-104.3,1.8,153.9,87.0,168.8,16.6,...,
,,…,…,…,…,…,…,…,…,…,…,…,-12.3,-5.5,-10.0,12.2,96.2,30.1,82.7,…,
,Net errors and omissions,-0.9,7.6,-13.1,2.3,2.0,-3.0,-12.0,28.8,-6.1,22.6,-3.3 |,45.4,10.1,116.3,-31.5,60.0,-71.1,-13.0,...,
,Overall balance,-18.8,-10.3,-1.8,2.4,15.0,33.0,-77.9,134.9,9.0,21.6,4.0 |,-52.9,-93.0,140.1,186.8,325.6,183.2,64.7,...,
,Reserves and related items,18.8,10.3,1.8,-2.4,-15.0,-33.0,77.9,-134.9,-9.0,-21.6,-4.0 |,52.9,93.0,-140.1,-186.8,-325.6,-183.2,-64.7,...,
,International investment position,…,…,…,…,…,…,…,…,…,…,…,-266.8,349.8,398.3,359.5,377.2,423.0,486.9,...,
,,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments    (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,
,               Exports,9.9,7.6,7.9,8.5,10.4,9.9,9.6,5.6,7.0,9.1,7.1,8.1,7.1,5.5,7.6,5.0,6.0,6.8,...,
,               Imports,28.1,29.8,34.0,29.0,30.7,33.2,35.5,36.2,41.3,40.9,34.3,31.3,33.0,32.9,32.5,40.0,38.6,35.5,...,
,               Balance on goods,-18.2,-22.2,-26.1,-20.6,-20.3,-23.3,-25.9,-30.6,-34.3,-31.8,-27.1,-23.2,-25.8,-27.4,-24.8,-34.9,-32.5,-28.7,...,
,               Current account balance,-5.0,-5.6,-10.5,-9.2,-4.4,-3.5,-5.9,-10.4,-7.1,-8.0,-5.8,-7.7,-6.6,-3.2,2.3,-5.3,-3.0,-9.2,...,
,               Overall balance,-6.9,-3.9,-0.7,0.8,4.1,8.4,-17.7,25.6,1.5,3.5,0.6,-6.7,-11.9,17.5,22.9,42.9,22.8,7.3,...,
,,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES   as of end of period ($ million),,,,,,,,,,,,,,,,,,,,
,Total,38.9,37.7,36.5,43.8,61.8,67.2,104.7,119.6,115.2,148.6,161.4,173.8,182.2,179.2,184.0,269.2,267.3,395.1,420.6,
,"     Gold, national valuation",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
,     Foreign exchange,34.8,33.5,32.0,38.8,56.5,62.2,99.3,113.8,109.4,142.2,155.2,167.7,176.0,173.0,178.2,263.7,259.9,387.5,413.5,
,     Reserve position in the IMF,3.3,3.1,3.4,3.7,3.9,3.6,3.8,3.9,3.8,3.9,3.8,3.8,3.8,3.8,3.6,3.5,5.6,6.0,5.8,
,     SDRs,0.9,1.0,1.1,1.3,1.4,1.4,1.6,1.9,2.0,2.5,2.4,2.3,2.3,2.3,2.2,2.0,1.8,1.6,1.2,
,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES    (Vt–$),,,,,,,,,,,,,,,,,,,,
,End of period,142.81,146.74,133.17,111.81,106.53,112.33,106.48,99.86,112.60,97.93,93.15,93.56,91.73,97.30,102.72,110.52,112.28,107.50,113.78,
,Average of period,137.64,145.31,139.20,122.19,111.79,109.25,110.64,102.44,101.33,106.74,96.91,89.47,92.64,94.54,97.07,108.99,108.48,107.82,108.78,
,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS   as of end of year ($ million),,,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,112.3,122.7,160.6,161.1,153.9,100.3,110.6,127.9,148.9,153.3,177.5,178.2,181.8,202.3,194.0,267.7,286.2,393.0,…,
,     Long-term debt,73.1,70.2,76.5,82.0,83.6,71.9,72.0,78.1,89.7,98.8,102.5,106.2,104.8,109.2,98.5,171.6,210.4,287.1,…,
,          Public and publicly guaranteed,73.1,70.2,76.5,82.0,83.6,71.9,72.0,78.1,89.7,98.8,102.5,106.2,104.8,109.2,98.5,171.6,210.4,287.1,…,
,          Private nonguaranteed,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,…,
,     Short-term debt,18.0,32.0,62.0,55.0,45.1,5.2,14.1,24.1,34.1,29.0,50.0,47.0,52.0,68.0,72.0,50.0,31.0,58.5,…,
,     Use of IMF credit,21.2,20.4,22.1,24.2,25.3,23.2,24.5,25.7,25.1,25.5,25.1,25.0,25.0,25.1,23.6,46.1,44.7,47.4,…,
,,,,,,,,,,,,,,,,,,,,,
,               External debt   (% of GNI),43.3,48.3,64.0,53.8,44.4,27.2,26.4,25.6,24.5,25.9,26.3,23.2,24.8,25.4,23.8,37.1,36.7,46.0,…,
,               Total long-term debt   (% of total debt),65.1,57.2,47.6,50.9,54.3,71.6,65.1,61.0,60.3,64.5,57.7,59.6,57.7,54.0,50.7,64.1,73.5,73.1,…,
,               Short-term debt   (% of total debt),16.0,26.1,38.6,34.1,29.3,5.2,12.8,18.9,22.9,18.9,28.2,26.4,28.6,33.6,37.1,18.7,10.8,14.9,…,
,               Debt service   (% of exports of goods and services),1.6,1.3,1.7,1.6,2.1,1.6,2.1,1.8,1.5,1.7,1.7,1.6,1.4,1.7,1.8,1.9,2.1,…,…,
,,,,,,,,,,,,,,,,,,,,,
,Debt service transactions during the year ($ million),,,,,,,,,,,,,,,,,,,,
,     Principal repayments on long-term debt,0.9,0.8,0.9,1.1,1.6,1.1,2.2,2.1,2.5,3.5,3.6,3.4,3.6,4.9,5.5,5.0,4.9,5.3,…,
,     Interest on long-term debt,0.6,0.7,0.7,0.7,0.9,0.7,1.0,0.9,1.1,1.4,1.6,1.5,1.2,1.5,1.6,1.5,1.8,1.7,…,
,     Interest on short-term debt,0.3,0.1,0.3,0.4,1.0,0.8,0.5,0.8,0.8,0.7,0.6,1.2,3.3,0.9,0.9,0.7,0.5,…,…,
,,,,,,,,,,,,,,,,,,,,,
,Average terms of new commitments,,,,,,,,,,,,,,,,,,,,
,     Interest   (% per annum),2,–,–,–,–,–,–,–,2.0,–,–,–,0.7,–,–,0.6,0.8,…,…,
,     Maturity   (years),14.5,–,–,–,–,–,–,20.0,20.0,–,–,–,37.6,–,–,38.5,39.6,…,…,
,     Grace period   (years),3.5,–,–,–,–,–,–,5.0,5.3,–,–,–,9.3,–,–,9.8,10.1,…,…,
,     Grant element   (%),44.2,–,–,–,–,–,–,66.8,53.5,–,–,–,79.3,–,–,81.0,80.2,…,…,
,,,,,,,,,,,,,,,,,,,,,
,"… = data not available; * = provisional, preliminary, estimate; | = marks break in series; 0.0 = magnitude is less than half of the unit employed; − = magnitude equals zero; $ = United States dollars; cif = cost, insurance, and freight; fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km2 = square kilometer;  kWh = kilowatt-hour; L = liter; NPISHs = nonprofit institutions serving households; SDRs = special drawing rights; Vt = vatu.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
a,"For 2000 and 2001, includes wholesale and retail trade repair of motor vehicles; and other wholesale trade and retail trade.",,,,,,,,,,,,,,,,,,,,
b,"For 2000 and 2001, includes information and communication.",,,,,,,,,,,,,,,,,,,,
c,"For 2000 and 2001, includes government services.",,,,,,,,,,,,,,,,,,,,
d,"For 2000 and 2001, includes accommodation and food services; real estate, professional, scientific, technical, and administrative services; and education, health, recreation, and other services. For 2002–2017, includes only education, health, and recreation.",,,,,,,,,,,,,,,,,,,,
e,"Derived from national savings, net factor income from abroad, and net current transfers from abroad.",,,,,,,,,,,,,,,,,,,,
f,Derived from balance-of-payments data.,,,,,,,,,,,,,,,,,,,,
g,"For 2006 and 2007, includes transport and communication.",,,,,,,,,,,,,,,,,,,,
h,"For 2006 and 2007, includes health, education, and recreation and culture.",,,,,,,,,,,,,,,,,,,,
j,"Excludes deposits of the Government of Vanuatu, but includes deposits of nonreporting (i.e., exempt) banks and other institutions held with reporting banks.",,,,,,,,,,,,,,,,,,,,
k,Includes claims on nonfinancial public enterprises.,,,,,,,,,,,,,,,,,,,,
l,Refers to claims of domestic commercial banks on private sector.,,,,,,,,,,,,,,,,,,,,
m,"Exports include re-exports, while imports include importation of re-exports.",,,,,,,,,,,,,,,,,,,,
n,"For 2011 onward, data are based on the IMF’s Balance of Payments and International Investment Position Manual (sixth edition).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Sources:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Population,"For 2000–2001: Vanuatu National Statistics Office (VNSO). Past communication. 
For 2002–2016: VNSO. Statistics Release: Gross Domestic Product 2016. https://vnso.gov.vu/index.php/new-releases/annual-news/gross-domestic-product (accessed 9 June 2018).
For 2018: Asian Development Bank estimates.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Urban Population ,"For 2009 and 2016: VNSO. Document Library. https://vnso.gov.vu/index.php/document-library (accessed 29 June 2018).
For 2000–2008, 2010–2015, and 2017–2018: Asian Development Bank estimates.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,National Accounts,"VNSO. Official communication, 24 May 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Production Indexes,,,,,,,,,,,,,,,,,,,,
,Agriculture,Food and Agriculture Organization of the United Nations. FAOSTAT. http://faostat3.fao.org/home/E (accessed 27 June 2019).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Energy,"VNSO. Official communication, 24 May 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Price Indexes,"VNSO. Official communication, 24 May 2019; past communication.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Money and Banking,"Reserve Bank of Vanuatu. Official communication, 2 June 2017; past communication. ",,,,,,,,,,,,,,,,,,,
