UZBEKISTAN,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,Consumer price index,24.9,27.4,27.6,10.3,1.6,6.4,8.7,6.1,7.2,7.8,7.6,7.3,7.2,7.0,6.4,5.5,9.5,13.9,17.5
,Food and nonalcoholic beverages price index,30.0,28.6,28.6,5.2,-5.2,4.3,7.8,1.6,3.2,4.6,4.9,3.6,5.2,4.8,3.7,2.7,7.9,18.1,20.1
,Producer price index,60.9,42.2,48.0,29.9,29.6,25.6,30.2,14.1,9.1,24.7,15.6,19.6,14.5,11.7,13.6,13.5,14.8,17.5,31.8
,Implicit GDP deflator,47.1,44.8,45.2,26.8,15.9,21.4,23.5,21.9,26.8,17.3,18.9,21.5,15.5,11.7,14.3,10.4,8.7,19.4,28.1
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKING  as of end of period  (SUM billion),,,,,,,,,,,,,,,,,,,
,Money supply (M1),273,374,468,575,820,"1,431","1,986","3,109","4,082","5,581","7,717","9,380","10,529","14,766","18,394","23,111","27,306","33,237","38,225"
,     Currency in circulation,169,214,273,405,590,"1,059","1,495","2,048","2,663","3,513","4,361","5,224","5,532","7,424","9,058","10,655","13,209","19,449","22,164"
,     Demand deposits,104,160,195,170,230,372,491,"1,061","1,419","2,068","3,356","4,156","4,997","7,342","9,336","12,456","14,097","13,788","16,061"
,Quasi-money,123,238,325,434,670,869,"1,161","1,488","2,429","3,590","6,261","9,118","13,364","14,632","15,384","19,180","24,920","39,986","45,509"
,Money supply (M2),396,612,793,"1,009","1,490","2,300","3,147","4,597","6,511","9,171","13,978","18,498","23,893","29,398","33,778","42,291","52,226","73,223","83,734"
,     Foreign assets (net),381,781,"1,144","1,704","2,474","3,563","6,280","10,510","14,666","19,821","26,142","35,346","48,000","51,088","58,314","66,435","83,658","222,633","211,123"
,     Domestic credit,951,"1,857","2,638","2,597","2,584","2,665","1,590",570,"-2,032","-1,433","-1,190","-4,946","-7,073","-10,062","-11,389","-9,977","-5,862","-14,204","26,320"
,          Claims on government sector (net),24,-31,-15,-192,-450,-841,"-2,064","-3,693","-7,795","-9,507","-12,673","-20,078","-29,033","-37,306","-45,453","-51,814","-59,504","-123,833","-138,477"
,          Claims on private sector,927,"1,889","2,652","2,789","3,034","3,506","3,654","4,263","5,763","8,074","11,483","15,132","21,960","27,244","34,064","41,836","53,643","109,629","164,797"
,          Claims on other financial institutions,,,,,,,,,,,,,,,,,,,
,     Other items,-935,"-2,027","-2,989","-3,293","-3,568","-3,928","-4,723","-6,483","-6,123","-9,217","-10,974","-11,902","-17,034","-11,628","-13,146","-14,167","-25,570","-135,206","-153,709"
,,,,,,,,,,,,,,,,,,,,
,Money Supply (M2)   (% annual change),37,54,30,27,48,54,37,46,42,41,52,32,29,23,15,25,23,40,14
,M2   (% of GDP at current market prices),12,12,11,10,12,14,15,16,17,19,19,19,20,20,19,20,22,24,21
,,,,,,,,,,,,,,,,,,,,
,Interest Rates  period averages (% per annum),,,,,,,,,,,,,,,,,,,
,On deposits,,,,,,,,,,,,,,,,,,,
,     Savingsq,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.8,16.5,18.1,18.0,15.9
,     Time:    6 monthsr,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23.0,18.0,18.5,18.0,16.3
,                 12 monthss,...,...,...,...,...,...,...,...,...,...,...,...,...,...,23.2,18.3,18.7,18.5,16.4
,                 over 1 year,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.1,18.5,18.2,17.0,17.0
,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE  fiscal year ending 31 December (SUM billion),,,,,,,,,,,,,,,,,,,
,General Government,,,,,,,,,,,,,,,,,,,
,     Revenue,…,…,…,…,…,…,…,…,…,…,…,…,…,"43,826","51,452","57,945","66,756","73,429","113,401"
,          Taxes,…,…,…,…,…,…,…,…,…,…,…,…,…,"30,510","36,076","42,662","48,489","52,392","80,435"
,"               Taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,…,"10,593","12,231","13,368","15,831","19,506","25,408"
,                    Payable by individuals,…,…,…,…,…,…,…,…,…,…,…,…,…,"3,112","3,790","4,452","4,932","5,676","7,422"
,                    Payable by corporations and other enterprises,…,…,…,…,…,…,…,…,…,…,…,…,…,"7,482","8,441","8,917","10,900","13,830","17,986"
,"                    Other taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–
,               Taxes on payroll and workforce,…,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–
,               Taxes on property,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,595","1,922","2,143","2,626","3,222","4,110"
,               Taxes on goods and services,…,…,…,…,…,…,…,…,…,…,…,…,…,"14,684","17,893","20,517","22,362","27,565","47,676"
,               Taxes on international trade and transaction,…,…,…,…,…,…,…,…,…,…,…,…,…,"3,638","4,031","6,633","7,670","2,099","3,241"
,               Other taxes,…,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–
,          Social contributions,…,…,…,…,…,…,…,…,…,…,…,…,…,"7,760","9,642","10,539","12,317","13,737","18,809"
,          Grants ,…,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–
,          Other revenue,…,…,…,…,…,…,…,…,…,…,…,…,…,"5,556","5,734","4,743","5,950","7,299","14,157"
,     Expense,…,…,…,…,…,…,…,…,…,…,…,…,…,"32,214","38,675","45,458","50,891","60,690","86,327"
,          Compensation of employees,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"19,332","21,885","28,006"
,          Use of goods and services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"4,722","6,394","9,343"
,          Consumption of fixed capital,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Interest,…,…,…,…,…,…,…,…,…,…,…,…,…,…,53,…,59,135,289
,          Subsidies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,312,330,"1,288"
,          Grants,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–
,          Social benefits,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"16,965","19,366","24,069"
,          Other expense,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"9,501","12,581","23,332"
,     Net operating balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Gross operating balance,…,…,…,…,…,…,…,…,…,…,…,…,…,"11,613","12,777","12,488","15,865","12,739","27,075"
,     Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,
,     Net/gross Investment in nonfinancial assets,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Fixed assets,…,…,…,…,…,…,…,…,…,…,…,…,…,"4,458","5,100","5,629","6,278","8,157","14,125"
,          Inventories,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Nonproduced assets,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Expenditure,…,…,…,…,…,…,…,…,…,…,…,…,…,"36,704","43,823","51,114","57,169","68,903","100,452"
,     Net lending/Net borrowing,…,…,…,…,…,…,…,…,…,…,…,…,…,"12,212","13,743","14,243","9,587","4,526","12,957"
,     Primary balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,"13,796","14,305","9,647","4,660","13,245"
,     Transactions in Financial Assets and Liabilities (Financing),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Net acquisition of financial assets,…,…,…,…,…,…,…,…,…,…,…,…,…,"7,047","7,665","7,109","9,839","4,623","11,802"
,          Domestic ,…,…,…,…,…,…,…,…,…,…,…,…,…,"7,047","7,665","7,109","9,839","4,623","11,802"
,          External ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Net incurrence of liabilities,…,…,…,…,…,…,…,…,…,…,…,…,…,-108,-12,250,251,41,"-1,148"
,          Domestic ,…,…,…,…,…,…,…,…,…,…,…,…,…,-108,-12,250,251,41,"-1,148"
,          External  ,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,
,               Government Finance  (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Revenue,…,…,…,…,…,…,…,…,…,…,…,…,…,30.3,29.0,27.6,27.5,24.3,27.8
,               Taxes,…,…,…,…,…,…,…,…,…,…,…,…,…,21.1,20.4,20.3,20.0,17.3,19.7
,               Taxes payable by individuals,…,…,…,…,…,…,…,…,…,…,…,…,…,2.2,2.1,2.1,2.0,1.9,1.8
,               Taxes payable by corporations and other enterprises,…,…,…,…,…,…,…,…,…,…,…,…,…,5.2,4.8,4.2,4.5,4.6,4.4
,               Expenditure,…,…,…,…,…,…,…,…,…,…,…,…,…,25.4,24.7,24.3,23.6,22.8,24.6
,               Net lending/net borrowing,…,…,…,…,…,…,…,…,…,…,…,…,…,8.4,7.8,6.8,4.0,1.5,3.2
,               Primary balance,…,…,…,…,…,…,…,…,…,…,…,…,…,...,7.8,6.8,4.0,1.5,3.3
,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, General Government",,,,,,,,,,,,,,,,,,,
,     Total expenditure,…,…,…,…,…,…,…,…,…,…,…,…,…,"31,614","37,709","43,702","57,169","68,903","100,445"
,          General public services,…,…,…,…,…,…,…,…,…,…,…,…,…,"1,685","2,030","2,365","2,769","4,059","10,710"
,          Defense,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Public order and safety,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Economic affairs,…,…,…,…,…,…,…,…,…,…,…,…,…,"5,189","6,072","6,900","7,671","9,723","10,496"
,          Environmental protection,…,…,…,…,…,…,…,…,…,…,…,…,…,22,26,27,29,103,212
,          Housing and community amenities,…,…,…,…,…,…,…,…,…,…,…,…,…,429,609,669,718,895,"2,232"
,          Health,…,…,…,…,…,…,…,…,…,…,…,…,…,"3,435","4,164","5,236","5,836","6,785","9,411"
,"          Recreation, culture, and religion",…,…,…,…,…,…,…,…,…,…,…,…,…,435,504,510,600,"1,036","1,671"
,          Education,…,…,…,…,…,…,…,…,…,…,…,…,…,"9,517","11,501","12,529","14,220","16,140","21,925"
,          Social protection,…,…,…,…,…,…,…,…,…,…,…,…,…,"10,903","12,802","15,466","16,889","19,551","25,657"
,,,,,,,,,,,,,,,,,,,,
,               Expenditure by Function      (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Education,…,…,…,…,…,…,…,…,…,…,…,…,…,6.6,6.5,6.0,5.9,5.3,5.4
,               Health,…,…,…,…,…,…,…,…,…,…,…,…,…,2.4,2.4,2.5,2.4,2.2,2.3
,               Social protection,…,…,…,…,…,…,…,…,…,…,…,…,…,7.5,7.2,7.4,7.0,6.5,6.3
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, fob","3,264.7","3,170.4","2,988.4","3,725.0","4,853.0","5,408.8","6,389.8","8,991.5","11,493.3","11,771.3","13,023.4","15,021.3","13,599.6","14,322.7","13,545.7","12,507.6","12,094.6","12,553.7","13,990.7"
,"Imports, cif","2,947.4","3,136.9","2,712.0","2,964.2","3,816.0","4,091.3","4,781.6","6,728.1","9,704.0","9,438.3","9,175.8","11,344.6","12,816.5","13,946.9","13,984.3","12,416.6","12,137.6","14,012.4","19,562.3"
,     Trade balance,317.3,33.5,276.4,760.8,"1,037.0","1,317.5","1,608.2","2,263.4","1,789.3","2,333.0","3,847.6","3,676.7",783.1,375.8,-438.6,91.0,-43.0,"-1,458.7","-5,571.6"
,,,,,,,,,,,,,,,,,,,,
,External Trade   (% annual change),,,,,,,,,,,,,,,,,,,
,Exports,0.9,-2.9,-5.7,24.6,30.3,11.5,18.1,40.7,27.8,2.4,10.6,15.3,-9.5,5.3,-5.4,-7.7,-3.3,3.8,11.4
,Imports,-5.3,6.4,-13.6,9.3,28.7,7.2,16.9,40.7,44.2,-2.7,-2.8,23.6,13.0,8.8,0.3,-11.2,-2.2,15.4,39.6
,,,,,,,,,,,,,,,,,,,,
,Direction of Trade  calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, total","3,570.0","4,121.7","5,058.8","4,131.1","4,795.7","5,003.9","10,140.1","12,972.9","11,069.9","12,740.3","7,368.8","11,268.4","6,486.1","7,012.7","6,048.7","5,458.7","8,974.9","10,391.6","9,061.5"
,"     1. China, People's Republic of","1,214.5","1,402.7","1,723.4","1,404.9","1,647.4","1,720.8","3,489.6","4,464.5","3,809.6","4,384.4","2,535.9","3,877.9","2,232.1","2,413.4","2,081.6","1,878.6","1,401.8","1,590.5","1,489.4"
,     2. Russian Federation,670.9,774.9,952.0,776.0,910.0,950.6,"1,927.6","2,466.2","2,104.4","2,421.9","1,400.8","2,142.1","1,233.0","1,333.1","1,149.9","1,037.7","1,237.4","1,527.3","1,199.2"
,     3. Kazakhstan,167.4,193.4,237.5,193.6,227.1,237.2,481.0,615.4,525.1,604.3,349.5,534.5,307.7,332.7,286.9,258.9,876.6,991.3,"1,106.2"
,     4. Turkey,288.3,332.9,409.0,333.4,391.0,408.4,828.2,"1,059.6",904.2,"1,040.6",601.9,920.4,529.8,572.8,494.0,445.9,654.3,833.5,705.6
,     5. Afghanistan,301.6,348.3,427.9,348.8,409.0,427.3,866.4,"1,108.5",945.9,"1,088.6",629.6,962.8,554.2,599.2,516.8,466.4,416.1,507.9,411.6
,     6. Iran,287.1,331.6,407.3,332.1,389.4,406.7,824.8,"1,055.2",900.4,"1,036.3",599.4,916.6,527.6,570.4,492.0,444.0,341.8,258.3,187.5
,"     7. Korea, Republic of",191.0,220.6,271.0,220.9,259.0,270.6,548.7,702.0,599.0,689.4,398.7,609.7,351.0,379.5,327.3,295.4,90.2,45.9,26.1
,     8. Kyrgyz Republic,56.5,65.2,80.1,65.3,76.6,80.0,162.2,207.5,177.1,203.8,117.9,180.3,103.8,112.2,96.8,87.3,114.1,169.1,221.0
,     9. Bangladesh,108.4,125.2,153.8,125.3,147.0,153.5,311.4,398.3,339.9,391.2,226.3,346.0,199.2,215.3,185.7,167.6,86.1,50.5,29.1
,     10. France,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.1,102.9,123.9,118.5
,,,,,,,,,,,,,,,,,,,,
,"Imports, total","5,629.9","5,888.6","5,324.2","6,676.6","7,012.5","7,043.5","7,385.6","9,926.6","14,692.8","16,025.3","16,847.1","20,089.9","20,788.4","24,202.5","25,170.2","19,992.0","11,328.4","12,035.2","14,306.5"
,     1. Russian Federation,"1,075.0","1,124.4","1,016.7","1,274.3","1,344.5","1,350.8","1,416.7","1,904.1","2,818.4","3,074.0","3,231.6","3,853.6","3,987.4","4,642.2","4,827.8","3,834.6","2,274.5","2,564.2","2,990.5"
,"     2. China, People's Republic of","1,047.7","1,095.9",990.9,"1,241.9","1,310.4","1,316.5","1,380.8","1,855.8","2,746.9","2,996.0","3,149.7","3,755.9","3,886.2","4,524.4","4,705.3","3,737.3","2,234.2","2,700.6","2,678.5"
,"     3. Korea, Republic of",498.0,520.9,471.0,590.3,622.8,625.8,656.3,882.1,"1,305.7","1,424.1","1,497.1","1,785.2","1,847.2","2,150.5","2,236.5","1,776.4",807.1,"1,156.7","1,362.0"
,     4. Kazakhstan,381.3,398.8,360.6,452.0,476.9,479.1,502.5,675.4,999.6,"1,090.3","1,146.2","1,366.8","1,414.2","1,646.5","1,712.3","1,360.1",935.5,975.3,"1,400.1"
,     5. Germany,267.3,279.6,252.8,316.9,334.4,335.9,352.3,473.5,700.9,764.5,803.7,958.4,991.6,"1,154.5","1,200.6",953.6,480.9,574.1,594.3
,     6. Turkey,223.3,233.6,211.2,264.7,279.3,280.6,294.3,395.6,585.5,638.6,671.4,800.6,828.4,964.4,"1,003.0",796.6,475.4,594.5,838.8
,     7. United States,72.2,75.5,68.3,85.6,90.3,90.7,95.1,127.8,189.2,206.4,217.0,258.7,267.7,311.7,324.1,257.5,388.8,148.7,"1,103.8"
,     8. India,168.0,175.7,158.9,199.2,210.1,211.1,221.4,297.6,440.5,480.5,505.1,602.3,623.2,725.6,754.6,599.3,308.5,282.0,258.4
,     9. United Arab Emirates,226.7,237.1,214.4,268.7,283.5,284.8,298.7,401.5,594.3,648.2,681.4,812.6,840.8,978.8,"1,018.0",808.5,189.4,55.3,42.0
,     10. Japan,165.8,173.5,156.8,196.6,207.4,208.4,218.5,293.7,434.8,474.2,498.5,594.4,615.1,716.1,744.7,591.5,238.8,140.9,123.2
,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTS  calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Merchandise exports, fob","2,935","2,740","2,510","3,240","4,263","4,757","5,615","7,692","10,811","10,352","10,978","15,021","13,600","14,323","13,546","12,508","12,095","13,928","11,386"
,"Merchandise imports, fob","-2,441","-2,554","-2,186","-2,405","-3,061","-3,310","-3,841","-5,797","-8,606","-8,376","-7,973","-11,345","-12,817","-13,947","-13,984","-12,417","-12,138","-13,055","-13,508"
,     Trade balance,494,186,324,835,"1,202","1,447","1,774","1,895","2,205","1,976","3,005","3,677",783,376,-439,91,-43,872,"-2,122"
,"Other goods, services, and incomet",-73,-137,-182,-273,-342,-155,-12,-117,365,"-1,097",-573,-732,-64,-238,-49,"1,033","1,118","1,812",…
,     Credit,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…
,     Debit,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…
,Unrequited transfersu,13,43,120,318,354,658,"1,171",-146,-80,-144,-36,-24,-125,-138,-151,234,391,406,421
,     Private,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…
,     Official,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…
,Current balance,215,-113,117,881,"1,215","1,949","2,933","1,632","2,485",735,"2,397","2,612","1,371","1,972","2,576","1,358","1,466","3,090",…
,Capital accountv,…,…,…,-414,-702,"-1,181","-1,369",-216,"1,056","1,144","-1,285",-184,"-1,387","-1,042",-936,-97,-84,-60,-51
,Financial account,…,…,…,-324,-497,"-1,005",-659,"-1,691","1,303",764,-82,-512,-935,-825,-860,-160,218,"-1,892",…
,Direct investmentw,75,83,65,70,187,88,195,739,711,842,"1,628","1,651",889,970,881,854,"1,027",974,…
,Portfolio investment,...,...,...,,,,,,,,,,,,,,,,
,Other investmentx,...,...,...,-394,-684,"-1,093",-854,"-2,430",592,-78,"-1,710","-2,163","-1,824","-1,795","-1,741","-1,014",-809,"-2,866",…
,Net errors and omissions,...,...,...,,,,,,,,...,...,...,...,...,...,...,,
,Overall balance,96,-16,25,467,512,768,"1,564","1,416","3,541","1,879","1,111","2,427",-15,930,"1,640","1,101","1,600","1,138",…
,Monetary movements,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…
,,,,,,,,,,,,,,,,,,,,
,Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,Exports,21.3,38.4,25.4,31.9,35.3,33.0,32.3,34.4,36.5,30.6,23.4,26.4,21.5,20.8,17.7,15.3,14.8,23.5,22.6
,Imports,17.7,35.8,22.1,23.7,25.3,23.0,22.1,25.9,29.0,24.7,17.0,20.0,20.2,20.2,18.2,15.2,14.8,22.1,26.8
,Trade balance,3.6,2.6,3.3,8.2,9.9,10.1,10.2,8.5,7.4,5.8,6.4,6.5,1.2,0.5,-0.6,0.1,-0.1,1.5,-4.2
,Current account balance,1.6,-1.6,1.2,8.7,10.1,13.5,16.9,7.3,8.4,2.2,5.1,4.6,2.2,2.9,3.4,1.7,1.8,5.2,…
,Overall balance,0.7,-0.2,0.3,4.6,4.2,5.3,9.0,6.3,11.9,5.6,2.4,4.3, -0.0,1.3,2.1,1.3,2.0,1.9,…
,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES  as of end of period ($ million),,,,,,,,,,,,,,,,,,,
,Totaly,"1,273.0","1,212.0","1,215.0","1,659.3","2,146.5","2,900.0","4,700.0","7,500.0","9,500.0","12,200.0","14,600.0","18,049.0","22,133.0","22,481.0","24,140.0","24,307.0","26,429.0","28,077.0",…
,"     Gold, national valuation",589.1,533.9,505.8,558.0,418.5,...,…,…,…,…,…,…,…,"8,399.0","10,593.0","10,641.0","12,257.0","14,034.0",…
,     Foreign exchange,683.8,678.0,709.8,"1,101.2","1,728.0",...,…,…,…,…,…,…,…,"13,673.0","13,161.0","13,297.0","13,815.0","13,664.0",…
,     Reserve position in the IMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,     SDRs,0.4,0.8,1.1,0.1,0.0,0.0,0.0,0.0,0.7,412.7,405.4,404.2,404.6,409.8,385.5,368.7,357.7,378.9,370.1
,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATESz  (SUM-$),,,,,,,,,,,,,,,,,,,
,End of period,...,...,...,...,...,"1,171.0","1,240.0","1,290.0","1,393.0","1,511.4","1,640.0","1,795.0","1,984.0","2,103.7","2,319.6","2,583.5","2,981.9","5,202.7","8,079.9"
,Average of period,236.6,690.8,754.3,969.0,"1,014.4","1,106.1","1,215.6","1,260.8","1,314.2","1,458.8","1,578.4","1,706.6","1,897.6","2,095.0","2,310.9","2,568.0","2,965.3","5,113.9","8,069.6"
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS   as of end of year ($million),,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,"4,948.0","5,211.4","5,140.4","5,321.6","5,204.7","4,631.8","4,513.8","4,655.8","5,070.5","7,027.5","7,801.8","8,299.8","9,119.1","10,681.9","13,291.5","14,802.4","16,291.2","17,707.7",…
,     Long-term debt,"4,232.2","4,297.9","4,401.8","4,640.9","4,610.3","4,167.7","3,935.5","4,042.0","4,494.9","6,386.2","7,153.6","7,665.8","8,108.3","9,863.8","12,415.4","13,777.3","15,591.6","16,242.8",…
,          Public and publicly guaranteed,"3,765.6","3,896.9","4,004.7","4,147.9","4,107.1","3,625.9","3,318.3","3,179.4","3,188.5","3,268.8","3,423.1","3,755.8","3,983.4","4,382.8","5,551.3","6,462.8","7,442.9","8,208.3",…
,          Private nonguaranteed,466.6,401.0,397.1,493.0,503.2,541.8,617.2,862.6,"1,306.5","3,117.4","3,730.5","3,910.0","4,124.8","5,481.0","6,864.1","7,314.5","8,148.7","8,034.5",…
,     Short-term debt,246.3,504.9,319.1,247.0,166.9,88.5,183.0,198.4,170.8,229.3,243.5,230.5,607.0,413.4,495.4,661.0,346.3,"1,090.6",…
,     Use of IMF credit,469.4,408.6,419.4,433.7,427.5,375.6,395.3,415.3,404.8,412.0,404.7,403.5,403.9,404.7,380.7,364.2,353.3,374.2,…
,,,,,,,,,,,,,,,,,,,,
,External debt   (% of GNI),36.5,46.5,53.9,53.2,43.4,32.4,26.2,20.0,16.2,20.3,19.3,17.4,16.9,17.5,20.1,21.7,23.8,35.0,…
,Total long-term debt    (% of total debt),85.5,82.5,85.6,87.2,88.6,90.0,87.2,86.8,88.6,90.9,91.7,92.4,88.9,92.3,93.4,93.1,95.7,91.7,…
,Short-term debt    (% of total debt),…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Debt service    (% of exports of goods and services),...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,
,Debt service transactions during the year ($ million),,,,,,,,,,,,,,,,,,,
,     Principal repayments on long-term debt,589.3,595.7,560.2,638.2,694.7,620.3,668.6,645.6,710.3,712.9,492.8,460.4,516.4,529.5,682.5,962.2,"1,006.6","1,456.2"," 2,693.1 "
,     Interest on long-term debt,206.6,208.0,164.9,141.1,139.5,140.2,168.1,167.9,140.8,120.1,118.2,158.2,172.5,163.2,199.3,280.9,356.3,457.9, 516.4 
,     Interest on short-term debt,22.6,15.6,14.1,5.6,5.8,4.0,3.3,7.3,8.0,2.3,5.8,7.2,9.5,8.5,6.5,9.9,7.1,27.0,…
,,,,,,,,,,,,,,,,,,,,
,Average terms of new commitments,,,,,,,,,,,,,,,,,,,
,     Interest   (% per annum),6.4,4.7,3.7,3.0,2.2,1.9,3.3,2.8,2.6,1.3,1.5,1.0,1.4,1.6,1.2,1.9,1.4,1.9,…
,     Maturity  (years),15.3,13.7,19.1,13.5,25.4,25.6,18.7,20.3,23.5,27.0,23.2,25.8,20.5,20.0,28.1,21.5,21.9,21.8,…
,     Grace period   (years),3.5,2.9,4.7,2.4,6.2,7.6,5.3,5.8,5.9,7.1,6.2,3.9,4.5,3.7,6.7,5.5,4.4,4.1,…
,     Grant element   (%),19.8,25.4,36.7,31.5,55.8,59.4,41.8,47.9,52.6,65.6,59.5,62.7,54.5,51.2,65.9,55.4,57.7,53.2,…
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"… = data not available; | = marks break in series; 0 or 0.0 = magnitude is less than half of the unit employed; − = magnitude equals zero; * = provisional, preliminary, estimate; $ = United States dollars; cif = cost, insurance, and freight; fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km2 = square kilometer; kWh = kilowatt-hour; L = liter; m3 = cubic meters; NPISHs = nonprofit institutions serving households; SDRs = special drawing rights; SUM = sum; t = metric ton.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
a,"Refers to the sum of employed and unemployed, where ""unemployed"" refers to those officially registered as unemployed at the end of the period, while ""employed"" is the average of the period.",,,,,,,,,,,,,,,,,,,
b,"Includes those employed in their own household and farm work, directly engaged in livestock raising, and production and sale of livestock products and other agricultural products.",,,,,,,,,,,,,,,,,,,
c,"For 2000–2010, includes mining and quarrying; electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste management, and remediation activities; and construction.  For 2011–2016, includes mining and quarrying; electricity, gas, steam, and air-conditioning supply; water supply; and sewerage, waste management, and remediation activities.",,,,,,,,,,,,,,,,,,,
d,"Includes wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities; transportation and storage, information, and communication; financial and insurance activities; and real estate activities.",,,,,,,,,,,,,,,,,,,
e,Refers to officially registered as unemployed only at the end of the period.,,,,,,,,,,,,,,,,,,,
f,The ratio of the economically active population to the working-age population.,,,,,,,,,,,,,,,,,,,
g,"For 2010 onwards, data are not comparable with data prior to 2010 due to a revision in methodology. ",,,,,,,,,,,,,,,,,,,
h," For 2014–2017, includes indirectly measured financial intermediation services.",,,,,,,,,,,,,,,,,,,
i,"For 2003 onward, includes financial and insurance activities; real estate activities; professional, scientific, and technical activities; administrative and support service activities; education; health and social work; arts, entertainment, and recreation activities; and other service activities.",,,,,,,,,,,,,,,,,,,
j,Includes nonprofit institutions serving households.,,,,,,,,,,,,,,,,,,,
k,Derived from the balance-of-payments data.,,,,,,,,,,,,,,,,,,,
l,"Prior to 2016, values were calculated based on the variable weights method. From 2016 onward, values were calculated based on the fixed weights method.  ",,,,,,,,,,,,,,,,,,,
