"KOREA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Imports,"61,638","64,966","68,519","69,958","76,354","73,897","76,001","84,799","96,425","102,982","118,592","129,149","125,534","126,507","131,032","135,084","131,462","148,236","148,720"
,     Consumption,"66,625","70,823","75,951","79,120","82,115","84,822","87,827","94,128","104,198","108,632","121,860","132,729","128,552","129,117","131,533","131,469","134,105","147,835","151,941"
,,,,,,,,,,,,,,,,,,,,
,Natural gas   (m3 million),,,,,,,,,,,,,,,,,,,
,     Production ,–,–,–,–,129,314,280,214,143,302,327,274,264,280,194,114,93,206,184
,     Exports ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,     Imports ,"12,007","12,069","14,176","15,213","17,161","17,584","19,899","20,146","21,477","20,345","25,688","28,904","28,509","31,418","29,237","26,289","26,358","29,576","34,680"
,     Consumption ,"11,201","12,282","13,948","14,534","16,800","18,226","19,267","20,898","21,484","20,515","25,854","27,894","30,167","31,581","28,753","26,281","27,445","29,048","33,267"
,,,,,,,,,,,,,,,,,,,,
,Electricity   (kWh million),,,,,,,,,,,,,,,,,,,
,     Production,"266,400","285,224","306,474","322,452","342,148","364,639","381,181","403,124","422,355","433,604","474,660","496,893","509,574","517,148","521,971","528,091","540,441","553,369","570,647"
,     Exports,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,     Imports,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,     Consumption,"239,535","257,731","278,451","293,599","312,096","332,413","348,719","368,605","385,070","394,475","434,160","455,070","466,593","474,848","477,592","483,655","497,039","507,746","526,149"
,,,,,,,,,,,,,,,,,,,,
,Retail prices   (W/L),,,,,,,,,,,,,,,,,,,
,"     Gasoline, premiumd","1,249","1,280","1,269","1,295","1,365","1,432","1,492","1,526","1,692","1,601","1,710","1,929","1,986","1,924","1,827","1,510","1,403","1,491","1,581"
,     Diesel,613,645,678,772,908,"1,080","1,228","1,273","1,614","1,398","1,503","1,746","1,806","1,730","1,637","1,300","1,183","1,283","1,392"
,,,,,,,,,,,,,,,,,,,,
,PRICE INDEXES   period averages;   2015 = 100,,,,,,,,,,,,,,,,,,,
,Consumer (national),66.6,69.3,71.2,73.7,76.3,78.4,80.2,82.2,86.1,88.5,91.1,94.7,96.8,98.0,99.3,100.0,101.0,102.9,104.5
,     Food and nonalcoholic beverages,54.4,57.2,59.9,62.7,67.8,69.9,70.2,72.0,75.6,81.3,86.5,93.6,97.3,98.1,98.4,100.0,102.3,105.8,108.7
,"     Alcoholic beverages, tobacco, and narcotics",46.6,48.9,52.5,54.0,54.6,62.7,62.6,62.8,63.1,63.9,64.1,64.6,65.6,66.7,66.6,100.0,100.7,102.2,102.5
,     Clothing and footwear,65.4,67.3,69.4,71.9,72.1,72.8,74.8,76.8,78.7,82.7,85.1,88.0,92.2,94.9,98.7,100.0,101.8,102.9,104.0
,"     Housing, water, electricity, gas, and other fuels",63.7,67.5,69.4,72.3,74.7,76.1,78.3,80.0,83.5,84.4,86.4,90.3,94.5,97.8,100.6,100.0,99.2,100.9,101.6
,"     Furnishings, household equipment, and routine
     household maintenance",74.6,76.0,76.7,78.3,78.9,79.3,79.5,81.6,85.1,88.9,89.2,92.5,95.2,95.4,97.5,100.0,101.6,102.7,105.0
,     Health,73.7,82.1,81.7,83.5,84.7,86.6,88.3,89.8,91.5,93.5,95.2,96.8,97.7,98.1,98.8,100.0,101.0,101.9,101.8
,     Transport,70.9,73.7,74.4,77.4,80.1,84.1,88.0,91.2,99.2,95.7,100.4,107.4,110.9,110.3,108.5,100.0,97.8,101.3,103.7
,     Communication,131.0,126.9,121.2,114.9,113.1,111.1,109.6,107.4,105.9,105.7,104.7,103.0,100.4,100.3,100.2,100.0,100.1,100.4,99.5
,     Recreation and culture,96.1,95.8,96.4,96.8,96.7,96.8,94.5,92.9,94.2,96.4,97.3,98.8,99.0,100.1,100.5,100.0,101.8,101.9,102.4
,     Education,58.8,61.4,64.9,68.7,72.5,75.6,79.2,84.0,88.6,90.8,92.8,94.4,95.8,96.9,98.3,100.0,101.6,102.8,104.2
,     Restaurants and hotels,67.1,68.3,70.6,73.2,75.9,77.7,79.3,80.7,84.6,87.8,89.9,93.7,94.9,96.3,97.7,100.0,102.5,105.0,108.1
,     Miscellaneous goods and services,62.1,64.6,66.7,68.4,69.8,70.8,74.4,78.1,85.2,91.0,94.2,97.2,94.1,94.5,97.4,100.0,103.4,106.3,107.0
,Consumer (Seoul),65.4,68.3,70.5,73.2,76.1,78.1,79.7,81.8,85.2,87.7,90.1,93.6,95.9,97.2,98.8,100.0,101.2,103.2,104.6
,     Food and nonalcoholic beverages,54.6,57.3,59.8,62.9,68.6,71.4,71.7,73.4,76.7,82.5,87.1,93.9,97.3,97.6,97.8,100.0,102.1,106.3,108.9
,"     Alcoholic beverages, tobacco, and narcotics",47.5,50.0,53.6,55.2,55.6,64.0,64.0,64.2,64.5,65.2,65.5,65.9,66.7,67.8,67.6,100.0,101.0,102.4,102.7
,     Clothing and footwear,65.5,67.3,69.4,71.9,72.3,73.0,74.9,76.9,78.8,82.8,85.2,87.9,92.0,94.6,98.4,100.0,101.8,102.7,103.8
,"     Housing, water, electricity, gas, and other fuels",60.6,64.8,67.8,71.1,73.5,74.5,76.4,78.2,81.1,83.1,85.0,88.7,93.0,96.6,99.7,100.0,99.7,101.9,102.6
,"     Furnishings, household equipment, and routine
     household maintenance",75.2,76.5,76.7,78.2,79.5,79.8,80.0,82.1,85.4,89.4,89.3,92.2,96.5,96.5,97.8,100.0,101.6,102.8,106.1
,     Health,73.9,82.5,81.8,83.6,84.5,86.5,88.0,89.9,91.8,93.7,95.1,96.7,97.7,98.3,98.9,100.0,101.0,101.9,102.0
,     Transport,67.8,70.7,71.7,74.8,77.8,81.5,84.8,88.3,95.3,92.4,96.6,102.2,106.7,106.4,105.2,100.0,99.6,102.2,103.9
,     Communication,130.4,126.2,120.5,114.3,112.4,110.3,109.2,107.1,105.6,105.5,104.5,102.8,100.2,100.1,100.1,100.0,100.1,100.4,99.5
,     Recreation and culture,95.0,95.1,96.0,96.6,96.5,96.8,94.7,93.2,94.7,96.7,97.5,99.5,99.6,100.6,100.9,100.0,102.0,102.0,102.4
,     Education,58.2,61.1,64.7,68.7,72.9,76.1,79.7,84.3,88.5,90.3,92.3,94.1,95.2,96.0,97.9,100.0,101.7,103.1,104.6
,     Restaurants and hotels,67.7,68.9,71.0,73.7,76.5,78.0,79.4,80.9,84.1,87.3,90.0,94.0,94.9,96.1,97.3,100.0,102.7,105.3,108.6
,     Miscellaneous goods and services,62.7,64.3,66.6,68.7,69.7,70.9,74.0,77.7,84.4,90.8,94.0,96.8,94.0,94.1,97.7,100.0,103.2,105.7,106.0
,Producer;   2015 = 100,78.4,78.0,77.8,79.5,84.3,86.1,86.9,88.1,95.6,95.4,99.1,105.7,106.4,104.7,104.2,100.0,98.2,101.6,103.5
,Implicit GDP deflator;   2015 = 100,72.1,74.6,76.9,79.5,82.0,82.9,82.7,84.7,87.1,90.2,92.7,93.9,95.1,96.0,96.9,100.0,102.0,104.3,104.7
,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
,               Consumer price index,2.3,4.1,2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4.0,2.2,1.3,1.3,0.7,1.0,1.9,1.5
,               Food and nonalcoholic beverages price index,0.8,5.1,4.8,4.7,8.1,3.1,0.5,2.5,4.9,7.6,6.4,8.1,4.0,0.9,0.3,1.6,2.3,3.4,2.8
,               Producer price index,2.1,-0.5,-0.3,2.2,6.1,2.1,0.9,1.4,8.6,-0.2,3.8,6.7,0.7,-1.6,-0.5,-4.0,-1.8,3.5,1.9
,               Implicit GDP deflator,…,3.5,3.0,3.4,3.1,1.0,-0.2,2.4,2.8,3.6,2.7,1.3,1.3,1.0,0.9,3.2,2.0,2.2,0.5
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKINGe   as of end of period (W billion),,,,,,,,,,,,,,,,,,,
,Money supply (M1),"196,715","246,721","283,581","298,953","321,728","332,345","371,088","316,383","330,624","389,395","427,792","442,078","470,011","515,643","585,823","708,453","795,531","849,862","865,852"
,     Currency in circulation,"16,170","17,079","18,228","17,348","19,207","20,412","21,636","22,040","23,437","29,206","34,949","39,609","44,174","53,316","64,439","76,343","86,830","96,843","103,995"
,     Demand depositsf,"180,544","229,642","265,353","281,605","302,521","311,933","349,452","294,343","307,187","360,189","392,843","402,468","425,837","462,327","521,384","632,110","708,702","753,020","761,857"
,Quasi-money,"510,984","518,259","588,495","599,116","632,995","689,104","778,175","957,229","1,095,264","1,177,456","1,232,738","1,309,381","1,365,631","1,405,152","1,491,412","1,538,922","1,611,928","1,680,491","1,834,511"
,Money supply (M2),"707,699","764,979","872,076","898,069","954,723","1,021,449","1,149,262","1,273,612","1,425,888","1,566,850","1,660,530","1,751,458","1,835,642","1,920,795","2,077,234","2,247,375","2,407,459","2,530,354","2,700,362"
,     Foreign assets (net)g,"125,714","129,943","118,151","151,839","180,521","181,536","173,671","223,400","155,669","259,150","294,416","313,718","334,379","385,446","427,674","500,136","534,177","547,441","575,568"
,     Domestic credit,"792,441","882,611","1,025,348","1,049,833","1,063,775","1,145,190","1,317,265","1,471,987","1,725,185","1,793,131","1,874,199","1,988,340","2,072,118","2,135,927","2,299,675","2,473,921","2,647,315","2,789,019","2,995,591"
,          Net claims on central government ,,"-19,048","-24,864","-24,761","-17,146","-27,744","-47,441","-91,319","-94,361","-71,287","-81,912","-102,380","-99,848","-106,525","-112,643","-125,146","-139,356","-171,654","-194,012"
,          Claims on local government ,"-23,943","5,769","3,906","3,245","2,539","2,570","4,602","6,158","6,337","6,661","6,995","8,198","10,391","13,612","18,969","23,565","23,711","23,011","18,689"
,          Claims on social security organizations ,,387,462,625,183,199,250,300,280,132,260,550,"2,123",313,97,660,610,235,290
,          Claims on nonfinancial corporations ,,"456,756","526,704","525,371","521,065","576,220","697,769","844,224","1,022,276","1,027,896","1,051,853","1,137,216","1,159,480","1,186,404","1,256,770","1,327,268","1,387,794","1,476,601","1,588,412"
,          Claims on households ,"816,384","278,422","361,339","406,667","441,554","479,408","532,968","566,738","621,322","645,495","675,121","711,975","728,051","749,861","806,129","873,068","969,288","1,035,695","1,096,529"
,          Claims on other financial corporations ,–,"160,325","157,802","138,686","115,581","114,535","129,117","145,885","169,332","184,235","221,883","232,781","271,921","292,262","330,354","374,506","405,268","425,132","485,685"
,     Other itemsh,"-210,456","-247,574","-271,423","-303,604","-289,574","-305,277","-341,674","-421,774","-454,966","-485,431","-508,085","-550,599","-570,855","-600,578","-650,114","-726,682","-774,033","-806,107","-870,797"
,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M2)   (% annual change),5.2,8.1,14.0,3.0,6.3,7.0,12.5,10.8,12.0,9.9,6.0,5.5,4.8,4.6,8.1,8.2,7.1,5.1,6.7
,               M2   (% of GDP at current market prices),108.6,108.2,111.1,107.2,105.1,106.7,114.3,116.9,123.5,130.0,125.5,126.1,127.5,128.0,132.9,135.5,138.3,137.8,142.6
,,,,,,,,,,,,,,,,,,,,
,Deposit Money Banksi,,,,,,,,,,,,,,,,,,,
,     Demand depositsf,"180,544","229,642","265,351","246,923","247,953","281,338","308,683","294,343","307,187","360,189","392,843","402,468","425,837","462,327","521,384","632,110","708,702","753,020","761,857"
,     Savings depositsj,"314,254","322,142","361,721","386,642","402,640","408,587","444,555","474,709","569,423","647,779","776,285","849,960","875,875","867,041","885,198","892,002","930,508","975,914","1,094,844"
,     Time depositsk,"196,730","196,117","226,774","212,474","230,354","280,517","333,619","482,521","525,841","529,677","456,454","459,421","489,757","538,111","606,213","646,920","681,420","704,578","743,666"
,     Domestic credits outstanding,"792,441","882,611","1,025,348","1,049,833","1,063,775","1,145,190","1,317,265","1,471,987","1,725,185","1,793,131","1,874,199","1,988,340","2,072,118","2,135,928","2,299,675","2,473,921","2,647,315","2,789,019","2,995,591"
,,,,,,,,,,,,,,,,,,,,
,Interest Rates   period averages (% per annum),,,,,,,,,,,,,,,,,,,
,On deposits,,,,,,,,,,,,,,,,,,,
,     Savingsl,7.1,5.5,4.7,4.2,3.8,3.6,4.4,5.0,5.7,3.2,3.2,3.7,3.4,2.7,2.4,1.7,1.5,1.5,1.8
,     Time:   6 months,7.5,5.6,4.9,4.3,3.8,3.6,4.4,5.0,5.7,3.3,3.3,3.7,3.4,2.7,2.5,1.8,1.5,1.6,1.9
,               12 months,7.9,5.8,5.0,4.3,3.9,3.7,4.5,5.2,5.9,3.5,3.9,4.2,3.7,2.9,2.5,1.8,1.6,1.7,2.0
,On loans and discounts,,,,,,,,,,,,,,,,,,,
,     Commercial billsm,8.6,7.7,6.7,6.2,5.9,5.6,6.0,6.6,7.2,5.7,5.5,5.8,5.4,4.6,4.3,3.5,3.4,3.5,3.7
,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE   fiscal year ending 31 December (W billion),,,,,,,,,,,,,,,,,,,
,General Government,,,,,,,,,,,,,,,,,,,
,Revenue,…,…,…,…,…,…,…,…,…,…,…,…,"479,727","484,435","504,923","534,557","568,032","610,244",…
,     Taxes,…,…,…,…,…,…,…,…,…,…,…,…,"258,649","260,176","270,524","291,192","320,696","348,269",…
,"          Taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,"105,096","105,172","109,781","122,163","136,954","152,332",…
,               Payable by individuals,…,…,…,…,…,…,…,…,…,…,…,…,"58,855","60,927","66,438","76,118","84,613","92,734",…
,               Payable by corporations and other enterprises,…,…,…,…,…,…,…,…,…,…,…,…,"46,241","44,245","43,343","46,045","52,341","59,598",…
,"               Other taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,…
,          Taxes on payroll and workforce,…,…,…,…,…,…,…,…,…,…,…,…,–,–,–,–,–,–,…
,          Taxes on property,…,…,…,…,…,…,…,…,…,…,…,…,"40,498","39,256","44,409","49,591","52,266","29,118",…
,          Taxes on goods and services,…,…,…,…,…,…,…,…,…,…,…,…,"92,192","91,276","96,196","97,040","109,276","143,812",…
,          Taxes on international trade and transaction,…,…,…,…,…,…,…,…,…,…,…,…,"9,609","10,839","8,705","8,516","8,156","8,616",…
,          Other taxes,…,…,…,…,…,…,…,…,…,…,…,…,"11,254","13,634","11,434","13,881","14,044","14,392",…
,     Social contributions,…,…,…,…,…,…,…,…,…,…,…,…,"90,422","95,717","102,600","109,407","117,732","125,037",…
,     Grants,…,…,…,…,…,…,…,…,…,…,…,…,49,–,0,0,0,1,…
,     Other revenue,…,…,…,…,…,…,…,…,…,…,…,…,"130,607","128,541","131,799","133,957","129,604","136,936",…
,Expense,…,…,…,…,…,…,…,…,…,…,…,…,"418,814","421,085","442,842","470,169","482,889","516,900",…
,     Compensation of employees,…,…,…,…,…,…,…,…,…,…,…,…,"82,171","86,316","90,415","94,906","99,633","105,300",…
,     Use of goods and services,…,…,…,…,…,…,…,…,…,…,…,…,"82,490","86,311","92,234","99,060","106,437","110,732",…
,     Consumption of fixed capital,…,…,…,…,…,…,…,…,…,…,…,…,"21,458","23,952","24,692","26,593","27,538","29,792",…
,     Interest,…,…,…,…,…,…,…,…,…,…,…,…,"21,754","21,580","22,613","22,208","21,008","20,705",…
,     Subsidies,…,…,…,…,…,…,…,…,…,…,…,…,"58,381","70,602","70,005","76,569","74,316","77,017",…
,     Grants,…,…,…,…,…,…,…,…,…,…,…,…,488,536,597,658,139,137,…
,     Social benefits,…,…,…,…,…,…,…,…,…,…,…,…,"91,156","85,565","92,593","100,105","108,941","118,986",…
,     Other expense,…,…,…,…,…,…,…,…,…,…,…,…,"60,917","46,223","49,694","50,070","44,878","54,231",…
,Net operating balance,…,…,…,…,…,…,…,…,…,…,…,…,"60,913","63,350","62,081","64,388","85,144","93,344",…
,Gross operating balance,…,…,…,…,…,…,…,…,…,…,…,…,"82,371","87,302","86,773","90,981","112,682","123,136",…
,Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,
,Net/gross investment in nonfinancial assets,…,…,…,…,…,…,…,…,…,…,…,…,"44,452","42,184","41,284","44,885","42,282","45,857",…
,     Fixed assets,…,…,…,…,…,…,…,…,…,…,…,…,"34,713","29,582","26,511","26,737","31,256","31,521",…
,     Inventories,…,…,…,…,…,…,…,…,…,…,…,…,"-1,690",650,387,724,331,"1,026",…
,     Valuables,…,…,…,…,…,…,…,…,…,…,…,…,0,–,–,–,–,–,…
,     Nonproduced assets,…,…,…,…,…,…,…,…,…,…,…,…,"11,429","11,952","14,386","17,425","10,696","13,309",…
,Expenditure,…,…,…,…,…,…,…,…,…,…,…,…,"463,267","463,269","484,126","515,055","525,171","562,757",…
,Net lending/Net borrowing,…,…,…,…,…,…,…,…,…,…,…,…,"16,461","21,165","20,797","19,502","42,861","47,487",…
,Primary balance,…,…,…,…,…,…,…,…,…,…,…,…,"38,214","42,746","43,410","41,711","63,869","68,192",…
,Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,
,Net acquisition of financial assets,…,…,…,…,…,…,…,…,…,…,…,…,"55,483","75,051","71,758","71,546","79,386","72,134",…
,     Domestic,…,…,…,…,…,…,…,…,…,…,…,…,"55,483","61,104",…,…,"77,886","71,758",…
,     External ,…,…,…,…,…,…,…,…,…,…,…,…,0,"13,947",…,…,"1,500",376,…
,Net incurrence of liabilities,…,…,…,…,…,…,…,…,…,…,…,…,"40,723","53,886","50,960","52,043","36,525","24,647",…
,     Domestic,…,…,…,…,…,…,…,…,…,…,…,…,"41,334","-4,914",…,…,"31,272","19,275",…
,     External ,…,…,…,…,…,…,…,…,…,…,…,…,-611,"58,799",…,…,"5,253","5,372",…
,,,,,,,,,,,,,,,,,,,,
,               Government Finance   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Revenue,…,…,…,…,…,…,…,…,…,…,…,…,33.3,32.3,32.3,32.2,32.6,33.2,…
,               Taxes,…,…,…,…,…,…,…,…,…,…,…,…,18.0,17.3,17.3,17.6,18.4,19.0,…
,               Taxes payable by individuals,…,…,…,…,…,…,…,…,…,…,…,…,4.1,4.1,4.3,4.6,4.9,5.1,…
,               Taxes payable by corporations and other enterprises,…,…,…,…,…,…,…,…,…,…,…,…,3.2,2.9,2.8,2.8,3.0,3.2,…
,               Expenditure,…,…,…,…,…,…,…,…,…,…,…,…,32.2,30.9,31.0,31.1,30.2,30.7,…
,               Net lending/Net borrowing,…,…,…,…,…,…,…,…,…,…,…,…,1.1,1.4,1.3,1.2,2.5,2.6,…
,               Primary balance,…,…,…,…,…,…,…,…,…,…,…,…,2.7,2.8,2.8,2.5,3.7,3.7,…
,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, Central Government",,,,,,,,,,,,,,,,,,,
,Total expenditure,"126,788","142,865","131,057","157,026","168,329","183,566","200,537","203,908","236,127","269,325","251,156","270,655","289,084","296,557","308,980","336,244","351,546","369,379",…
,     General public services,"6,653","6,861","8,234","9,233","8,093","8,373","9,284","11,494","11,627","15,379","13,512","14,298","16,017","18,765","16,652","17,115","19,525","17,222",…
,     Defense,"14,397","15,721","15,260","17,156","18,472","20,200","21,390","22,397","25,182","27,719","27,772","30,134","30,765","32,370","33,300","35,040","36,215","37,366",…
,     Public order and safety,"5,794","6,331","7,061","8,831","8,777","9,210","10,640","10,846","10,783","12,030","12,373","13,546","15,194","14,987","15,687","16,627","17,566","18,469",…
,     Economic affairs,"31,954","41,793","29,624","29,892","31,103","34,220","36,179","37,604","43,982","54,431","47,607","48,546","48,803","48,909","47,542","55,570","55,229","46,663",…
,     Environmental protection,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Housing and community amenities,"6,773","12,199","2,483","8,693","11,697","13,748","14,605","14,344","14,063","16,965","12,330","12,758","15,844","12,705","13,464","14,327","14,272","30,133",…
,     Health,940,836,498,"1,538","1,567","2,102","2,183","1,986","2,189","2,821","2,972","2,641","2,617","3,057","3,028","4,727","4,291","4,445",…
,"     Recreation, culture, and religion","1,048","1,329","1,851","1,731","1,909","2,183","2,387","1,900","2,166","2,540","2,913","3,189","3,428","3,929","3,991","4,591","5,073","4,616",…
,     Education,"19,373","22,924","21,573","24,045","25,580","27,491","28,567","30,403","35,790","38,894","37,676","40,988","45,093","48,263","50,310","50,392","53,748","58,193",…
,     Social protection,"19,343","18,414","21,231","26,033","29,761","32,986","36,968","41,602","47,648","53,998","56,350","60,107","66,114","72,806","79,196","87,601","92,593","99,238",…
,     Othersn,"20,513","16,455","23,242","29,874","31,370","33,054","38,336","31,332","42,699","44,548","37,651","44,449","45,211","40,767","45,812","50,257","53,034","53,034",…
,,,,,,,,,,,,,,,,,,,,
,               Expenditure by Function   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Education,3.0,3.2,2.7,2.9,2.8,2.9,2.8,2.8,3.1,3.2,2.8,3.0,3.1,3.2,3.2,3.0,3.1,3.2,…
,               Health,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,…
,               Social Protection,3.0,2.6,2.7,3.1,3.3,3.4,3.7,3.8,4.1,4.5,4.3,4.3,4.6,4.9,5.1,5.3,5.3,5.4,…
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, fob","172,268","150,439","162,471","193,817","253,845","284,419","325,465","371,489","422,007","363,534","466,384","555,214","547,870","559,632","572,665","526,757","495,426","573,694","604,860"
,"Imports, cif","160,481","141,098","152,126","178,827","224,463","261,238","309,383","356,846","435,275","323,085","425,212","524,413","519,584","515,586","525,515","436,499","406,193","478,478","535,202"
,     Trade balance,"11,786","9,341","10,344","14,991","29,382","23,180","16,082","14,643","-13,267","40,449","41,172","30,801","28,285","44,047","47,150","90,258","89,233","95,216","69,657"
,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,
,               Exports,19.9,-12.7,8.0,19.3,31.0,12.0,14.4,14.1,13.6,-13.9,28.3,19.0,-1.3,2.1,2.3,-8.0,-5.9,15.8,5.4
,               Imports,34.0,-12.1,7.8,17.6,25.5,16.4,18.4,15.3,22.0,-25.8,31.6,23.3,-0.9,-0.8,1.9,-16.9,-6.9,17.8,11.9
,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, total","172,179","150,356","161,919","193,731","253,745","284,243","325,173","371,213","421,778","363,280","466,384","555,405","547,870","559,632","572,665","526,757","495,857","562,026","605,708"
,"     1. China, People's Republic of","18,455","18,190","23,754","35,110","49,763","61,915","69,459","81,985","91,389","86,703","116,838","134,205","134,323","145,869","145,288","137,124","124,442","141,181","162,168"
,     2. United States,"37,806","31,358","32,943","34,369","43,027","41,500","43,321","45,884","46,501","37,803","49,992","56,417","58,807","62,327","70,556","70,117","66,754","68,734","73,314"
,     3. Viet Nam,"1,686","1,732","2,240","2,561","3,256","3,432","3,927","5,760","7,805","7,149","9,652","13,551","15,946","21,088","22,352","27,771","32,704","46,005","48,637"
,"     4. Hong Kong, China","10,708","9,452","10,146","14,654","18,127","15,531","18,979","18,654","19,772","19,661","25,294","30,975","32,606","27,756","27,256","30,418","32,709","38,730","46,010"
,     5. Japan,"20,466","16,506","15,143","17,276","21,701","24,027","26,534","26,370","28,252","21,771","28,176","39,713","38,796","34,662","32,184","25,577","24,363","26,520","30,595"
,     6. Singapore,"5,648","4,080","4,222","4,636","5,654","7,407","9,489","11,949","16,293","13,617","15,244","20,855","22,888","22,289","23,750","15,011","12,821","11,974","11,794"
,"     7. Taipei,China","8,027","5,835","6,632","7,045","9,844","10,863","12,996","13,027","11,462","9,501","14,830","18,198","14,815","15,699","15,077","12,004","12,157","14,630","20,773"
,     8. India,"1,326","1,408","1,384","2,853","3,632","4,598","5,533","6,600","8,977","8,013","11,435","12,686","11,922","11,376","12,782","12,030","11,374","14,822","15,611"
,     9. Australia,"2,606","2,173","2,340","3,272","3,378","3,812","4,692","4,691","5,171","5,243","6,642","8,163","9,250","9,563","10,283","10,831","7,496","16,400","9,623"
,     10. Mexico,"2,391","2,149","2,231","2,455","2,994","3,789","6,285","7,482","9,090","7,133","8,846","9,728","9,042","9,727","10,846","10,892","9,648","10,717","11,460"
,,,,,,,,,,,,,,,,,,,,
,"Imports, total","160,340","140,986","151,292","178,738","224,283","261,097","309,146","356,501","435,149","323,069","425,212","524,375","519,584","515,586","525,515","436,499","406,032","472,574","534,720"
,"     1. China, People's Republic of","12,799","13,303","17,400","21,909","29,585","38,648","48,557","63,028","76,930","54,246","71,574","86,426","80,785","83,053","90,082","90,250","86,972","97,010","106,449"
,     2. Japan,"31,828","26,633","29,856","36,313","46,144","48,403","51,926","56,250","60,956","49,428","64,296","68,302","64,363","60,029","53,768","45,854","47,462","54,369","54,559"
,     3. United States,"29,286","22,431","23,111","24,935","28,919","30,788","33,797","37,393","38,556","29,161","40,589","44,816","43,654","41,766","45,540","44,212","43,389","49,799","58,982"
,     4. Saudi Arabia,"9,641","8,058","7,551","9,268","11,800","16,106","20,552","21,164","33,781","19,737","26,820","36,976","39,707","37,665","36,695","19,561","15,701","19,251","26,261"
,     5. Germany,"4,625","4,473","5,472","6,822","8,486","9,774","11,365","13,534","14,769","12,298","14,305","16,959","17,645","19,336","21,299","20,957","18,972","19,905","20,840"
,     6. Australia,"5,959","5,534","5,973","5,916","7,438","9,860","11,309","13,232","18,000","14,756","20,456","26,323","22,988","20,785","20,413","16,438","15,133","18,652","20,699"
,"     7. Taipei,China","4,701","4,301","4,832","5,880","7,312","8,050","9,288","9,967","10,643","9,851","13,647","14,693","14,012","14,633","15,690","16,654","16,399","17,830","16,720"
,     8. Qatar,"2,292","2,572","2,173","3,140","3,650","5,599","6,985","8,454","14,375","8,386","11,915","20,754","25,505","25,874","25,723","16,475","10,036","11,156","16,294"
,     9. Viet Nam,322,386,470,511,673,694,925,"1,392","2,037","2,370","3,331","5,084","5,719","7,175","7,990","9,805","12,534","15,840","19,626"
,     10. Russian Federation,"2,058","1,929","2,218","2,522","3,671","3,937","4,573","6,977","8,340","5,789","9,899","10,855","11,354","11,495","15,669","11,308","8,643","11,739","17,458"
,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSo   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,Current account balance,"10,181","2,165","4,066","11,308","29,290","12,209","2,095","10,473","1,753","33,088","27,951","16,638","48,791","77,259","83,030","105,119","97,924","75,231","76,409"
,     Balance on goods,"15,393","9,407","14,414","22,138","39,173","32,493","24,515","32,436","11,746","48,056","47,932","28,014","48,589","80,259","86,145","120,275","116,462","113,593","111,867"
,          Exports,"169,524","146,420","160,956","194,912","256,054","285,262","329,111","382,803","432,910","363,931","463,835","587,213","603,665","618,393","613,397","543,083","511,926","580,310","625,437"
,          Imports,"154,131","137,013","146,542","172,774","216,881","252,770","304,596","350,367","421,164","315,876","415,902","559,199","555,076","538,134","527,252","422,808","395,464","466,717","513,571"
