AZERBAIJAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,     Health,…,…,…,…,…,…,100.8,107.9,109.2,108.1,108.9,101.0,101.5,101.7,101.7,99.6,103.4,107.9,100.8
,     Transport,…,…,…,…,…,…,106.3,119.0,108.2,101.4,100.7,105.6,102.0,101.8,103.2,100.8,103.7,103.5,107.9
,     Communication,…,…,…,…,…,…,100.2,108.1,110.6,104.8,97.2,107.7,94.0,96.8,87.4,100.0,100.0,99.8,97.9
,     Recreation and culture,…,…,…,…,…,…,103.7,106.2,111.1,102.7,101.3,100.4,102.8,99.9,98.7,105.3,108.8,107.6,100.9
,     Education,…,…,…,…,…,…,101.0,109.8,122.3,110.4,102.5,101.8,102.6,102.2,101.9,99.9,101.8,104.1,101.0
,     Restaurants and hotels,…,…,…,…,…,…,101.5,112.4,117.5,105.3,104.0,102.7,101.3,101.3,101.2,102.0,109.3,111.4,102.4
,     Miscellaneous goods and services,…,…,…,…,…,…,105.3,109.7,115.5,105.2,105.2,104.7,101.3,132.1,101.0,102.1,115.3,110.7,101.6
,Producer,…,103.3,99.4,117.2,113.5,117.3,110.1,117.6,123.4,80.6,130.5,133.5,104.5,96.1,94.9,69.4,127.5,136.8,126.0
,Implicit GDP deflator,112.5,102.5,103.2,106.0,108.4,116.1,111.3,121.0,127.8,81.2,113.6,122.5,102.9,100.4,98.7,91.1,114.7,116.2,111.9
,,,,,,,,,,,,,,,,,,,,
,               Price Indexes   (% annual change),,,,,,,,,,,,,,,,,,,
,               Consumer price index (national),1.8,1.5,2.8,2.2,6.7,9.6,8.3,16.7,20.8,1.5,5.7,7.9,1.1,2.4,1.4,4.0,12.4,12.9,2.3
,               Food and nonalcoholic beverages price index (national),…,…,…,…,…,…,12.4,16.9,29.2,-1.7,7.5,10.6,0.7,2.0,0.7,4.8,13.7,17.2,2.0
,               Producer price index,...,3.3,-0.6,17.2,13.5,17.3,10.1,17.6,23.4,-19.4,30.5,33.5,4.5,-3.9,-5.1,-30.6,27.5,36.8,26.0
,               Implicit GDP deflator,12.5,2.5,3.2,6.0,8.4,16.1,11.3,21.0,27.8,-18.8,13.6,22.5,2.9,0.4,-1.3,-8.9,14.7,16.2,11.9
,,,,,,,,,,,,,,,,,,,,
,MONEY AND BANKING   calendar year (AZN million),,,,,,,,,,,,,,,,,,,
,Money supply (M1),316,338,393,500,657,748,"1,840","3,622","5,105","5,231","6,838","8,796","11,122","12,737","12,830","6,897","8,960","10,544","12,275"
,     Currency in circulation,270,294,334,408,478,547,"1,311","2,714","4,146","4,175","5,456","7,158","9,257","10,459","10,153","4,776","6,377","7,490","7,601"
,     Demand deposits,46,44,60,92,180,200,528,908,959,"1,065","1,263","1,638","1,866","2,278","2,678","2,121","2,583","3,054","4,673"
,Quasi-moneyh,194,349,392,519,849,"1,094","1,595","2,276","3,389","3,238","3,689","5,107","5,653","6,553","8,736","14,390","11,929","12,228","11,786"
,Money supply (M3),510,687,785,"1,019","1,506","1,842","3,435","5,897","8,495","8,469","10,528","13,904","16,776","19,289","21,566","21,287","20,890","22,772","24,060"
,     Foreign assets (net),579,666,535,650,961,"1,036","1,957","2,872","4,036","3,529","4,638","7,850","8,283","9,903","10,492","11,056","7,956","15,422","15,314"
,     Domestic credit,439,83,154,335,740,"1,294","2,396","4,737","6,749","7,965","8,957","9,631","13,192","13,640","16,210","18,976","13,998","9,883","11,478"
,          Claims on government sectori,254,-282,-273,-255,-205,-151,25,93,-476,-591,-829,"-2,083","-1,934","-3,290","-4,193","-5,651","-3,664","-1,480","-1,580"
,          Claims on private sectorj,185,365,426,590,945,"1,445","2,371","4,644","7,225","8,556","9,786","11,714","15,126","16,930","20,402","24,627","17,662","11,363","13,058"
,     Other items,-508,-62,96,34,-195,-488,-918,"-1,712","-2,290","-3,025","-3,068","-3,577","-4,700","-4,254","-5,135","-8,745","-1,064","-2,533","-2,731"
,,,,,,,,,,,,,,,,,,,,
,               Money Supply (M3)   (% annual change),21.8,34.7,14.3,29.8,47.8,22.3,86.5,71.7,44.0,-0.3,24.3,32.1,20.7,15.0,11.8,-1.3,-1.9,9.0,5.7
,               M3   (% of GDP at current market prices),10.8,12.9,13.0,14.3,17.7,14.7,18.3,20.8,21.2,23.8,24.8,26.7,30.6,33.2,36.5,39.1,34.6,32.4,30.2
,,,,,,,,,,,,,,,,,,,,
,Interest Rates   end of period (% per annum),,,,,,,,,,,,,,,,,,,
,On deposits,,,,,,,,,,,,,,,,,,,
,    Time:   6 months,9.9,10.0,5.5,5.5,5.3,7.3,7.6,9.5,9.7,8.7,8.0,8.0,7.8,6.4,6.7,8.6,11.5,7.8,6.2
,                 12 months,10.4,8.6,12.6,8.5,8.5,9.4,10.5,12.1,12.2,12.2,11.0,10.4,10.1,9.7,9.1,8.2,5.5,12.1,9.8
,On loans and discounts,…,…,15.6,14.9,15.6,15.1,16.5,17.0,17.5,15.9,16.4,16.3,15.2,14.1,13.8,13.6,12.1,13.2,14.2
,,,,,,,,,,,,,,,,,,,,
,GOVERNMENT FINANCE   calendar year (AZN million),,,,,,,,,,,,,,,,,,,
,General Governmentk,,,,,,,,,,,,,,,,,,,
,Revenue,715,785,910,"1,221","1,510","2,055","3,869","6,007","10,763","10,326","11,403","15,701","17,282","19,496","18,401","17,498","17,506","16,517","22,509"
,     Taxes,574,714,836,"1,006","1,232","1,756","3,048","5,213","6,725","5,128","5,267","6,395","6,975","7,654","8,370","8,791","9,031","9,356","10,587"
,"          Taxes on income, profits, and capital gains",220,212,258,329,445,673,"1,768","3,046","3,490","1,911","2,020","2,850","3,065","3,235","3,283","3,194","3,129","3,326","3,496"
,               Payable by individuals,94,95,110,150,222,317,407,589,627,582,590,716,813,860,980,983,"1,146","1,040",996
,               Payable by corporations and other enterprises,126,118,148,178,223,355,"1,361","2,458","2,862","1,329","1,430","2,134","2,252","2,375","2,303","2,211","1,983","2,286","2,500"
,"               Other taxes on income, profits, and capital gains",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Taxes on payroll and workforce,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Taxes on property,19,23,29,38,46,56,74,99,144,92,137,139,136,158,177,197,225,229,233
,          Taxes on goods and services,268,415,472,533,623,794,"1,066","1,773","2,642","2,707","2,818","2,973","3,182","3,586","4,226","4,466","4,816","4,898","5,715"
,          Taxes on international trade and transaction,63,60,75,93,102,205,139,293,450,418,292,433,593,675,685,935,861,903,"1,144"
,          Other taxes,4,4,2,13,17,28,0,1,0,– ,– ,– ,– ,– ,– ,– ,– ,– ,– 
,     Social contributions,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Grants (revenue),22,6,11,6,– ,11,5,– ,– ,– ,3,7,– ,– ,– ,– ,– ,– ,– 
,     Other revenue,118,65,63,210,277,288,816,794,"4,038","5,198","6,133","9,299","10,307","11,842","10,030","8,707","8,475","7,161","11,922"
,Expense,764,808,932,"1,235","1,502","2,141","3,790","6,086","10,774","10,504","11,766","15,398","17,417","19,144","18,709","17,785","17,751","17,595","22,732"
,     Compensation of employees,229,242,246,298,402,539,648,953,"1,340","1,538","1,568","1,750","1,689","1,708","1,926","1,938","2,192","2,358","2,759"
,     Use of goods and services,292,314,366,525,640,870,307,480,664,768,841,908,"1,281","1,442","1,622","1,617","1,817","1,250","1,351"
,     Consumption of fixed capital,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Interest,22,17,13,11,9,8,13,30,33,79,39,170,90,155,84,211,375,355,590
,     Subsidies,27,36,35,37,31,95,41,161,191,289,239,210,295,334,683,805,738,999,"1,209"
,     Grants (expense),5,6,8,14,13,14,105,7,114,118,99,86,154,248,224,187,178,609,86
,     Social benefits,134,139,180,191,207,270,302,521,769,"1,003","1,066","1,411","1,691","1,688","1,833","1,803","2,046","2,162","2,203"
,     Other expense,56,54,83,159,201,345,"2,374","3,934","7,664","6,709","7,915","10,863","12,217","13,571","12,337","11,223","10,405","9,862","14,535"
,Net operating balance,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Gross operating balance,-49,-23,-22,-14,7,-86,79,-80,-12,-178,-363,303,-135,353,-308,-287,-246,"-1,078",-223
,Transactions in Nonfinancial Assets,,,,,,,,,,,,,,,,,,,
,Net/gross investment in nonfinancial assets,31,29,46,91,112,248,926,"2,010","4,363","3,637","4,225","7,082","7,059","8,281","7,602","6,476","3,064","3,364","6,932"
,     Fixed assets,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Inventories,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Nonproduced assets,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Expenditure,795,837,978,"1,325","1,614","2,389","4,716","8,096","15,137","14,141","15,991","22,480","24,476","27,425","26,311","24,260","20,815","20,959","29,663"
,Net lending/Net borrowing,-80,-52,-68,-104,-105,-334,-847,"-2,089","-4,375","-3,815","-4,588","-6,779","-7,194","-7,928","-7,910","-6,762","-3,310","-4,442","-7,154"
,Primary balance,-58,-35,-55,-93,-96,-325,-834,"-2,060","-4,342","-3,736","-4,549","-6,609","-7,104","-7,774","-7,826","-6,551","-2,934","-4,088","-6,565"
,Transactions in Financial Assets and Liabilities (Financing),,,,,,,,,,,,,,,,,,,
,Net acquisition of financial assets,…,…,…,…,…,…,0,27,94,1,0,10,5,0,68,72,107,100,5
,     Domestic,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     External,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Net incurrence of liabilities,…,…,…,…,…,…,85,31,83,74,52,173,122,898,295,493,"1,389","1,159","1,641"
,     Domestic,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     External,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,
,               Government Finance      (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Revenue,15.1,14.7,15.0,17.1,17.7,16.4,20.6,21.2,26.8,29.0,26.9,30.1,31.6,33.5,31.2,32.2,29.0,23.5,28.2
,               Taxes,12.2,13.4,13.8,14.1,14.4,14.0,16.3,18.4,16.8,14.4,12.4,12.3,12.7,13.2,14.2,16.2,14.9,13.3,13.3
,               Taxes payable by individuals,2.1,1.8,1.8,2.1,2.6,2.5,2.2,2.1,1.5,1.6,1.4,1.4,1.5,1.5,1.7,1.8,1.9,1.5,1.2
,               Taxes payable by corporations and other enterprises,2.7,2.2,2.4,2.5,2.6,2.8,7.3,8.7,7.1,3.7,3.4,4.1,4.1,4.1,3.9,4.1,3.3,3.3,3.1
,               Total expenditure,16.8,15.7,16.1,18.5,18.9,19.1,25.2,28.5,37.7,39.7,37.7,43.2,44.7,47.1,44.6,44.6,34.4,29.8,37.2
,               Net lending/Net borrowing,-1.7,-1.0,-1.1,-1.5,-1.2,-2.7,-4.5,-7.4,-10.9,-10.7,-10.8,-13.0,-13.1,-13.6,-13.4,-12.4,-5.5,-6.3,-9.0
,               Primary balance,-1.2,-0.7,-0.9,-1.3,-1.1,-2.6,-4.4,-7.3,-10.8,-10.5,-10.7,-12.7,-13.0,-13.4,-13.3,-12.0,-4.9,-5.8,-8.2
,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, General Government",,,,,,,,,,,,,,,,,,,
,Total expenditure,764,808,932,"1,235","1,502","2,141","3,790","6,086","10,774","10,504","11,766","15,398","17,417","19,144","18,709","17,785","17,751","17,595","22,732"
,     General public services,52,61,72,98,123,168,403,469,661,825,794,"1,072","1,027","1,635","1,426","1,773","2,904","2,679","3,526"
,     Defense,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Public order and safety,74,85,95,121,156,206,279,431,534,649,669,710,929,"1,049","1,104","1,106","1,117","1,178","1,316"
,     Economic affairs,71,86,117,214,255,405,"1,185","2,258","4,803","4,179","4,690","6,491","6,523","7,809","7,182","6,013","3,707","4,094","7,371"
,     Environmental protection,0,0,1,0,1,1,1,2,2,3,3,3,4,4,4,4,4,15,16
,     Housing and community amenities,19,16,20,29,36,40,62,92,156,195,200,312,438,398,417,396,417,300,452
,     Health,41,42,45,55,74,115,162,257,346,402,429,493,609,619,665,708,703,705,710
,"     Recreation, culture, and religion",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Education,182,186,191,235,294,373,479,723,980,"1,148","1,181","1,269","1,453","1,438","1,554","1,605","1,754","1,743","1,967"
,     Social protection,139,146,190,214,237,305,342,595,846,"1,054","1,123","1,495","1,770","1,750","1,971","1,857","2,645","2,350","2,151"
,     Othersl,186,184,202,269,328,528,878,"1,260","2,447","2,049","2,678","3,552","4,664","4,441","4,387","4,323","4,499","4,531","5,223"
,,,,,,,,,,,,,,,,,,,,
,               Expenditure by Function   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Education,3.9,3.5,3.2,3.3,3.4,3.0,2.6,2.5,2.4,3.2,2.8,2.4,2.7,2.5,2.6,3.0,2.9,2.5,2.5
,               Health,0.9,0.8,0.7,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.0,0.9,1.1,1.1,1.1,1.3,1.2,1.0,0.9
,               Social protection,3.0,2.7,3.1,3.0,2.8,2.4,1.8,2.1,2.1,3.0,2.6,2.9,3.2,3.0,3.3,3.4,4.4,3.3,2.7
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADEm   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, fob","1,745","2,314","2,168","2,590","3,615","7,649","13,003","21,242","30,563","21,056","26,374","34,393","32,374","31,703","28,260","15,586","13,211","15,152","20,794"
,"Imports, fob","1,172","1,431","1,666","2,626","3,516","4,350","5,191","6,036","7,550","6,230","6,662","10,056","10,192","10,321","9,332","9,774","9,004","9,037","10,952"
,     Trade balance,573,883,502,-36,100,"3,299","7,812","15,206","23,014","14,827","19,712","24,337","22,182","21,382","18,928","5,812","4,206","6,115","9,841"
,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,
,               Exports,87.7,32.6,-6.3,19.5,39.6,...,70.0,63.4,43.9,-31.1,25.3,30.4,-5.9,-2.1,-10.9,-44.8,-15.2,14.7,37.2
,               Imports,13.1,22.1,16.4,57.7,33.9,...,19.3,16.3,25.1,-17.5,6.9,50.9,1.4,1.3,-9.6,4.7,-7.9,0.4,21.2
,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,"Exports, total","1,737","2,314","2,164","2,590","3,612","4,347","6,372","6,057","47,756","14,693","21,360","26,571","23,908","23,975","21,829","11,003","9,143","11,191","19,459"
,     1. Italy,763,"1,324","1,083","1,346","1,615","1,316","2,845",941,"19,220","3,788","7,044","9,341","5,548","5,990","4,806","2,254","1,560","2,625","5,880"
,     2. Israel,135,164,154,138,324,195,685,370,"3,606","1,236","1,745",818,"1,667","1,261","1,767",802,664,639,"1,311"
,     3. Turkey,105,67,83,107,183,276,388,"1,056",626,108,171,456,600,526,502,304,"1,133","1,366","1,825"
,     4. Germany,8,13,29,7,38,35,9,20,205,87,10,523,965,"1,357","1,926","1,224",611,450,781
,     5. France,205,66,166,210,67,407,348,259,"2,323","1,326","1,857","4,037","1,776","1,131","1,523",864,494,136,442
,     6. Indonesia,6,0,...,0,129,...,0,390,"1,411",661,782,913,"1,757","2,772","2,012",478,77,292,598
,     7. Czech Republic,0,0,0,1,0,1,0,0,0,1,0,204,512,216,592,550,214,557,938
,     8. Russian Federation,98,78,96,148,210,285,344,527,583,746,774,"1,187",960,"1,078",640,417,409,587,666
,     9. India,1,1,2,1,5,2,1,145,"2,432",267,300,367,"1,891","1,098",778,270,437,334,820
,"     10. Taipei,China",...,0,0,...,0,0,0,0,354,680,295,0,650,467,432,112,797,267,714
,,,,,,,,,,,,,,,,,,,,
,"Imports, total","1,171","1,430","1,665","2,625","3,515","4,210","5,266","5,713","7,165","6,094","6,600","9,756","9,653","10,712","9,190","9,196","8,532","8,782","11,464"
,     1. Russian Federation,249,153,281,384,569,717,"1,182","1,004","1,350","1,072","1,145","1,641","1,378","1,505","1,314","1,438","1,642","1,554","1,885"
,     2. Turkey,129,148,156,195,225,313,385,625,807,907,771,"1,302","1,520","1,464","1,287","1,171","1,182","1,274","1,577"
,"     3. China, People's Republic of",23,42,51,92,145,174,222,279,479,485,588,628,632,566,697,512,704,855,"1,196"
,     4. United States,118,231,99,133,132,141,198,269,268,261,206,631,716,377,563,848,472,721,527
,     5. Germany,68,73,83,170,198,256,404,472,599,554,607,845,780,823,704,690,399,444,660
,     6. United Kingdom,59,54,85,286,422,385,454,411,386,275,303,486,496,"1,334",978,553,495,240,264
,     7. Ukraine,36,39,80,119,170,226,318,466,567,512,466,558,539,589,420,310,290,460,470
,     8. Italy,28,25,26,74,107,95,125,141,191,128,118,255,263,249,273,588,332,319,340
,     9. Japan,16,67,48,101,127,71,188,295,242,146,146,175,243,288,241,558,283,170,384
,     10. Iran,57,55,58,51,45,76,86,105,97,79,118,160,176,208,147,90,161,240,415
,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSn   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,Current account balance,-167.8,-51.8,-768.4,"-2,020.6","-2,589.2",167.3,"3,774.5","9,000.4","16,455.4","10,416.5","15,020.7","17,154.8","14,881.3","13,079.4","10,430.5",-222.5,"-1,363.4","1,684.6","6,051.1"
,     Balance on goods,319.3,613.9,481.6,-98.2,161.3,"3,299.1","7,812.2","15,205.8","23,013.6","14,826.6","19,711.5","24,337.1","22,181.6","21,382.4","18,927.6","5,812.4","4,206.3","6,114.7","9,841.3"
,          Exports,"1,858.3","2,078.9","2,305.0","2,624.5","3,743.0","7,649.0","13,002.9","21,241.7","30,563.1","21,056.5","26,373.7","34,392.7","32,374.1","31,703.0","28,259.6","15,586.1","13,210.5","15,152.1","20,793.8"
,          Imports,"1,539.0","1,465.1","1,823.3","2,722.7","3,581.7","4,349.9","5,190.7","6,035.9","7,549.5","6,229.9","6,662.1","10,055.6","10,192.5","10,320.6","9,332.0","9,773.6","9,004.2","9,037.3","10,952.4"
,     Balance on services,-224.7,-375.0,-935.6,"-1,614.5","-2,238.4","-1,970.0","-1,923.4","-2,131.0","-2,342.6","-1,612.6","-1,732.9","-2,995.8","-2,923.8","-4,189.0","-6,089.6","-4,228.9","-3,154.5","-3,379.3","-2,062.1"
,          Credit,259.8,289.8,362.1,432.0,492.0,683.0,939.9,"1,247.5","1,546.9","1,776.3","2,064.9","2,719.6","4,280.8","4,130.9","4,297.2","4,444.0","4,368.3","4,688.4","4,690.7"
,          Debit,484.5,664.9,"1,297.7","2,046.5","2,730.4","2,653.0","2,863.3","3,378.6","3,889.5","3,388.9","3,797.8","5,715.4","7,204.6","8,319.9","10,386.7","8,672.9","7,522.8","8,067.8","6,752.8"
,     Balance on primary income ,-335.5,-367.2,-384.7,-442.0,-700.6,"-1,645.6","-2,680.6","-5,079.4","-5,266.0","-3,519.2","-3,467.1","-4,859.9","-4,326.5","-4,120.6","-2,581.7","-2,027.8","-2,472.1","-1,759.5","-2,459.6"
,          Credit,55.9,41.5,37.1,52.7,52.9,201.8,280.0,327.8,595.1,551.4,675.5,"1,018.7","1,091.9","1,029.3","1,673.9","1,258.2",920.9,"1,285.0","1,630.8"
,          Debit,391.4,408.7,421.8,494.7,753.5,"1,847.4","2,960.6","5,407.2","5,861.2","4,070.6","4,142.6","5,878.6","5,418.4","5,149.9","4,255.6","3,286.0","3,393.0","3,044.6","4,090.4"
,     Balance on secondary income,73.1,76.6,70.4,134.1,188.5,483.9,566.3,"1,005.0","1,050.5",721.7,509.1,673.3,-50.0,6.7,174.2,221.7,56.8,708.7,731.4
,          Credit,135.1,176.5,228.2,225.1,262.6,626.2,748.2,"1,313.4","1,500.1","1,292.4","1,420.5","1,882.3","1,953.1","1,647.7","1,799.7","1,227.0",620.5,"1,113.0","1,168.2"
,          Debit,62.0,99.9,157.9,90.9,74.1,142.3,182.0,308.4,449.7,570.7,911.3,"1,209.0","2,003.1","1,641.1","1,625.5","1,005.3",563.7,404.3,436.8
,Capital account,– ,– ,-0.3,-0.2,-0.1,-0.1,0.3,8.5,0.6,– ,– ,0.9,-7.0,-12.9,-6.9,-43.9,-40.1,100.4,1.4
,     Credit,...,...,...,...,...,...,0.3,8.5,0.6,...,...,14.3,...,0.4,0.1,…,…,101.1,2.7
,     Debit,...,...,0.3,0.2,0.1,0.1,...,...,...,...,...,13.4,7.0,13.3,7.1,43.9,40.1,0.8,1.3
,Financial account ,-441.9,-317.4,"-1,080.2","-2,361.5","-3,027.4",-525.1,"1,731.6","5,757.0","2,636.9","6,028.0","3,604.0","4,038.5","8,094.0","6,488.8","3,419.1","9,025.3","2,761.6",201.4,"3,190.8"
,     Direct investmento,-129.2,-226.5,"-1,066.8","-2,351.8","-2,351.3",-459.2,"1,289.5","5,034.5",541.5,-147.2,-331.2,-932.6,-812.4,"-1,141.6","-2,221.6",-787.9,"-1,926.0",-303.1,357.9
,     Portfolio investmentp,...,...,-0.4,-,18.1,-30.5,12.1,26.4,347.4,138.8,138.8,316.9,-268.1,-718.5,"-1,321.4",-392.4,-487.9,"-2,668.9","1,241.0"
,     Financial derivatives ,...,...,...,0.0,...,...,...,...,...,...,...,...,...,...,…,…,-0.7,-3.8,0.9
,     Other investment,-312.8,-90.9,-13.1,-9.7,-694.2,-35.4,430.1,696.1,"1,748.0","6,036.4","3,796.4","4,654.2","9,174.5","8,348.9","6,962.2","10,205.5","5,176.1","3,177.2","1,591.0"
,Net errors and omissions ,– ,– ,-115.1,-135.3,-54.1,-84.6,-327.1,-353.8,"-1,769.2","-1,697.5",-955.6,-761.0,"-1,824.7","-2,736.7","-2,810.3","-2,037.4","3,625.9",387.8,646.4
,Overall balanceq,274.2,265.6,196.5,205.4,384.0,607.7,"1,716.1","2,898.1","12,049.9","2,691.0","10,461.2","12,356.2","4,955.6","3,841.0","4,194.2","-11,329.0",-539.2,"1,971.3","3,508.1"
,Reserves and related items,-274.2,-265.6,-196.5,-205.4,-384.0,-607.7,"-1,716.1","-2,898.1","-12,049.9","-2,691.0","-10,461.2","-12,356.2","-4,955.6","-3,841.0","-4,194.2","11,329.0",539.2,"-1,971.3","-3,508.1"
,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,
,               Exports,35.2,36.4,37.0,36.1,43.1,57.7,62.0,64.3,62.6,47.5,49.8,52.1,46.5,42.7,37.6,29.4,34.9,37.1,44.3
,               Imports,29.2,25.7,29.2,37.4,41.3,32.8,24.7,18.3,15.5,14.1,12.6,15.2,14.6,13.9,12.4,18.4,23.8,22.1,23.3
,               Balance on goods,6.1,10.8,7.7,-1.3,1.9,24.9,37.2,46.0,47.1,33.5,37.3,36.9,31.8,28.8,25.2,11.0,11.1,15.0,21.0
,               Current account balance,-3.2,-0.9,-12.3,-27.8,-29.8,1.3,18.0,27.2,33.7,23.5,28.4,26.0,21.4,17.6,13.9,-0.4,-3.6,4.1,12.9
,               Overall balance,5.2,4.7,3.2,2.8,4.4,4.6,8.2,8.8,24.7,6.1,19.8,18.7,7.1,5.2,5.6,-21.3,-1.4,4.8,7.5
,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,Total,679.6,725.0,720.5,802.8,"1,075.1","1,177.7","2,500.4","4,273.1","6,467.2","5,363.8","6,409.0","10,273.9","11,277.3","15,013.7","15,548.6","7,909.9","7,142.2","6,680.6","6,666.0"
,"     Gold, national valuation",– ,– ,– ,– ,– ,– ,– ,– ,– ,0.1,0.1,0.1,0.1,613.1,902.0,"1,618.7","1,305.7",0.1,0.1
,     Foreign exchange,673.0,722.5,719.8,784.8,"1,060.5","1,163.8","2,484.9","4,262.9","6,465.5","5,125.7","6,172.2","10,037.7","11,040.0","14,162.9","14,423.8","6,078.2","5,629.8","6,461.6","6,452.3"
,     Reserve position in the IMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,77.7,82.4,80.4
,     SDRs,6.6,2.5,0.7,18.0,14.5,13.9,15.4,10.1,1.6,237.8,236.6,235.9,237.0,237.4,222.5,212.8,128.9,136.5,133.2
,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES   (AZN–$),,,,,,,,,,,,,,,,,,,
,End of period,0.91,0.96,0.98,0.98,0.98,0.92,0.87,0.85,0.80,0.80,0.80,0.79,0.79,0.78,0.78,1.56,1.77,1.70,1.70
,Average of period,0.89,0.93,0.97,0.98,0.98,0.95,0.89,0.86,0.82,0.80,0.80,0.79,0.79,0.78,0.78,1.02,1.60,1.72,1.70
,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS   calendar year ($ million),,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,"1,585.2","1,515.4","1,691.7","1,941.1","2,169.2","2,247.0","2,798.1","3,904.9","4,496.9","4,556.2","7,278.7","7,760.5","10,918.2","10,700.5","12,350.1","13,758.3","15,016.3","15,253.9",…
,     Long-term debt,893.1,924.3,"1,121.6","1,350.7","1,584.3","1,677.9","1,912.9","2,427.2","3,045.1","3,658.7","5,997.3","7,404.8","9,035.3","8,853.2","10,105.0","11,894.8","13,348.1","14,600.7",…
,          Public and publicly guaranteed,794.5,829.1,"1,049.2","1,274.2","1,354.1","1,490.6","1,809.0","2,284.2","2,718.2","3,344.8","3,839.3","4,788.3","6,282.9","6,710.8","8,656.5","9,047.9","10,985.0","12,663.2",…
,          Private nonguaranteed,98.6,95.2,72.5,76.4,230.2,187.2,103.8,143.0,326.8,313.8,"2,158.0","2,616.4","2,752.4","2,142.4","1,448.5","2,846.9","2,363.1","1,937.4",…
,     Short-term debt,156.2,102.9,82.4,103.0,138.0,186.0,520.0,"1,132.0","1,136.0",595.0,999.0,91.0,"1,631.1","1,604.9","2,020.7","1,650.7","1,461.7",434.5,…
,     Use of IMF credit,535.9,488.2,487.6,487.5,446.9,383.1,365.3,345.7,315.8,302.6,282.4,264.7,251.9,242.5,224.4,212.8,206.5,218.7,…
,,,,,,,,,,,,,,,,,,,,
,               External debt   (% of GNI),31.8,28.2,28.9,28.4,27.2,19.4,15.3,14.0,10.3,11.1,14.6,12.6,16.6,15.2,16.9,27.0,42.4,39.1,…
,               Total long-term debt   (% of total debt),56.3,61.0,66.3,69.6,73.0,74.7,68.4,62.2,67.7,80.3,82.4,95.4,82.8,82.7,81.8,86.5,88.9,95.7,…
,               Short-term debt   (% of total debt),9.9,6.8,4.9,5.3,6.4,8.3,18.6,29.0,25.3,13.1,13.7,1.2,14.9,15.0,16.4,12.0,9.7,2.8,…
,               Debt service   (% of exports of goods and services),6.4,5.8,6.1,7.2,5.7,2.9,2.0,1.2,1.0,1.6,1.4,2.9,3.4,5.2,5.5,9.0,9.6,10.7,…
,,,,,,,,,,,,,,,,,,,,
,Debt service transactions during the year ($ million),,,,,,,,,,,,,,,,,,,
